hanzi_id,hanzi,combinations
104,全,全部｜安全｜完全
105,然,然后｜自然｜突然
106,前,前面｜以前｜前进
107,从,从前｜从来｜从此
108,长,长期｜长度｜成长
109,给,给予｜送给｜供给
110,些,一些｜有些｜些许
111,当,当然｜当时｜应当
112,两,两个｜两边｜两样
113,只,只有｜只好｜只是
114,意,意思｜意义｜注意
115,高,高兴｜高度｜高级
116,种,种类｜种子｜各种
117,关,关系｜关心｜关于
118,力,力量｜努力｜能力
119,将,将来｜将要｜将军
120,者,或者｜作者｜记者
121,公,公司｜公共｜公平
122,重,重要｜重量｜重复
123,最,最后｜最近｜最好
124,三,三个｜第三｜三月
125,产,产品｜生产｜产业
126,做,做事｜叫做｜做饭
127,知,知道｜知识｜通知
128,市,市场｜城市｜市区
129,十,十分｜第十｜十月
130,明,明天｜明白｜说明
131,问,问题｜提问｜询问
132,情,情况｜感情｜事情
133,被,被动｜被子｜被告
134,电,电话｜电视｜电脑
135,因,因为｜原因｜因此
136,加,增加｜参加｜加油
137,其,其他｜其实｜其中
138,体,体育｜身体｜体会
139,文,文化｜文章｜文学
140,又,又是｜又要｜又一次
141,次,次数｜每次｜其次
142,机,手机｜机会｜机器
143,真,真正｜真实｜认真
145,间,时间｜中间｜房间
146,回,回来｜回答｜回家
147,政,政治｜政府｜行政
148,外,外面｜外国｜外语
149,话,电话｜说话｜话题
150,合,合作｜合适｜合同
151,已,已经｜已有｜已然
152,手,手机｜手表｜手工
153,化,文化｜化学｜变化
154,正,正确｜正常｜正式
155,展,发展｜展开｜展示
156,建,建设｜建立｜建筑
157,别,别人｜区别｜告别
158,果,如果｜水果｜结果
159,儿,儿子｜儿童｜女儿
160,老,老师｜老人｜老年
161,见,看见｜见面｜意见
162,表,表示｜手表｜表现
163,美,美丽｜美国｜美好
164,名,名字｜姓名｜著名
165,社,社会｜社区｜社团
166,让,让开｜转让｜谦让
167,无,无法｜无论｜无限
168,二,第二｜二月｜二手
169,制,制度｜制造｜制作
170,西,西方｜西边｜西瓜
171,内,内部｜内容｜国内
172,场,市场｜广场｜场合
173,员,员工｜人员｜会员
174,报,报纸｜报告｜报名
175,水,水果｜水平｜水分
176,元,元旦｜单元｜美元
177,应,应该｜应用｜反应
178,走,走路｜行走｜走进
179,向,方向｜向前｜向往
180,女,女人｜女儿｜女性
181,头,头发｜头脑｜点头
182,性,性格｜性别｜性能
183,比,比较｜比如｜比例
184,相,相信｜相互｜相同
185,再,再次｜再见｜再来
186,利,利益｜利用｜顺利
187,教,教育｜教师｜教学
188,活,生活｜活动｜活泼
189,打,打开｜打电话｜打架
190,位,位置｜单位｜座位
191,并,并且｜合并｜并列
192,它,它们｜其它｜它是
193,特,特别｜特点｜特殊
194,车,汽车｜火车｜车站
195,各,各种｜各自｜各国
196,先,先生｜先进｜首先
197,使,使用｜使命｜促使
198,己,自己｜己见｜知己
199,题,问题｜题目｜主题
200,由,由于｜理由｜自由
201,代,代表｜代替｜时代
202,该,应该｜不该｜该当
203,记,记忆｜记录｜日记
204,系,关系｜系统｜联系
205,太,太阳｜太多｜太空
206,物,物品｜动物｜植物
207,总,总是｜总结｜总共
208,区,区域｜地区｜区别
209,度,温度｜度过｜态度
210,提,提高｜提问｜提前
211,通,通过｜交通｜通知
212,东,东方｜东西｜山东
213,平,平时｜和平｜公平
214,常,经常｜平常｜正常
215,信,信息｜相信｜信心
216,此,此时｜从此｜因此
217,感,感觉｜感情｜感谢
218,今,今天｜今年｜如今
219,门,门口｜大门｜出门
220,爱,爱情｜爱心｜爱护
221,解,解决｜理解｜解释
222,入,进入｜收入｜入口
223,安,安全｜安排｜平安
224,资,资料｜资源｜工资
225,保,保护｜保证｜保险
226,干,干净｜干活｜干燥
227,万,万一｜千万｜万物
228,认,认识｜认为｜认真
229,结,结果｜结束｜团结
230,及,以及｜及时｜普及
231,身,身体｜身边｜身份
232,更,更加｜更好｜更换
233,义,意义｜主义｜正义
234,任,任务｜责任｜任何
235,放,放心｜放弃｜开放
236,北,北京｜北方｜东北
237,才,才能｜人才｜刚才
238,目,目标｜目前｜目的
239,务,任务｜服务｜业务
240,几,几个｜几乎｜几次
241,海,海洋｜上海｜大海
242,四,四个｜四川｜四周
243,品,商品｜食品｜品质
244,世,世界｜世纪｜去世
245,快,快乐｜快速｜赶快
246,斯,斯文｜瓦斯｜斯大林
247,立,立刻｜建立｜独立
248,济,经济｜救济｜济南
249,气,空气｜天气｜生气
250,听,听见｜听话｜听力
251,期,期待｜日期｜长期
252,设,设计｜建设｜设备
253,路,道路｜马路｜路上
254,科,科学｜科目｜科研
255,强,强大｜坚强｜加强
256,或,或者｜或许｜或是
257,少,多少｜少年｜减少
258,管,管理｜尽管｜管子
259,告,告诉｜广告｜报告
260,原,原来｜原因｜草原
261,量,数量｜质量｜力量
262,思,思想｜思考｜意思
263,队,队伍｜队长｜军队
264,金,金钱｜黄金｜金色
265,受,接受｜受伤｜感受
266,口,口水｜出口｜门口
267,接,接受｜直接｜连接
268,基,基本｜基础｜基地
269,像,好像｜图像｜肖像
270,啊,啊呀｜啊哈｜啊哟
271,军,军队｜军人｜军事
272,处,处理｜到处｜处长
273,件,文件｜条件｜事件
274,计,计算｜计划｜设计
275,直,直接｜直线｜直到
276,变,变化｜改变｜变成
277,论,讨论｜理论｜论文
278,吧,好吧｜走吧｜说吧
279,呢,呢喃｜呢子｜着呢
280,候,时候｜等候｜气候
281,书,书本｜读书｜书记
282,决,决定｜决心｜解决
283,农,农业｜农民｜农村
284,组,组织｜小组｜组成
285,觉,觉得｜感觉｜觉醒
286,改,改变｜改进｜修改
287,克,克服｜千克｜克制
288,党,党员｜共产党｜党派
289,交,交通｜交换｜交流
290,术,技术｜手术｜学术
291,山,山水｜山上｜登山
292,五,五个｜五月｜五星
293,吃,吃饭｜好吃｜吃饱
294,带,带领｜带来｜皮带
295,办,办法｜办公｜办理
296,战,战争｜战斗｜战士
297,条,条件｜一条｜条纹
298,统,统一｜传统｜统计
299,死,死亡｜死去｜死心
300,华,中华｜华丽｜华人
301,非,非常｜是非｜非洲
302,完,完成｜完美｜完全
303,程,过程｜程序｜课程
304,马,马上｜马路｜马车
305,导,导演｜指导｜导航
306,界,世界｜边界｜界限
307,难,困难｜难题｜难过
308,白,白色｜明白｜白天
309,共,共同｜公共｜一共
310,许,许多｜允许｜也许
311,求,要求｜请求｜追求
312,治,治疗｜治理｜政治
313,据,根据｜证据｜据说
314,收,收到｜收入｜收获
315,每,每天｜每次｜每个
316,形,形状｜形式｜形容
317,象,形象｜现象｜大象
318,数,数学｜数字｜数据
319,张,张开｜紧张｜纸张
320,领,领导｜带领｜领带
321,至,至少｜至于｜至今
322,持,支持｜保持｜持续
323,指,指导｜指示｜手指
324,边,旁边｜边界｜一边
325,院,医院｜学院｜法院
326,反,反对｜反应｜反面
327,住,住房｜居住｜记住
328,色,颜色｜色彩｜红色
329,叫,叫声｜叫喊｜叫做
330,达,达到｜表达｜到达
331,联,联系｜联合｜关联
332,需,需要｜需求｜必需
333,南,南方｜南京｜南北
334,找,找到｜寻找｜找人
335,声,声音｜声明｜响声
336,委,委员｜委托｜委屈
337,运,运动｜运气｜运输
338,吗,好吗｜是吗｜对吗
339,神,神秘｜精神｜神仙
340,京,北京｜南京｜京城
341,何,任何｜如何｜何必
342,司,公司｜司机｜司法
343,尔,偶尔｜尔后｜出尔反尔
344,式,方式｜公式｜形式
345,级,等级｜年级｜级别
346,议,会议｜议论｜建议
347,拉,拉开｜拉手｜拖拉
348,望,希望｜愿望｜看望
349,风,风景｜风格｜大风
350,亲,亲人｜亲切｜亲自
351,必,必须｜必要｜必定
352,调,调整｜调查｜强调
353,怎,怎么｜怎样｜怎会
354,技,技术｜技能｜科技
355,跟,跟着｜跟随｜跟踪
356,光,光明｜阳光｜目光
357,友,朋友｜友谊｜友好
358,服,服装｜服务｜服从
359,企,企业｜企图｜企鹅
360,近,最近｜接近｜亲近
361,取,取得｜取消｜争取
362,却,却是｜退却｜忘却
363,命,生命｜命令｜命运
364,确,确实｜正确｜准确
365,流,流动｜流行｜河流
366,师,老师｜教师｜师傅
367,始,开始｜始终｜起始
368,商,商业｜商量｜商人
369,观,观察｜观点｜观众
370,请,请求｜邀请｜请问
371,质,质量｜物质｜品质
372,德,道德｜品德｜德国
373,规,规定｜规则｜规范
374,步,步骤｜进步｜脚步
375,格,格式｜品格｜合格
376,钱,金钱｜钱包｜赚钱
377,清,清楚｜清洁｜清水
378,百,一百｜百万｜百姓
379,识,认识｜知识｜识别
380,传,传统｜传播｜传说
381,眼,眼睛｜眼镜｜眼泪
382,城,城市｜城墙｜京城
383,证,证明｜证件｜证书
384,造,制造｜创造｜建造
385,育,教育｜体育｜养育
386,省,省份｜节省｜反省
387,广,广告｜广东｜广场
388,单,单位｜单独｜简单
389,台,台湾｜舞台｜台阶
390,影,电影｜影子｜影响
391,则,规则｜原则｜否则
392,转,转变｜转动｜转移
393,笑,笑容｜笑话｜微笑
394,际,国际｜交际｜边际
395,选,选择｜选举｜选手
396,增,增加｜增长｜增强
397,深,深刻｜深度｜深夜
398,准,准备｜准确｜标准
399,精,精神｜精彩｜精确
400,乐,快乐｜音乐｜乐趣
401,谈,谈话｜谈论｜谈判
402,花,花朵｜花园｜花费
403,查,查找｜检查｜调查
404,孩,孩子｜小孩｜孩童
405,集,集合｜收集｜集中
406,根,根本｜树根｜根据
407,晚,晚上｜夜晚｜晚饭
408,士,士兵｜护士｜博士
409,切,切断｜一切｜亲切
410,网,网络｜网页｜渔网
411,离,离开｜距离｜分离
412,整,整理｜整齐｜完整
413,字,汉字｜写字｜字典
414,研,研究｜科研｜钻研
415,局,局长｜邮局｜布局
416,图,图片｜地图｜图画
417,视,电视｜视频｜视力
418,价,价格｜价值｜评价
419,项,项目｜选项｜事项
420,团,团结｜团队｜集团
421,专,专业｜专门｜专家
422,语,语言｜汉语｜英语
423,王,国王｜王子｜王牌
424,革,革命｜改革｜革新
425,权,权利｜权力｜权威
426,周,周围｜周末｜周期
427,欢,欢乐｜喜欢｜欢迎
428,志,志向｜杂志｜意志
429,便,方便｜便利｜便条
430,片,照片｜片刻｜卡片
431,村,村庄｜农村｜村民
432,费,费用｜花费｜免费
433,备,准备｜备份｜设备
434,连,连接｜连续｜连忙
435,节,节日｜节约｜关节
436,林,森林｜树林｜竹林
437,校,学校｜校园｜校长
438,房,房子｜房间｜房屋
439,众,群众｜观众｜众多
440,失,失去｜失败｜丢失
441,线,线路｜直线｜电线
442,英,英语｜英雄｜精英
443,府,政府｜王府｜府邸
444,喜,喜欢｜喜悦｜喜庆
445,拿,拿走｜拿起｜捉拿
446,布,布置｜布料｜发布
447,算,计算｜算数｜打算
448,且,并且｜而且｜暂且
449,约,约会｜大约｜约定
450,考,考试｜考虑｜思考
451,争,竞争｜战争｜争论
452,往,往来｜前往｜往事
453,兴,兴趣｜高兴｜兴奋
454,类,类型｜种类｜分类
455,江,长江｜江河｜江水
456,具,工具｜具体｜玩具
457,远,远方｜永远｜遥远
458,空,空气｜天空｜空间
459,谁,谁人｜是谁｜谁家
460,参,参加｜参考｜参观
461,究,研究｜究竟｜探究
462,言,语言｜言论｜发言
463,首,首先｜首都｜首领
464,音,音乐｜声音｜音响
465,支,支持｜支付｜分支
466,极,极端｜积极｜极限
467,照,照片｜照顾｜照明
468,号,号码｜信号｜号召
469,写,写字｜写作｜书写
470,男,男孩｜男人｜男性
471,医,医生｜医院｜医学
472,标,标准｜目标｜标志
473,历,历史｜日历｜经历
474,消,消失｜消费｜消息
475,球,足球｜篮球｜地球
476,李,李子｜行李｜李树
477,早,早上｜早晨｜早餐
478,病,生病｜疾病｜病人
479,示,表示｜展示｜指示
480,赛,比赛｜竞赛｜赛跑
481,复,复习｜恢复｜重复
482,亚,亚洲｜亚军｜亚热带
483,包,包裹｜书包｜包装
484,八,八个｜八月｜八哥
485,刚,刚才｜刚刚｜刚好
486,较,比较｜较量｜较为
487,况,情况｜状况｜况且
488,即,即使｜立即｜即刻
489,买,购买｜买卖｜买家
490,演,演员｜表演｜演出
491,创,创造｜创新｜创作
492,案,案件｜方案｜档案
493,息,休息｜消息｜信息
494,举,举行｜举手｜选举
495,满,满意｜充满｜满分
496,史,历史｜史书｜史诗
497,投,投资｜投票｜投放
498,热,热情｜热闹｜热水
499,容,容易｜内容｜容貌
500,站,车站｜网站｜站立
501,群,群众｜群体｜人群
502,推,推动｜推荐｜推车
503,夫,丈夫｜农夫｜夫妻
504,越,越南｜越过｜超越
505,试,考试｜试验｜尝试
506,希,希望｜希腊｜希冀
507,火,火车｜火灾｜火焰
508,帮,帮助｜帮忙｜帮手
509,习,学习｜习惯｜练习
510,星,星星｜星座｜明星
511,九,九月｜九州｜九点
512,装,装备｜服装｜安装
513,红,红色｜红旗｜红包
514,六,六月｜六点｜六岁
515,护,保护｜护理｜守护
516,续,继续｜持续｜连续
517,留,留下｜留学｜保留
518,诉,告诉｜诉讼｜诉说
519,讲,讲话｜演讲｜讲解
520,客,客人｜客户｜做客
521,青,青年｜青春｜青色
522,注,注意｜关注｜注视
523,引,引导｜引用｜吸引
524,职,职业｜职务｜辞职
525,律,律师｜法律｜纪律
526,哪,哪里｜哪个｜哪边
527,族,民族｜家族｜种族
528,巴,巴西｜巴黎｜巴掌
529,效,效果｜效率｜有效
530,警,警察｜警告｜警惕
531,须,必须｜须知｜胡须
532,双,双手｜双方｜双倍
533,米,米饭｜大米｜厘米
534,织,纺织｜编织｜组织
535,未,未来｜未知｜未必
536,功,成功｜功夫｜功劳
537,易,容易｜交易｜易经
538,阿,阿姨｜阿拉伯｜阿婆
539,游,游戏｜游泳｜旅游
540,千,千万｜千米｜千秋
541,岁,岁月｜岁数｜年岁
542,随,随便｜跟随｜随意
543,罗,罗马｜罗列｜罗盘
544,纪,世纪｜纪念｜纪律
545,半,半夜｜半个｜半天
546,仅,仅仅｜仅有｜仅限
547,称,称呼｜名称｜称赞
548,妈,妈妈｜爸妈｜妈咪
549,段,段落｜阶段｜手段
550,落,落叶｜落后｜部落
551,存,存在｜保存｜存款
552,断,判断｜断开｜果断
553,坐,坐下｜坐车｜坐等
554,县,县城｜县长｜县域
555,助,帮助｜助理｜互助
556,营,营业｜经营｜营地
557,责,责任｜负责｜职责
558,严,严格｜严肃｜严厉
559,划,计划｜划分｜策划
560,施,施工｜实施｜措施
561,环,环境｜环保｜循环
562,低,低头｜降低｜低温
563,送,送礼｜送别｜运送
564,验,体验｜检验｜试验
565,料,材料｜资料｜预料
566,除,除了｜除去｜删除
567,石,石头｜石油｜钻石
568,维,维护｜维持｜思维
569,响,影响｜响声｜响应
570,势,形势｜势力｜姿势
571,积,积极｜积累｜面积
572,飞,飞机｜飞行｜飞快
573,害,伤害｜害怕｜害虫
574,紧,紧张｜紧急｜紧密
575,错,错误｜错过｜交错
576,官,官员｜官方｜军官
577,底,到底｜底下｜底片
578,例,例子｜例如｜例外
579,轻,轻松｜年轻｜轻重
580,够,足够｜能够｜不够
581,境,环境｜境界｜边境
582,构,结构｜构造｜机构
583,艺,艺术｜工艺｜技艺
584,曾,曾经｜未曾｜曾孙
585,器,机器｜武器｜器材
586,足,足球｜足够｜满足
587,型,类型｜型号｜典型
588,显,显示｜明显｜显然
589,尽,尽量｜尽力｜尽头
590,优,优秀｜优点｜优先
591,卡,卡片｜卡车｜关卡
592,列,列表｜排列｜列车
593,察,观察｜警察｜察觉
594,黑,黑色｜黑暗｜黑夜
595,七,七月｜七天｜七点
596,值,价值｜值得｜数值
597,协,协助｜协议｜协作
598,按,按照｜按时｜按摩
599,班,班级｜上班｜值班
600,土,土地｜泥土｜土豆
601,坚,坚持｜坚定｜坚强
602,采,采用｜采访｜采购
603,州,广州｜杭州｜苏州
604,供,供应｜提供｜供给
605,河,黄河｜河流｜河北
606,室,教室｜卧室｜办公室
607,击,打击｜攻击｜射击
608,排,排队｜安排｜排除
609,念,纪念｜想念｜概念
610,养,营养｜培养｜养殖
611,古,古代｜古老｜古典
612,父,父亲｜父母｜祖父
613,评,评价｜评论｜批评
614,继,继续｜继承｜相继
615,益,利益｜收益｜益智
616,源,资源｜来源｜源头
617,劳,劳动｜勤劳｜疲劳
618,厂,工厂｜厂家｜厂房
619,超,超过｜超级｜超市
620,终,终于｜最终｜终点
621,酒,啤酒｜白酒｜酒店
622,母,母亲｜父母｜祖母
623,态,态度｜状态｜生态
624,款,款式｜付款｜贷款
625,待,等待｜接待｜待遇
626,谢,谢谢｜感谢｜谢绝
627,层,层次｜楼层｜基层
628,黄,黄色｜黄金｜黄河
629,博,博士｜博客｜博物馆
630,速,速度｜快速｜迅速
631,香,香水｜香蕉｜香味
632,防,防止｜防御｜预防
633,占,占领｜占据｜占有
634,突,突然｜突破｜突出
635,另,另外｜另类｜另选
636,愿,愿意｜愿望｜心愿
637,版,版本｜出版｜版权
638,股,股票｜股份｜股东
639,您,您好｜您们｜您说
640,副,副业｜副职｜副本
641,杀,杀死｜杀害｜自杀
642,份,股份｜身份｜月份
643,食,食物｜食品｜饮食
644,伤,伤害｜受伤｜伤口
645,脸,脸色｜洗脸｜脸蛋
646,读,读书｜阅读｜朗读
647,舞,舞蹈｜跳舞｜舞台
648,哥,哥哥｜大哥｜表哥
649,批,批评｜批发｜批准
650,致,导致｜致敬｜致谢
651,初,初中｜初步｜最初
652,穿,穿着｜穿越｜穿衣
653,故,故事｜故乡｜故意
654,楼,楼梯｜楼房｜高楼
655,户,户口｜窗户｜用户
656,微,微笑｜微信｜微小
657,绝,绝对｜绝望｜拒绝
658,密,秘密｜密码｜保密
659,破,破坏｜打破｜破解
660,乡,家乡｜乡村｜乡下
661,素,素质｜元素｜素食
662,亿,亿万｜亿元｜几亿
663,搞,搞定｜搞活｜搞懂
664,画,画画｜图画｜画家
665,负,负责｜负担｜负面
666,衣,衣服｜穿衣｜上衣
667,停,停止｜停车｜停留
668,宝,宝贝｜宝贵｜宝石
669,阳,阳光｜太阳｜阳台
670,朋,朋友｜朋克｜良朋
671,令,命令｜令人｜口令
672,哈,哈哈｜哈欠｜哈气
673,奇,奇怪｜奇迹｜好奇
674,歌,歌曲｜唱歌｜歌手
675,久,长久｜永久｜久远
676,均,平均｜均衡｜均匀
677,派,派遣｜派送｜派别
678,怕,害怕｜恐怕｜怕事
679,武,武术｜武器｜武功
680,获,获得｜获取｜收获
681,富,富有｜财富｜富裕
682,依,依靠｜依据｜依然
683,阶,阶段｜台阶｜阶层
684,率,效率｜率领｜概率
685,席,主席｜出席｜席位
686,担,担心｜承担｜负担
687,店,商店｜饭店｜店铺
688,兰,兰花｜兰州｜兰草
689,居,居住｜居民｜邻居
690,剧,戏剧｜电视剧｜剧烈
691,春,春天｜春节｜青春
692,模,模型｜模仿｜模样
693,闻,新闻｜闻到｜闻名
694,修,修理｜修改｜装修
695,止,停止｜禁止｜止步
696,呀,哎呀｜呀呀｜好呀
697,脑,电脑｜脑袋｜大脑
698,云,白云｜云南｜云彩
699,苦,辛苦｜痛苦｜苦瓜
700,抓,抓住｜抓紧｜抓捕
701,余,剩余｜业余｜余下
702,围,包围｜周围｜围墙
703,策,政策｜策划｜策略
704,似,似乎｜相似｜类似
705,尼,尼龙｜尼姑｜尼泊尔
706,某,某些｜某个｜某人
707,血,血液｜鲜血｜血压
708,乎,几乎｜在乎｜似乎
709,倒,倒立｜倒霉｜倒车
710,斗,斗争｜奋斗｜斗篷
711,睡,睡觉｜睡眠｜睡衣
712,央,中央｜央视｜央求
713,油,石油｜汽油｜酱油
714,句,句子｜句号｜语句
715,票,门票｜车票｜发票
716,普,普通｜普及｜普遍
717,毛,毛巾｜毛衣｜羽毛
718,跑,跑步｜逃跑｜跑道
719,差,差别｜差距｜出差
720,细,细节｜仔细｜细胞
721,独,独立｜孤独｜独特
722,掉,丢掉｜掉头｜掉色
723,座,座位｜讲座｜星座
724,适,适合｜适当｜适应
725,夜,夜晚｜深夜｜夜市
726,范,范围｜规范｜示范
727,块,石块｜一块｜块状
728,刻,时刻｜立刻｜刻苦
729,简,简单｜简洁｜简历
730,玩,玩具｜玩耍｜玩笑
731,答,回答｜答案｜答题
732,检,检查｜检验｜体检
733,险,危险｜保险｜冒险
734,药,药品｜中药｜吃药
735,福,幸福｜祝福｜福气
736,充,充分｜充满｜补充
737,访,访问｜采访｜拜访
738,港,港口｜香港｜港湾
739,虽,虽然｜虽说｜虽则
740,否,是否｜否定｜否认
741,般,一般｜这般｜百般
742,树,树木｜树林｜树叶
743,承,承认｜承担｜继承
744,饭,吃饭｜米饭｜饭菜
745,仍,仍然｜仍旧｜仍需
746,犯,犯罪｜犯人｜犯错
747,角,角度｜角落｜三角
748,监,监督｜监视｜监狱
749,救,救援｜救命｜抢救
750,陈,陈旧｜陈列｜陈述
751,善,善良｜善意｜完善
752,亮,明亮｜漂亮｜响亮
753,卫,卫生｜保卫｜卫士
754,限,限制｜有限｜界限
755,喝,喝水｜喝茶｜喝酒
756,激,激动｜激烈｜刺激
757,银,银行｜银色｜白银
758,状,状态｜形状｜状况
759,铁,铁路｜钢铁｜地铁
760,属,属于｜金属｜属性
761,午,中午｜下午｜午饭
762,假,假期｜真假｜假如
763,配,配合｜分配｜搭配
764,温,温度｜温暖｜温和
765,龙,龙舟｜恐龙｜龙王
767,姐,姐姐｜姐妹｜空姐
768,讯,讯息｜通讯｜讯号
769,预,预防｜预备｜预测
770,木,木头｜树木｜木材
771,忙,忙碌｜急忙｜忙活
772,换,交换｜更换｜换算
773,宣,宣传｜宣布｜宣言
774,兵,士兵｜兵器｜当兵
775,财,财富｜财产｜理财
776,洲,亚洲｜欧洲｜非洲
777,置,位置｜设置｜安置
778,钟,钟表｜时钟｜钟声
779,啦,
780,馆,图书馆｜体育馆｜博物馆
781,卖,买卖｜卖东西｜出卖
782,靠,依靠｜靠近｜靠山
783,章,文章｜章节｜印章
784,肯,肯定｜肯干｜中肯
785,困,困难｜困倦｜困境
786,介,介绍｜中介｜简介
787,波,波浪｜波动｜风波
788,景,风景｜景色｜背景
789,园,公园｜花园｜园林
790,镇,小镇｜城镇｜镇压
791,印,印刷｜印章｜印象
792,急,着急｜紧急｜急忙
793,词,词语｜词汇｜台词
794,味,味道｜气味｜味精
795,弟,弟弟｜兄弟｜弟子
796,汉,汉语｜汉字｜汉族
797,销,销售｜推销｜报销
798,练,练习｜训练｜锻炼
799,静,安静｜平静｜冷静
800,冷,寒冷｜冷水｜冷清
801,吸,呼吸｜吸引｜吸收
802,戏,游戏｜戏剧｜演戏
803,永,永远｜永久｜永恒
804,朝,朝阳｜朝代｜朝霞
805,罪,犯罪｜罪恶｜罪过
806,讨,讨论｜讨厌｜讨价还价
807,压,压力｜压迫｜压缩
808,托,拜托｜托运｜托管
809,录,录音｜记录｜录像
810,皮,皮肤｜皮鞋｜皮包
811,短,短裤｜短暂｜短处
812,旅,旅行｜旅游｜旅客
813,控,控制｜遥控｜控告
814,良,良好｜善良｜良心
815,苏,苏醒｜苏州｜苏打
816,胜,胜利｜获胜｜胜出
817,伙,伙伴｜伙计｜合伙
818,欧,欧洲｜欧元｜欧式
819,拍,拍照｜拍卖｜拍摄
820,互,互相｜互动｜互联网
821,既,既然｜既得｜既往
822,甚,甚至｜甚好｜甚多
823,套,套装｜圈套｜一套
824,街,街道｜逛街｜街头
825,雨,下雨｜雨水｜雨伞
826,礼,礼物｜礼貌｜婚礼
827,坏,坏人｜破坏｜坏处
829,冲,冲动｜冲洗｜冲突
830,草,草地｜草原｜草稿
831,婚,婚姻｜结婚｜婚礼
832,唱,唱歌｜演唱｜合唱
833,威,威胁｜威力｜威风
834,购,购买｜购物｜采购
835,丽,美丽｜华丽｜壮丽
836,健,健康｜健身｜健全
837,挥,挥手｜发挥｜挥霍
838,怪,奇怪｜怪物｜责怪
839,索,探索｜索取｜线索
840,执,执行｜执着｜执照
841,背,背后｜背包｜背景
842,货,货物｜货车｜进货
843,顾,顾客｜照顾｜回顾
844,呼,呼吸｜呼唤｜呼应
845,编,编辑｜编织｜编号
846,沙,沙子｜沙漠｜沙土
847,脚,脚步｜脚下｜脚底
848,藏,隐藏｜收藏｜宝藏
849,课,课程｜上课｜课本
850,田,田地｜田野｜农田
851,牌,牌子｜招牌｜品牌
852,升,升级｜上升｜升旗
853,伊,伊朗｜伊人｜伊始
854,庭,庭院｜法庭｜家庭
855,训,训练｜教训｜培训
856,跳,跳舞｜跳跃｜跳高
857,奖,奖励｜奖金｜获奖
858,探,探索｜探望｜侦探
859,税,税收｜税务｜关税
860,培,培养｜培训｜培育
861,杂,杂志｜复杂｜杂乱
862,抗,抗议｜抵抗｜抗战
