term,cleaned_pinyin,updated_pinyin,status
乘虚而入,chéngxū érrù,chéng xū ér rù,success
人格化,réngéhuà,rén gé huà,success
连根拔,liángēnbá,lián gēn bá,success
蛮干,mángàn,mán gàn,success
年根,niángēn,nián gēn,success
单干,dāngàn,dān gàn,success
审稿,shěngǎo,shěn gǎo,success
多愁善感,duōchóu shàngǎn,duō chóu shàn gǎn,success
花呢,huāní,huā ní,success
无可比拟,wúkěbǐnǐ,wú kě bǐ nǐ,success
不期而遇,bùqī éryù,bù qī ér yù,success
焦头烂额,jiāotóu làn é,jiāo tóu làn é,success
肯干,kěngàn,kěn gàn,success
气囊,qìnáng,qì náng,success
删改,shāngǎi,shān gǎi,success
音高,yīngāo,yīn gāo,success
一股脑儿,yīgǔnǎor,yī gǔ nǎo er,success
国泰民安,guótài mín ān,guó tài mí nān,success
探戈,tàngē,tàn gē,success
战歌,zhàngē,zhàn gē,success
辐射能,fúshènéng,fú shè néng,success
半夜三更,bànyè sāngēng,bàn yè sān gēng,success
感恩节,gǎn ēnjié,gǎn ēn jié,success
婢女,bìnǚ,bì nǚ,success
动真格的,dòngzhēngéde,dòng zhēn gé de,success
大逆不道,dànì bùdào,dà nì bù dào,success
呢喃,nínán,ní nán,success
政治避难,zhèngzhì bìnàn,zhèng zhì bì nàn,success
哈尼族,hānízú,hā ní zú,success
国际儿童节,guójì értóngjié,guó jì ér tóng jié,success
近古,jìngǔ,jìn gǔ,success
盘古,pángǔ,pán gǔ,success
顽固派,wángùpài,wán gù pài,success
完稿,wángǎo,wán gǎo,success
挽歌,wǎngē,wǎn gē,success
仅够,jǐngòu,jǐn gòu,success
翻个儿,fāngèr,fān gè er,success
年糕,niángāo,nián gāo,success
勉为其难,miǎnwéiqínán,miǎn wéi qí nán,success
泥淖,nínào,ní nào,success
见告,jiàngào,jiàn gào,success
改弦更张,gǎixián gēngzhāng,gǎi xián gēng zhāng,success
义女,yìnǚ,yì nǚ,success
稀泥,xīní,xī ní,success
阉割,yāngē,yān gē,success
嬉闹,xīnào,xī nào,success
取闹,qǔnào,qǔ nào,success
信鸽,xìngē,xìn gē,success
天昏地暗,tiānhūn dì àn,tiān hūn dì àn,success
欢歌笑语,huāngē xiàoyǔ,huān gē xiào yǔ,success
换岗,huàngǎng,huàn gǎng,success
紧箍咒,jǐngūzhòu,jǐn gū zhòu,success
螺纹钢,luówéngāng,luó wén gāng,success
浑浑噩噩,húnhún è è,hún hún è è,success
大吵大闹,dàchǎo dànào,dà chǎo dà nào,success
盘根错节,pángēn cuòjié,pán gēn cuò jié,success
触怒,chùnù,chù nù,success
无理取闹,wúlǐ qǔnào,wú lǐ qǔ nào,success
歌女,gēnǚ,gē nǚ,success
瞻前顾后,zhānqián gùhòu,zhān qián gù hòu,success
摇旗呐喊,yáoqí nàhǎn,yáo qí nà hǎn,success
亲骨肉,qīngǔròu,qīn gǔ ròu,success
人高马大,réngāo mǎdà,rén gāo mǎ dà,success
金刚经,jīngāngjīng,jīn gāng jīng,success
大动干戈,dàdòng gāngē,dà dòng gān gē,success
难舍难分,nánshě nánfēn,nán shě nán fēn,success
皮囊,pínáng,pí náng,success
明争暗斗,míngzhēng àndòu,míng zhēng àn dòu,success
俗不可耐,súbùkěnài,sú bù kě nài,success
随遇而安,suíyù ér ān,suí yù é rān,success
仙姑,xiāngū,xiān gū,success
洗耳恭听,xǐ ěr gōngtīng,xǐ ěr gōng tīng,success
合金钢,héjīngāng,hé jīn gāng,success
金戈铁马,jīngē tiěmǎ,jīn gē tiě mǎ,success
阴暗面,yīn ànmiàn,yīn àn miàn,success
鼓鼓囊囊,gǔgu nāngnāng,gǔ gu nāng nāng,success
忍饥挨饿,rěnjī ái è,rěn jī ái è,success
不管三七二十一,bùguǎn sān qī èrshíyī,bù guǎn sān qī èr shí yī,success
河泥,héní,hé ní,success
眼高,yǎngāo,yǎn gāo,success
三顾茅庐,sāngù máolú,sān gù máo lú,success
万古长青,wàngǔ chángqīng,wàn gǔ cháng qīng,success
山冈,shāngāng,shān gāng,success
苦心孤诣,kǔxīn gūyì,kǔ xīn gū yì,success
家奴,jiānú,jiā nú,success
秘而不宣,mì érbùxuān,mì ér bù xuān,success
姨奶奶,yínǎinai,yí nǎi nai,success
打内战,dǎnèizhàn,dǎ nèi zhàn,success
板蓝根,bǎnlángēn,bǎn lán gēn,success
喜怒无常,xǐnù wúcháng,xǐ nù wú cháng,success
讷讷,nènè,nè nè,success
尘垢,chéngòu,chén gòu,success
依然故我,yīrán gùwǒ,yī rán gù wǒ,success
可能,kěnéng,kě néng,success
严格,yángé,yán gé,success
西南,xīnán,xī nán,success
可能性,kěnéngxìng,kě néng xìng,success
三个代表,sāngè dàibiǎo,sān gè dài biǎo,success
热闹,rènao,rè nao,success
遇难,yùnàn,yù nàn,success
技能,jìnéng,jì néng,success
敏感,mǐngǎn,mǐn gǎn,success
尽可能,jǐnkěnéng,jǐn kě néng,success
人格,réngé,rén gé,success
责任感,zérèngǎn,zé rèn gǎn,success
分割,fēngē,fēn gē,success
比基尼,bǐjīní,bǐ jī ní,success
转氨酶,zhuǎn ānméi,zhuǎn ān méi,success
反戈,fǎngē,fǎn gē,success
滑嫩,huánèn,huá nèn,success
金刚钻,jīngāngzuàn,jīn gāng zuàn,success
化干戈为玉帛,huà gāngē wéi yùbó,huà gān gē wéi yù bó,success
恋歌,liàngē,liàn gē,success
感恩戴德,gǎn ēn dàidé,gǎn ēn dài dé,success
息怒,xīnù,xī nù,success
骑虎难下,qíhǔ nánxià,qí hǔ nán xià,success
滑腻,huánì,huá nì,success
第二课堂,dì èr kètáng,dì èr kè táng,success
翻耕,fāngēng,fān gēng,success
第二梯队,dì èr tīduì,dì èr tī duì,success
深耕,shēngēng,shēn gēng,success
苦尽甘来,kǔjìn gānlái,kǔ jìn gān lái,success
门岗,méngǎng,mén gǎng,success
洗心革面,xǐxīn gémiàn,xǐ xīn gé miàn,success
反戈一击,fǎngē yījī,fǎn gē yī jī,success
穷山恶水,qióngshān èshuǐ,qióng shān è shuǐ,success
谷氨酸,gǔ ānsuān,gǔ ān suān,success
疾恶如仇,jí è rúchóu,jí è rú chóu,success
函告,hángào,hán gào,success
金童玉女,jīntóng yùnǚ,jīn tóng yù nǚ,success
人各有志,réngèyǒuzhì,rén gè yǒu zhì,success
挖泥船,wāníchuán,wā ní chuán,success
处女膜,chǔnǚmó,chǔ nǚ mó,success
三更半夜,sāngēng bànyè,sān gēng bàn yè,success
罄竹难书,qìngzhú nánshū,qìng zhú nán shū,success
翻盖,fāngài,fān gài,success
欲擒故纵,yùqín gùzòng,yù qín gù zòng,success
审改,shěngǎi,shěn gǎi,success
翻跟头,fāngēntou,fān gēn tou,success
弦歌,xiángē,xián gē,success
染缸,rǎngāng,rǎn gāng,success
灌溉渠,guàngàiqú,guàn gài qú,success
亲故,qīngù,qīn gù,success
呜呼哀哉,wūhū āizāi,wū hū āi zāi,success
狼心狗肺,lángxīn gǒufèi,láng xīn gǒu fèi,success
吐故纳新,tǔgù nàxīn,tǔ gù nà xīn,success
民脂民膏,mínzhī míngāo,mín zhī mín gāo,success
能屈能伸,néngqū néngshēn,néng qū néng shēn,success
寿比南山,shòubǐnánshān,shòu bǐ nán shān,success
一失足成千古恨,yī shīzú chéng qiāngǔ hèn,yī shī zú chéng qiān gǔ hèn,success
种瓜得瓜，种豆得豆,zhòngguā déguā zhòngdòu dédòu,zhòng guā dé guā，zhòng dòu dé dòu,success
山旮旯儿,shāngālár,shān gā lá er,success
老顽固,lǎowángù,lǎo wán gù,success
鸡内金,jīnèijīn,jī nèi jīn,success
自流灌溉,zìliú guàngài,zì liú guàn gài,success
眼高手低,yǎngāo shǒudī,yǎn gāo shǒu dī,success
大鲵,dàní,dà ní,success
和稀泥,huòxīní,huò xī ní,success
温故知新,wēngù zhīxīn,wēn gù zhī xīn,success
文蛤,wéngé,wén gé,success
枕戈待旦,zhěngē dàidàn,zhěn gē dài dàn,success
安民告示,ānmín gàoshi,ān mín gào shi,success
潮汐能,cháoxīnéng,cháo xī néng,success
髋骨,kuāngǔ,kuān gǔ,success
阴干,yīngān,yīn gān,success
具体而微,jùtǐ érwēi,jù tǐ ér wēi,success
乙脑,yǐnǎo,yǐ nǎo,success
傻头傻脑,shǎtóu shǎnǎo,shǎ tóu shǎ nǎo,success
吃闭门羹,chībìméngēng,chī bì mén gēng,success
熟能生巧,shúnéngshēngqiǎo,shú néng shēng qiǎo,success
瞎闹,xiānào,xiā nào,success
贱骨头,jiàngǔtou,jiàn gǔ tou,success
换购,huàngòu,huàn gòu,success
三角恋爱,sānjiǎo liàn ài,sān jiǎo liàn ài,success
汉语拼音方案,hànyǔ pīnyīn fāng àn,hàn yǔ pīn yīn fāng àn,success
十年树木，百年树人,shínián shùmù bǎiniánshùrén,shí nián shù mù，bǎi nián shù rén,success
忠言逆耳,zhōngyán nì ěr,zhōng yán nì ěr,success
第二人称,dì èr rénchēng,dì èr rén chēng,success
延搁,yángē,yán gē,success
日上三竿,rìshàngsāngān,rì shàng sān gān,success
华达呢,huádání,huá dá ní,success
干股,gāngǔ,gān gǔ,success
期期艾艾,qīqī ài ài,qī qī ài ài,success
色厉内荏,sèlì nèirěn,sè lì nèi rěn,success
欲壑难填,yùhè nántián,yù hè nán tián,success
虎头虎脑,hǔtóu hǔnǎo,hǔ tóu hǔ nǎo,success
举案齐眉,jǔ àn qíméi,jǔ àn qí méi,success
年高德劭,niángāo déshào,nián gāo dé shào,success
细皮嫩肉,xìpí nènròu,xì pí nèn ròu,success
吧女,bānǚ,bā nǚ,success
反骨,fǎngǔ,fǎn gǔ,success
枕骨,zhěngǔ,zhěn gǔ,success
名垂千古,míngchuí qiāngǔ,míng chuí qiān gǔ,success
暗沟,àngōu,àn gōu,success
土头土脑,tǔtóu tǔnǎo,tǔ tóu tǔ nǎo,success
恶声恶气,èshēng èqì,è shēng è qì,success
险固,xiǎngù,xiǎn gù,success
双重人格,shuāngchóng réngé,shuāng chóng rén gé,success
明枪暗箭,míngqiāng ànjiàn,míng qiāng àn jiàn,success
河南坠子,hénán zhuìzi,hé nán zhuì zi,success
公私兼顾,gōngsī jiāngù,gōng sī jiān gù,success
感恩图报,gǎn ēn túbào,gǎn ēn tú bào,success
眼观六路，耳听八方,yǎnguānliùlù ěrtīngbāfāng,yǎn guān liù lù，ěr tīng bā fāng,success
臭皮囊,chòupínáng,chòu pí náng,success
年庚,niángēng,nián gēng,success
惧内,jùnèi,jù nèi,success
橡皮泥,xiàngpíní,xiàng pí ní,success
见高低,jiàngāodī,jiàn gāo dī,success
地板革,dìbǎngé,dì bǎn gé,success
传告,chuángào,chuán gào,success
以眼还眼，以牙还牙,yǐyǎn huányǎn yǐyá huányá,yǐ yǎn huán yǎn，yǐ yá huán yá,success
金箍棒,jīngūbàng,jīn gū bàng,success
主脑,zhǔnǎo,zhǔ nǎo,success
靠山吃山，靠水吃水,kàoshān chīshān kàoshuǐ chīshuǐ,kào shān chī shān，kào shuǐ chī shuǐ,success
髌骨,bìngǔ,bìn gǔ,success
河南梆子,hénán bāngzi,hé nán bāng zi,success
薄荷脑,bòhenǎo,bò he nǎo,success
削铁如泥,xuētiě rúní,xuē tiě rú ní,success
金刚砂,jīngāngshā,jīn gāng shā,success
嫉贤妒能,jíxián dùnéng,jí xián dù néng,success
蛋羹,dàngēng,dàn gēng,success
翻改,fāngǎi,fān gǎi,success
响遏行云,xiǎng èxíngyún,xiǎng è xíng yún,success
万古流芳,wàngǔ liúfāng,wàn gǔ liú fāng,success
嗉囊,sùnáng,sù náng,success
厄难,ènàn,è nàn,success
单干户,dāngànhù,dān gàn hù,success
无源之水，无本之木,wúyuánzhīshuǐ wúběnzhīmù,wú yuán zhī shuǐ，wú běn zhī mù,success
狎昵,xiánì,xiá nì,success
发腻,fānì,fā nì,success
大染缸,dàrǎngāng,dà rǎn gāng,success
函购,hángòu,hán gòu,success
攀高枝儿,pāngāozhīr,pān gāo zhī er,success
震古烁今,zhèngǔ shuòjīn,zhèn gǔ shuò jīn,success
局内人,júnèirén,jú nèi rén,success
欲加之罪，何患无辞,yùjiāzhīzuì héhuànwúcí,yù jiā zhī zuì，hé huàn wú cí,success
下奶,xiànǎi,xià nǎi,success
窑姐儿,yáojiěr,yáo jiě er,success
懒骨头,lǎngǔtou,lǎn gǔ tou,success
伞骨,sǎngǔ,sǎn gǔ,success
司马昭之心，路人皆知,sīmǎzhāo zhī xīn lùrén jiēzhī,sī mǎ zhāo zhī xīn，lù rén jiē zhī,success
三姑六婆,sāngū liùpó,sān gū liù pó,success
深沟高垒,shēngōu gāolěi,shēn gōu gāo lěi,success
毁家纾难,huǐjiā shūnàn,huǐ jiā shū nàn,success
油头滑脑,yóutóu huánǎo,yóu tóu huá nǎo,success
六一国际儿童节,liù yī guójì értóngjié,liù yī guó jì ér tóng jié,success
向隅而泣,xiàngyú érqì,xiàng yú ér qì,success
国富民安,guófù mín ān,guó fù mín ān,success
蔫头耷脑,niāntóu dānǎo,niān tóu dā nǎo,success
简古,jiǎngǔ,jiǎn gǔ,success
三灾八难,sānzāi bānàn,sān zāi bā nàn,success
隐恶扬善,yǐn è yángshàn,yǐn è yáng shàn,success
饱食终日，无所用心,bǎoshí zhōngrì wúsuǒyòngxīn,bǎo shí zhōng rì，wú suǒ yòng xīn,success
山高水低,shāngāo shuǐdī,shān gāo shuǐ dī,success
抹稀泥,mǒxīní,mǒ xī ní,success
含垢忍辱,hángòu rěnrǔ,hán gòu rěn rǔ,success
大脑炎,dànǎoyán,dà nǎo yán,success
连亘,liángèn,lián gèn,success
女里女气,nǚlinǚqì,nǚ li nǚ qì,success
深耕细作,shēngēng xìzuò,shēn gēng xì zuò,success
盘根问底,pángēn wèndǐ,pán gēn wèn dǐ,success
顶门杠,dǐngméngàng,dǐng mén gàng,success
锅贴儿,guōtiēr,guō tiē er,success
滑头滑脑,huátóu huánǎo,huá tóu huá nǎo,success
兼听则明，偏信则暗,jiāntīng zémíng piānxìn zé àn,jiān tīng zé míng，piān xìn zé àn,success
放暗箭,fàng ànjiàn,fàng àn jiàn,success
西欧,xī ōu,xī ōu,no_split
偶尔,ǒu ěr,ǒu ěr,no_split
恋爱,liàn ài,liàn ài,no_split
图案,tú àn,tú àn,no_split
大案,dà àn,dà àn,no_split
妨碍,fáng ài,fáng ài,no_split
东欧,dōng ōu,dōng ōu,no_split
办案,bàn àn,bàn àn,no_split
罪恶,zuì è,zuì è,no_split
立案,lì àn,lì àn,no_split
余额,yú é,yú é,no_split
悲哀,bēi āi,bēi āi,no_split
沿岸,yán àn,yán àn,no_split
孤儿,gū ér,gū ér,no_split
饥饿,jī è,jī è,no_split
小儿,xiǎo ér,xiǎo ér,no_split
邪恶,xié è,xié è,no_split
配额,pèi é,pèi é,no_split
天鹅,tiān é,tiān é,no_split
作案,zuò àn,zuò àn,no_split
个案,gè àn,gè àn,no_split
七一,qī yī,qī yī,no_split
罪案,zuì àn,zuì àn,no_split
暗暗,àn àn,àn àn,no_split
备案,bèi àn,bèi àn,no_split
时而,shí ér,shí ér,no_split
要案,yào àn,yào àn,no_split
少儿,shào ér,shào ér,no_split
心爱,xīn ài,xīn ài,no_split
中欧,zhōng ōu,zhōng ōu,no_split
丑恶,chǒu è,chǒu è,no_split
限额,xiàn é,xiàn é,no_split
名额,míng é,míng é,no_split
继而,jì ér,jì ér,no_split
摩尔,mó ěr,mó ěr,no_split
健儿,jiàn ér,jiàn ér,no_split
转而,zhuǎn ér,zhuǎn ér,no_split
涉案,shè àn,shè àn,no_split
高额,gāo é,gāo é,no_split
超额,chāo é,chāo é,no_split
预案,yù àn,yù àn,no_split
北欧,běi ōu,běi ōu,no_split
关爱,guān ài,guān ài,no_split
高昂,gāo áng,gāo áng,no_split
阴暗,yīn àn,yīn àn,no_split
破案,pò àn,pò àn,no_split
配偶,pèi ǒu,pèi ǒu,no_split
相爱,xiāng ài,xiāng ài,no_split
专案,zhuān àn,zhuān àn,no_split
和蔼,hé ǎi,hé ǎi,no_split
心安,xīn ān,xīn ān,no_split
彼岸,bǐ àn,bǐ àn,no_split
激昂,jī áng,jī áng,no_split
狭隘,xiá ài,xiá ài,no_split
河岸,hé àn,hé àn,no_split
定额,dìng é,dìng é,no_split
差额,chā é,chā é,no_split
足额,zú é,zú é,no_split
报案,bào àn,bào àn,no_split
昏暗,hūn àn,hūn àn,no_split
尘埃,chén āi,chén āi,no_split
偏爱,piān ài,piān ài,no_split
花儿,huā ér,huā ér,no_split
胎儿,tāi ér,tāi ér,no_split
险恶,xiǎn è,xiǎn è,no_split
归案,guī àn,guī àn,no_split
对岸,duì àn,duì àn,no_split
故而,gù ér,gù ér,no_split
七七,qī qī,qī qī,no_split
税额,shuì é,shuì é,no_split
幸而,xìng ér,xìng ér,no_split
酷爱,kù ài,kù ài,no_split
大黄,dàhuáng dàihuáng,dàhuáng dàihuáng,no_split
小额,xiǎo é,xiǎo é,no_split
结案,jié àn,jié àn,no_split
友爱,yǒu ài,yǒu ài,no_split
马鞍,mǎ ān,mǎ ān,no_split
惨案,cǎn àn,cǎn àn,no_split
全额,quán é,quán é,no_split
惊愕,jīng è,jīng è,no_split
遐迩,xiá ěr,xiá ěr,no_split
在案,zài àn,zài àn,no_split
煎熬,jiān áo,jiān áo,no_split
前额,qián é,qián é,no_split
敬爱,jìng ài,jìng ài,no_split
宠爱,chǒng ài,chǒng ài,no_split
木偶,mù ǒu,mù ǒu,no_split
悦耳,yuè ěr,yuè ěr,no_split
慈爱,cí ài,cí ài,no_split
刺耳,cì ěr,cì ěr,no_split
低矮,dī ǎi,dī ǎi,no_split
凶恶,xiōng è,xiōng è,no_split
震耳,zhèn ěr,zhèn ěr,no_split
疼爱,téng ài,téng ài,no_split
款额,kuǎn é,kuǎn é,no_split
深奥,shēn ào,shēn ào,no_split
善恶,shàn è,shàn è,no_split
钟爱,zhōng ài,zhōng ài,no_split
感恩,gǎn ēn,gǎn ēn,no_split
致癌,zhì ái,zhì ái,no_split
棉袄,mián ǎo,mián ǎo,no_split
博爱,bó ài,bó ài,no_split
母爱,mǔ ài,mǔ ài,no_split
木耳,mù ěr,mù ěr,no_split
发案,fā àn,fā àn,no_split
高傲,gāo ào,gāo ào,no_split
作恶,zuò è,zuò è,no_split
厚爱,hòu ài,hòu ài,no_split
毒案,dú àn,dú àn,no_split
斗殴,dòu ōu,dòu ōu,no_split
男儿,nán ér,nán ér,no_split
南欧,nán ōu,nán ōu,no_split
挚爱,zhì ài,zhì ài,no_split
性爱,xìng ài,xìng ài,no_split
巍峨,wēi é,wēi é,no_split
错案,cuò àn,cuò àn,no_split
销案,xiāo àn,xiāo àn,no_split
求爱,qiú ài,qiú ài,no_split
大额,dà é,dà é,no_split
投案,tóu àn,tóu àn,no_split
农工商,nóng gōng shāng,nóng gōng shāng,no_split
忽而,hū ér,hū ér,no_split
珍爱,zhēn ài,zhēn ài,no_split
灰暗,huī àn,huī àn,no_split
自爱,zì ài,zì ài,no_split
面额,miàn é,miàn é,no_split
产供销,chǎn gōng xiāo,chǎn gōng xiāo,no_split
情爱,qíng ài,qíng ài,no_split
衣食住行,yī shí zhù xíng,yī shí zhù xíng,no_split
劫案,jié àn,jié àn,no_split
幽暗,yōu àn,yōu àn,no_split
喜怒哀乐,xǐ nù āi lè,xǐ nù āi lè,no_split
讼案,sòng àn,sòng àn,no_split
诱饵,yòu ěr,yòu ěr,no_split
做爱,zuò ài,zuò ài,no_split
慰安,wèi ān,wèi ān,no_split
有碍,yǒu ài,yǒu ài,no_split
窃案,qiè àn,qiè àn,no_split
晚安,wǎn ān,wǎn ān,no_split
难熬,nán áo,nán áo,no_split
拍案,pāi àn,pāi àn,no_split
恩爱,ēn ài,ēn ài,no_split
吃喝玩乐,chī hē wán lè,chī hē wán lè,no_split
翻案,fān àn,fān àn,no_split
公案,gōng àn,gōng àn,no_split
真善美,zhēn shàn měi,zhēn shàn měi,no_split
海鸥,hǎi ōu,hǎi ōu,no_split
默哀,mò āi,mò āi,no_split
侧耳,cè ěr,cè ěr,no_split
酸甜苦辣,suān tián kǔ là,suān tián kǔ là,no_split
仁爱,rén ài,rén ài,no_split
宠儿,chǒng ér,chǒng ér,no_split
冤案,yuān àn,yuān àn,no_split
请安,qǐng ān,qǐng ān,no_split
伏案,fú àn,fú àn,no_split
靠岸,kào àn,kào àn,no_split
税案,shuì àn,shuì àn,no_split
入耳,rù ěr,rù ěr,no_split
深谙,shēn ān,shēn ān,no_split
甚而,shèn ér,shèn ér,no_split
命案,mìng àn,mìng àn,no_split
自傲,zì ào,zì ào,no_split
育儿,yù ér,yù ér,no_split
匾额,biǎn é,biǎn é,no_split
怜爱,lián ài,lián ài,no_split
何乐而不为,hé lè ér bù wéi,hé lè ér bù wéi,no_split
封二,fēng èr,fēng èr,no_split
工农兵,gōng nóng bīng,gōng nóng bīng,no_split
