definition_id,example_sn,example_cn,example_en,example_img
721,2,"有热情,有朝气。",full of enthusiasm and vigour,
722,1,屋里有十来个人。,There are about a dozen people in the room.,
723,1,水有一丈多深,The water is more than one zhang deep.,
723,2,他有他哥哥那么高了。,He is now as tall as his elder brother.,
724,1,他有病了,He is ill.,
724,2,形势有了新发展,There are new developments in the situation.,
724,3,他在大家的帮助下有了很大的进步。,He has made tremendous progress with the help of everybody.,
725,1,有学问,be well-learned,
725,2,有经验,be experienced,
725,3,有了年纪。,be getting on in age,
726,1,有一天他来了,He came one day.,
726,2,"有人这么说,我可没看见。","Someone put it that way, but I didn't see it.",
727,1,"有人性子急,有人性子慢",Some are hot-tempered and some are placid.,
727,2,这里有时候也能热到三十八九度,The temperature here sometimes can also go up to 38℃ or 39℃.,
727,3,"这场雨有地方下到了,有地方没下到。","The rain fell in some areas, but not in others.",
728,1,有劳,may I trouble you; sorry to bother you,
728,2,有请。,ask sb. politely into a room,
729,1,有夏,the Xia Dynasty,
729,2,有周,the Zhou Dynasty,
729,3,有宋一代。,the Song Dynasty,
811,1,男人,man,
811,2,女人,woman,
811,3,人们,people,
811,4,人类。,human being,
812,1,人手一册,a copy to everyone,
812,2,人所共知。,be known to all,
813,1,长大成人。,grow up; become adult,
814,1,工人,worker,
814,2,军人,serviceman,
814,3,主人,host,
814,4,介绍人。,matchmaker,
815,1,人云亦云,parrot; echo,
815,2,待人诚恳。,be sincere to people,
816,1,丢人,be disgraced; lose face,
816,2,这个同志人很好,The comrade is a good person.,
816,3,他人老实。,He is an honest man.,
817,1,这两天人不大舒服,not feel well the last couple of days,
817,2,送到医院人已经昏迷过去了。,lose consciousness upon being rushed to the hospital,
818,1,人浮于事,be overstaffed,
818,2,我们这里正缺人。,We are short of hands here.,
911,1,这本杂志,this magazine,
911,2,这几匹马,these horses,
911,3,这孩子,this child,
911,4,这地方,this place,
911,5,这时候。,this time,
911,6,单用,[used independently],
911,7,这叫什么?,What is this called?,
911,8,这是我们厂的新产品。,This is a new product by our factory.,
911,9,"[注意]NOTE:在口语里,‘这’单用或者后面直接跟名词时,说zhè;‘这’后面跟量词或数词加量词时,常常说zhèi。以下【这程子】、【这个】、【这会ㄦ】、【这些】、【这样】各条在口语里都常常说zhèi-。","In spoken language, when 这 is used inde-pendently or followed directly by a noun, it is pronounced ‘zhè’; when 这 is followed by a classifier or a numeral plus a classifier, it is pronounced ‘zhèi’; in the following examples of 这程子zhèchéng·zi, 这个zhè·ge, 这会ㄦzhèhuìr, 这些zhèxiē and 这样zhèyàng, it ispronounced ‘zhèi-’.",
912,1,他这才知道运动的好处,Only now does he see the value of taking physical exercises.,
912,2,我这就走。,I'm leaving right now.,
1021,1,爬上山顶。,climb up to the top of the mountain (or hill),
1022,1,锁上门,lock the door; lock up,
1022,2,考上了大学,be admitted into a university,
1022,3,那时他家穷得连饭都吃不上。,His family was too poor to have enough to eat in those years.,
1023,1,爱上了农村。,fall in love with the countryside,
1031,1,脸上,on one's face,
1031,2,墙上,on the wall,
1031,3,桌子上。,on the table,
1032,1,会上,at a meeting,
1032,2,书上,in the book,
1032,3,课堂上,in the classroom,
1032,4,报纸上。,in the newspaper,
1033,1,组织上,organizationally,
1033,2,事实上,in fact; as a matter of fact,
1033,3,思想上。,ideologically; mentally,
1034,1,上部,upper part,
1034,2,上游,upper reaches,
1034,3,往上看。,look upward,
1035,1,上等,top-notch; high grade,
1035,2,上级,authorities above (or at a higher level),
1035,3,上品。,top quality,
1036,1,上卷,1st volume; Volume I; 1st part; Part I,
1036,2,上次,last time,
1036,3,上半年。,1st half of a year,
1037,1,上谕。,imperial edict; imperial decree,
1038,1,上缴,"turn over (revenues, tax, etc.) to the higher authorities",
1038,2,上升,rise; go up; increase,
1038,3,上进。,make progress; go forward,
1039,1,上山,climb up a mountain,
1039,2,上楼,go upstairs; ascend the stairs,
1039,3,上车。,"get on a car (bus, etc.)",
1040,1,上街,go shopping,
1040,2,上工厂,go to the factory,
1040,3,他上哪ㄦ去了?,Where has he gone? or Where is he?,
1041,1,上书。,"submit a written request (statement, paper, etc.) to a higher authority",
1042,1,"老张快上,投篮",Be quick! Lao Zhang. Shoot!,
1042,2,"见困难就上,见荣誉就让。","Advance where there are difficulties to overcome, and retreat where there is an honour in store.",
1043,1,"这一场戏,你应该从左边的旁门上","In this scene, you should get on stage from the side door on the left.",
1043,2,"这一场球,你们五个先上。",The five of you will start the game first.,
1044,1,上饭,serve a meal,
1044,2,上菜,serve dishes,
1044,3,上茶。,serve tea,
1045,1,上水,feed water to a steam engine,
1045,2,上货。,replenish supplies for sale,
1046,1,上刺刀,fix bayonets,
1046,2,上螺丝。,tighten a screw; drive screws,
1047,1,上颜色,apply colours,
1047,2,上药。,apply medicine,
1048,1,上报,be printed in a newspaper; be reported in a newspaper,
1048,2,上账。,make an entry in the account book; enter in the account book,
1049,1,上弦,wind a watch (or clock),
1049,2,表该上了。,It's time to wind the watch.,
1050,1,上班,go to work,
1050,2,上课。,attend class,
1051,1,上百人,up to 100 people,
1051,2,上年纪。,get on in age,
1052,1,平上去入。,"level tone, rising tone or falling-rising tone, falling tone and entering tone; four tones of classical Chinese pronunciation",
1121,1,房子大,big house,
1121,2,地方大,big place,
1121,3,年纪大,old age,
1121,4,声音太大,The sound is too loud.,
1121,5,外面风大,The wind is blowing hard.,
1121,6,团结起来力量大。,Unity is strength.,
1122,1,那间房子有这间两个大,That room is twice the size of this one.,
1122,2,你的孩子现在多大了?,How old is your child?,
1123,1,大红,bright red,
1123,2,真相大白,The truth has been revealed.,
1123,3,大吃一惊,be greatly surprised,
1123,4,天已经大亮了,It's already broad daylight.,
1123,5,病已经大好了。,(He) has almost recovered from his illness.,
1124,1,不大爱说话,not like to talk,
1124,2,还不大会走路,cannot walk steadily,
1124,3,不大出门。,not often go out,
1125,1,老大,"the eldest (son, daughter, etc.)",
1125,2,大哥。,eldest brother,
1126,1,一家大小。,whole family,
1127,1,尊姓大名,your honourable name,
1127,2,大作,your article,
1127,3,大札。,your letter,
1128,1,大清早,early in the morning,
1128,2,大热天,hot day,
1128,3,大年初一。,first day of the lunar year,
1130,1,俺大叫我来看看你。,My father asked me to visit you.,
1131,1,三大是一个劳动英雄。,Third Uncle is a model worker.,
1131,2,"〈古arch.〉又同‘太’‘泰’(tài),如‘大子’‘大山’。","same as 太tài and 泰tài, such as 大子‘crown prince’ and 大山‘huge mountain’",
1211,1,把锄头拿来,Hand the hoe over please.,
1211,2,各条战线传来了振奋人心的消息。,Heartening news keeps pouring in from different fronts.,
1212,1,信笔写来,scribble along on the spur of a brainwave,
1212,2,一觉醒来,wake up after a sound sleep,
1212,3,说来话长,It's a long story.,
1212,4,看来今年超产没有问题,It looks there will be no problem for us to overfulfil the output plan.,
1212,5,想来你是早有准备的了。,"You have long prepared for this, I suppose?",
1213,1,来往,come and go; to and fro,
1213,2,来宾,distinguished visitor,
1213,3,来信,incoming letter; letter received,
1213,4,从县里来了几个同志。,Some comrades have just arrived from the county seat.,
1214,1,问题来了,There is a problem here.,
1214,2,"开春以后,农忙来了。",The busy farm season comes when spring sets in.,
1215,1,胡来,act like a fool,
1215,2,来一盘棋,play a game of chess,
1215,3,来一场篮球比赛,play a basketball game,
1215,4,"你歇歇,让我来",Why don't you take a rest and let me take over ?,
1215,5,何必来这一套?,Don't give me that.,
1216,1,他们俩很谈得来,The two of them hit it off real nicely.,
1216,2,这个歌我唱不来。,I don't know how to sing this song.,
1217,1,你来念一遍,"Come on, read it.",
1217,2,大家来想办法。,"Everybody here, please think about how to do it.",
1218,1,我们贺喜来了,We've come to congratulate you.,
1218,2,他回家探亲来了。,He has gone home to see his family.,
1219,1,他摘了一个荷叶来当雨伞,He picked a lotus leaf and used it as an umbrella.,
1219,2,你又能用什么理由来说服他呢?,What reasons do you have to convince him?,
1220,1,这话我多会ㄦ说来?,When on earth did I say that?,
1221,1,来年,next year,
1221,2,来日方长。,There will be plenty of time.,
1222,1,从来,always; all along,
1222,2,向来,all along; always,
1222,3,近来,recently,
1222,4,别来无恙,How have you been since we saw each other last.,
1222,5,二千年来。,"over the last 2,000 years;",
1222,6,see【以来】,yǐlái,
1223,1,十来天,about a fortnight,
1223,2,五十来岁,in one's 50s,
1223,3,三百来人,300 and more people,
1223,4,三斤来重,a little more than three jin in weight,
1223,5,二里来地。,a couple of li away,
1224,1,"他这次进城,一来是汇报工作,二来是修理机器,三来是采购图书。","He came to town this time for three purposes:first, report on his work; second, have the machine repaired; and third, buy some books.",
1226,1,正月里来是新春,With first lunar month comes the new year.,
1226,2,不愁吃来不愁穿,We are not worried about food or clothing.,
1226,3,黑白桑葚来大樱桃。,"See what I've got here — white and black mulberries, and real large cherries!",
1311,1,曲高和寡,Highbrow songs find few singers. — too highbrow to be popular,
1311,2,一唱百和。,"When one starts singing, the others join in. or One sings, all follow.",
1312,1,奉和一首。,"write a poem in reply (to one sent by a friend, etc.)",
1331,1,和面,knead dough,
1331,2,和泥,mix earth with water,
1331,3,和点ㄦ水泥把窟窿堵上。,Mix some cement to plug up the hole.,
1341,1,和药,mix medicine,
1341,2,藕粉里和点ㄦ糖。,Add a little sugar to the lotus root powder paste.,
1351,1,温和,mild; benign,
1351,2,柔和,soft; gentle,
1351,3,和颜悦色。,have a kind and pleasant look; have a genial expression,
1352,1,和衷共济,work together with one accord (in time of difficulty),
1352,2,弟兄不和。,The brothers are estranged.,
1353,1,讲和,settle a dispute,
1353,2,媾和。,make peace,
1354,1,和棋,a draw in chess,
1354,2,和局,draw; tie; tied game,
1354,3,末了一盘和了。,The last game of chess ended in a draw.,
1356,1,和盘托出,reveal everything; hold nothing back,
1356,2,和衣而卧(不脱衣服睡觉)。,sleep without undressing,
1357,1,他和大家讲他过去的经历,He told us his past experience.,
1357,2,柜台正和我一样高。,The counter is just the same height as I.,
1358,1,工人和农民都是国家的主人。,Workers and peasants are all masters of the country.,
1360,1,衣裳已经洗了三和,The clothes have been rinsed three times.,
1360,2,二和药。,second decoction of herbs,
1361,1,和服。,kimono,
1412,1,自我,oneself; ego,
1412,2,忘我精神。,selflessness,
1521,1,三个苹果,three apples,
1521,2,一个理想,one ideal,
1521,3,两个星期。,two weeks,
1521,4,用于约数的前面,[preceding an approximate number],
1521,5,哥ㄦ俩也不过差个两三岁,There's only a difference of two or three years between the two brothers.,
1521,6,"一天走个百儿八十里,不在话下。",There is no problem to walk 80 or 100 miles a day.,
1521,7,"用于带宾语的动词后面,有表示动量的作用(原来不能用‘个’的地方也用‘个’)",[used between a verb and its object to indicate momentum; orig. 个 gè was not used],
1521,8,"见个面ㄦ,说个话ㄦ。",Let's meet and have a talk.,
1521,9,"用于动词和补语的中间,使补语略带宾语的性质(有时跟‘得’连用)",[used between a verb and its complement sometimes together with 得·de],
1521,10,吃个饱,eat one's fill,
1521,11,玩ㄦ个痛快,have a wonderful time,
1521,12,笑个不停,keep laughing,
1521,13,雨下个不停,It kept raining.,
1521,14,学了个八九不离十,have basically learned the ropes,
1521,15,扫得个干干净净。,give it a thorough cleaning,
1522,1,个人,individual,
1522,2,个体。,individual,
1523,1,那些个花ㄦ,all those flowers,
1523,2,这么些个书哪看得完,How can I finish reading so many books?,
1523,3,有一些个令人鼓舞的消息。,There is some inspiring news.,
1611,1,中央,centre; middle; midst,
1611,2,华中,central China,
1611,3,居中。,in the middle; at the centre,
1612,1,中文,Chinese,
1612,2,古今中外。,"at all times and in all countries; in the past or present, in China or anywhere else",
1613,1,家中,in the family; at home; in the house,
1613,2,水中,in the water,
1613,3,山中,in the mountains,
1613,4,心中,at heart; in mind; on one's mind,
1613,5,队伍中。,in the procession; within the ranks,
1614,1,中指,middle finger,
1614,2,中锋,centre forward,
1614,3,中年,middle age; mid-life; middle-aged,
1614,4,中秋,Mid-Autumn (Festival),
1614,5,中途。,halfway; midway,
1615,1,中农,middle peasant (political term used before or after the liberation in China to refer to self-sufficient farmers),
1615,2,中学,middle school; high school; secondary school,
1615,3,中型,medium; medium-sized,
1615,4,中等。,medium; moderate; average; secondary,
1616,1,中庸,mean; middle of the road; middlebrow; golden mean,
1616,2,适中。,moderate,
1617,1,作中。,act as an intermediary; be a middleman,
1618,1,中用,be helpful; be of use; be useful,
1618,2,中看,be pleasant to the eye; be presentable; look nice,
1618,3,中听。,be pleasant to the ear,
1619,1,中不中?,Is it all right?,
1619,2,这办法中,It works!,
1619,3,饭这就中了。,Dinner is soon ready.,
1620,1,列车在运行中,The train is running.,
1620,2,工厂在建设中。,The factory is under construction. or The factory is being built.,
1621,1,中选,be selected; be chosen,
1621,2,猜中了,guess right; hit it on the nose,
1621,3,三枪都打中了目标。,None of the three shots missed the target.,
1622,1,中毒,poisoning; toxication; toxicosis,
1622,2,中暑,collapse from sunstroke; heatstroke; sunstroke; insolation; calenture; siriasis; thermic fever,
1622,3,胳膊上中了一枪。,(He) was shot in the arm.,
1711,1,天地,heaven and earth,
1711,2,地层,stratum,
1711,3,地质。,geology,
1712,1,地面,earth's surface,
1712,2,地势,terrain,
1712,3,高地,highland,
1712,4,低地,lowland,
1712,5,山地,mountainous area,
1712,6,地下水。,underground water,
1713,1,荒地,wasteland,
1713,2,下地干活ㄦ。,go to work in the field,
1714,1,水泥地。,cement surface,
1715,1,各地,various localities,
1715,2,内地,inland area,
1715,3,外地。,places other than one's hometown,
1716,1,省地领导,provincial and prefectural leader,
1716,2,地县两级干部。,cadres at prefectural and county levels,
1717,1,无地自容。,extremely embarrassed or ashamed,
1718,1,目的地,destination,
1718,2,所在地。,location,
1719,1,目的地,destination,
1719,2,所在地。,location,
1720,1,易地以处。,put oneself in another's shoes,
1721,1,置之死地,back (sb.) to a dead corner,
1721,2,预为之地。,condition to achieve sth.,
1723,1,二十里地,distance of 20 li,
1723,2,两站地。,distance of two stops,
1721,1,天渐渐地冷了,It is gradually getting cold.,
1721,2,合理地安排和使用劳动力,Labour forces are rationally arranged and utilized.,
1721,3,实事求是地处理问题。,Problems must be handled practically and realistically.,
1811,1,"为吕氏者右袒,为刘氏者左袒。","Those who take sides with L? please bare your right shoulder, and those take sides with Liu please bare your left shoulder.",
1812,1,为你庆幸,congratulate you,
1812,2,为人民服务,serve the people,
1812,3,为这本书写一篇序。,write a preface for the book,
1813,1,为大家的健康干杯,A toast to everyone's health!,
1813,2,为建设伟大祖国而奋斗。,Strive to build up the great motherland.,
1814,1,不足为外人道。,do not mention to others; not breathe about it to others,
1815,1,为何?,Why?,
1821,1,事在人为,It all depends on human effort.,
1821,2,敢作敢为,act with courage and determination; make bold to,
1821,3,大有可为,have bright prospects; well worth doing,
1821,4,青年有为。,young and up-and-coming,
1822,1,选他为代表。,He was elected a delegate.,
1823,1,一分为二,A whole divides into two. or Everything tends to divide into two.,
1823,2,化为乌有,come to naught; turn to dust,
1823,3,变沙漠为良田。,turn deserts into farmlands,
1824,1,十寸为一尺。,Ten cun equal one chi.,
1825,1,这种艺术形式为广大人民所喜闻乐见。,The broad masses of the people love to see and hear this artistic form.,
1826,1,何以家为(要家干什么)?,What do I need a home for? (usu. a remark by a patriot in a national crisis),
1827,1,大为高兴,very happy,
1827,2,广为传播,spread far and wide,
1827,3,深为感动。,be touched deeply,
1828,1,极为重要,extremely important,
1828,2,甚为便利,rather convenient,
1828,3,颇为可观,rather impressive; considerable,
1828,4,尤为出色。,rather outstanding,
1912,1,睡他一觉,go and get some sleep,
1912,2,唱他几句,sing a few lines,
1912,3,盖他三间瓦房。,built a brick-and-tile house with three rooms,
1913,1,早已他去,have long left for somewhere else,
1913,2,留作他用。,lay sth. aside for some other use,
1914,1,他人,other people,
1914,2,他乡,place away from home town,
1914,3,他日。,some other day,
2011,1,胎生,viviparity,
2011,2,卵生,oviparity,
2011,3,生孩子,give birth to a child,
2011,4,优生优育。,give birth to healthy babies and bring them up in a proper way,
2012,1,生根,strike root,
2012,2,生芽,sprout,
2012,3,新生力量。,rising force; new blood,
2013,1,起死回生,bring back to life,
2013,2,贪生怕死。,cowardice; care for nothing but saving one's own life; be mortally afraid of death,
2014,1,谋生,make a living; earn a living,
2014,2,营生。,line of business; occupation; job,
2015,1,丧生,lose life,
2015,2,舍生取义。,give up one's life for justice; die a heroic death for a just cause,
2016,1,一生一世,all one's life; lifetime,
2016,2,今生今世。,this life; this very life,
2017,1,生物,living thing,
2017,2,生龙活虎。,vigorous; full of vigour,
2018,1,生病,get ill; fall ill,
2018,2,生效,take effect; become effective; come into force,
2018,3,惹是生非。,stir up trouble; make disturbance,
2019,1,生火,light a fire,
2019,2,生炉子。,light a stove,
2021,1,生柿子,green persimmon,
2021,2,这西瓜是生的。,The watermelon is still unripe.,
2022,1,夹生饭,half-cooked rice,
2022,2,生吃瓜果要洗净。,Melons must be washed clean before eating raw.,
2023,1,生石膏,plaster stone,
2023,2,生铁。,pig iron,
2024,1,生人,stranger,
2024,2,生字,new word,
2024,3,小孩ㄦ认生,(of a small child) be shy with strangers,
2024,4,"刚到这里,工作很生。",I'm new here and the job is new to me too.,
