definition_id,hanzi,pinyin,pos,definition_1,definition_2,better
4614,下,xià,形容词,位置在低处的,位置较低的,2
4615,下,xià,形容词,等次或品级低的,等级或品质较低的,2
4616,下,xià,形容词,次序或时间在后的,顺序靠后的,2
4617,下,xià,副词,向下面,向下方向,2
4618,下,xià,介词,表示属于一定范围、情况、条件等,表示属于一定范围、情况、条件等,1
4619,下,xià,介词,表示当某个时间或时节,表示特定时间,2
4620,下,xià,量词,"用在数目字后面,表示方面或方位",表示方向或位置,2
4621,下,xià,动词,由高处到低处,由高处到低处,1
4622,下,xià,动词,(雨、雪等)降落,（雨雪等）降落,2
4623,下,xià,动词,发布;投递,发送或传递,2
4624,下,xià,动词,去;到(处所),前往某地,2
4625,下,xià,动词,退场,离开舞台或场地,2
4626,下,xià,动词,放入,放入内部,2
4627,下,xià,动词,进行(棋类游艺或比赛),进行棋类活动,2
4628,下,xià,动词,卸除;取下,取下或卸下,2
4629,下,xià,动词,做出(言论、判断等),发表（言论）或作出（判断）,2
4630,下,xià,动词,使用;开始使用,使用或应用,2
4631,下,xià,动词,(动物)生产,（动物）生产后代,2
4632,下,xià,动词,攻陷,攻占或夺取,2
4633,下,xià,动词,退让,让步或屈服,2
4634,下,xià,动词,到规定时间结束日常工作或学习等,结束工作或学习,2
4635,下,xià,动词,低于;少于,低于;少于,1
563211,下午,xià wǔ,名词,"从正午十二点到半夜十二点的一段时间,一般也指从正午十二点到日落的一段时间。",中午12点至日落的时间段,2
2053011,下级,xià jí,名词,同一组织系统中等级低的组织或人员,组织体系中等级较低的部分或人员,2
767611,下载,xià zài,动词,把信息从互联网或其他电子计算机上输入到某台电子计算机上(跟‘上载’相对as opposed to‘upload’})。,从网络或计算机获取数据到本地设备,2
2000107,下载,xià zǎi,动词,从网络获取文件,从互联网获取文件到本地,2
2000009,下雨,xià yǔ,动词,大气水分落向地面,天空降下水滴的自然现象,2
421,不,bù,副词,用在动词、形容词和其他副词前面表示否定,用于动词、形容词前表示否定,2
422,不,bù,形容词,"加在名词或名词性词素前面,构成形容词",加在名词前构成形容词,2
423,不,bù,副词,"单用,做否定性的回答(答话的意思跟问题相反)",单独使用表示否定回答,2
424,不,bù,助词,"用在句末表示疑问,跟反复问句的作用相等",方言中用于句末表示疑问,2
425,不,bù,副词,"用在动补结构中间,表示不可能达到某种结果",表示动作不可能完成,2
426,不,bù,副词,"‘不’字的前后叠用相同的词,表示不在乎或不相干(常在前边加‘什么’",重复使用表示不在乎,2
427,不,bù,连词,"跟‘就’搭用,表示选择",与'就'连用表示选择,2
428,不,bù,副词,不用;不要(限用于某些客套话,方言中表示'不用',2
612911,不仅,bù jǐn,连词,表示超出某个数量或范围;不止,超出特定范围或数量,2
612912,不仅,bù jǐn,连词,不但,用于递进关系,2
612611,不但,bù dàn,连词,"用在表示递进的复句的上半句里,下半句里通常有连词‘而且、并且’或副词‘也、还’等相呼应",用于递进复句的前半部分,2
809711,不像话,bù xiàng huà,形容词,(言语行动)不合乎道理或情理,言行不合情理,2
809712,不像话,bù xiàng huà,形容词,坏得没法形容,恶劣到难以形容,2
674211,不免,bù miǎn,副词,免不了,不可避免,2
810811,不可思议,bù kě sī yì,形容词,"不可想像,不能理解(原来是佛教用语,含有神秘奥妙的意思",难以想象和理解,2
810711,不堪,bù kān,动词,承受不了,无法承受,2
810712,不堪,bù kān,动词,不可;不能(多用于不好的方面,不能（多用于负面情况）,2
810713,不堪,bù kān,形容词,"用在消极意义的词后面,表示程度深",程度极深（用于消极词后）,2
810714,不堪,bù kān,形容词,坏到极深的程度,极其糟糕,2
674111,不好意思,bù hǎo yì si,形容词,害羞,感到害羞,2
674112,不好意思,bù hǎo yì si,形容词,碍于情面而不便或不肯,因情面而犹豫,2
674411,不如,bù rú,连词,表示前面提到的人或事物比不上后面所说的,比不上,2
810411,不妨,bù fáng,副词,"表示可以这样做,没有什么妨碍",可以尝试，没有妨碍,2
673911,不安,bù ān,形容词,不安定;不安宁,心神不宁,2
673912,不安,bù ān,形容词,表示歉意和感激,客套话表示歉意,2
2000002,不客气,bù kè qi,形容词,回应感谢的礼貌用语,回应感谢的礼貌用语,2
2000126,不屑一顾,bù xiè yī gù,动词,轻视不值得关注,轻视不值得关注,2
2000032,不得不,bù dé bù,副词,没有其他选择必须做,被迫必须做,2
674011,不得了,bù dé liǎo,形容词,表示情况严重,情况严重,2
674012,不得了,bù dé liǎo,形容词,表示程度很深,程度很深,2
810311,不得已,bù dé yǐ,形容词,无可奈何;不能不如此,无可奈何必须做,2
673411,不必,bù bì,副词,表示事理上或情理上不需要,不需要,2
2060421,不忿,bù fèn,形容词,不服气,心中不服,2
811011,不惜,bù xī,动词,不顾惜;舍得,舍得付出,2
809511,不愧,bù kuì,动词,当之无愧;当得起(多跟‘为’或‘是’连用,当之无愧,2
811411,不择手段,bù zé shǒu duàn,动词,"为了达到目的,什么手段都使得出来(含贬义","为了达到目的,什么手段都使得出来(含贬义)",1
810511,不敢当,bù gǎn dāng,形容词,表示承当不起(对方的招待、夸奖等)。,谦辞表示不敢承受,2
809611,不料,bù liào,动词,没想到;没有预先料到,出乎意料,2
673511,不断,bù duàn,副词,连续不间断,持续不间断,2
810911,不时,bù shí,副词,时时;经常不断地,经常地,2
810912,不时,bù shí,副词,随时;不是预定的时间,随时可能,2
811511,不止,bù zhǐ,动词,继续不停,持续不停,2
811512,不止,bù zhǐ,动词,表示超出某个数目或范围,超出范围,2
674311,不然,bù rán,连词,不是这样,否则,2
674312,不然,bù rán,副词,"用在对话开头,表示否定对方的话",用于对话开头，表示对对方话语的否定,2
674313,不然,bù rán,连词,"表示如果不是上文所说的情况,就发生或可能发生下文所说的情况",连词，表示如果不是上文所述情况，就会发生或可能发生下文所述情况,2
811311,不由得,bù yóu de,副词,不容,无法控制或避免,2
811312,不由得,bù yóu de,副词,不禁,不由自主地,2
811111,不相上下,bù xiāng shàng xià,形容词,"分不出高低,形容程度相等",形容两者程度相当，难以分出高下,2
810611,不禁,bù jīn,副词,抑制不住;禁不住,无法抑制或控制,2
612811,不管,bù guǎn,连词,"表示在任何条件或情况下结果都不会改变,后边常有‘都、也’等副词与它呼应",连词，表示在任何条件下结果都不会改变，常与“都、也”等副词呼应,2
2000065,不耐烦,bù nài fán,形容词,情绪焦躁易怒,形容情绪焦躁，容易发怒,2
673711,不要紧,bù yào jǐn,形容词,没有妨碍;不成问题,没有妨碍或问题,2
673712,不要紧,bù yào jǐn,形容词,表面上似乎没有妨碍(下文有转折),表面上看似无碍，但实际有转折,2
673611,不见得,bù jiàn dé,副词,不一定,不一定如此,2
2000064,不见得,bù jiàn de,副词,不一定成立,不一定成立或正确,2
811211,不言而喻,bù yán ér yù,形容词,不用说就可以明白。,形容道理或事实显而易见，无需解释,2
674511,不足,bù zú,形容词,不充足;不满(某个数目),数量或程度不够,2
674512,不足,bù zú,形容词,不值得,不值得,2
674513,不足,bù zú,形容词,不可以;不能,不可以或不能,2
612711,不过,bù guò,副词,"用在形容词性的词组或双音节形容词后面,表示程度最高",用于形容词后，表示程度最高,2
612712,不过,bù guò,副词,"指明范围,含有往小里或轻里说的意味;仅仅",副词，表示范围有限，往小或轻里说,2
612713,不过,bù guò,连词,"用在后半句的开头儿,表示转折,对上半句话加以限制或修正",连词，用于后半句开头，表示转折或修正,2
2028911,不韪,bù wěi,名词,过失;不对,过失或错误,2
809411,不顾,bù gù,动词,不照顾,不予以照顾,2
809412,不顾,bù gù,动词,不考虑;不顾忌,不考虑或不顾忌,2
12121,与,yù,动词,参与,参加或加入,2
12131,与,yǔ,动词,给,给予,2
12132,与,yǔ,动词,交往,交往,2
12133,与,yǔ,动词,赞许;赞助,表示赞许或支持,2
12134,与,yǔ,动词,等待,等待,2
12135,与,yǔ,介词,跟,介词，表示共同或伴随,2
12136,与,yǔ,连词,和,连词，表示并列关系,2
780811,与其,yǔ qí,连词,"比较两件事的利害得失而决定取舍的时候,‘与其’用在放弃的一面(后面常用‘毋宁、不如’呼应)",连词，用于比较两件事的利弊，表示放弃前者,2
1006711,与日俱增,yǔ rì jù zēng,动词,随着时间的推移而不断增长。,随着时间的推移而不断增长,2
379311,丐,gài,动词,乞求。,乞求,2
379312,丐,gài,名词,乞丐。,以乞讨为生的人,2
379313,丐,gài,动词,给;施与。,给予或施与,2
193411,丑,chǒu,名词,地支的第二位。,地支的第二位,2
193412,丑,chǒu,名词,(Chǒu)姓。,姓氏,2
193413,丑,chǒu,形容词,丑陋;不好看(跟‘美’相对as opposed to‘beautiful’}),外貌不好看,2
193414,丑,chǒu,形容词,叫人厌恶或瞧不起的,令人厌恶或鄙视,2
193415,丑,chǒu,形容词,坏;不好,方言，表示坏或不好,2
193416,丑,chǒu,名词,"戏曲角色行当,扮演滑稽人物,鼻梁上抹白粉,有文丑、武丑之分。",戏曲中的滑稽角色,2
824011,丑恶,chǒu è,形容词,丑陋恶劣,形容丑陋且恶劣,2
49111,专,zhuān,形容词,集中在一件事上的,集中于单一事物,2
49112,专,zhuān,动词,独自掌握和占有,独自掌控,2
49113,专,zhuān,名词,(Zhuān)姓。,姓氏,2
666311,专业,zhuān yè,名词,"高等学校的一个系里或中等专业学校里,根据科学分工或生产部门的分工把学业分成的门类",学术或教育的专门领域,2
666312,专业,zhuān yè,名词,产业部门中根据产品生产的不同过程而分成的各业务部分,产业中的专门业务部分,2
666313,专业,zhuān yè,形容词,专门从事某种工作或职业的,专门从事某项工作,2
1028511,专利,zhuān lì,名词,法律保障创造发明者在一定时期内由于创造发明而独自享有的利益,法律保护的发明独占权,2
789911,专家,zhuān jiā,名词,对某一门学问有专门研究的人;擅长某项技术的人。,某一领域的资深研究者,2
790011,专心,zhuān xīn,形容词,集中注意力,注意力高度集中,2
1028411,专科,zhuān kē,名词,专门科目,高等教育中针对特定领域的专业学科,2
1028412,专科,zhuān kē,名词,指专科学校,提供专业培训的高等教育机构,2
1028311,专程,zhuān chéng,副词,专为某事而到某地,为特定目的而进行的专门行程,2
1028211,专长,zhuān cháng,名词,专门的学问技能;特长,个人在特定领域具备的专业技能或知识,2
666211,专门,zhuān mén,副词,特地,特地,2
666212,专门,zhuān mén,形容词,专从事某一项事的,专注于特定领域的,2
666213,专门,zhuān mén,副词,表示强调经常做某类事情,（方言）习惯性地,2
1028611,专题,zhuān tí,名词,专门研究或讨论的题目,特定研究或讨论的主题,2
35211,且,jū,助词,相当于‘啊’,（语气助词）相当于“啊”,2
35212,且,jū,名词,"用于人名,如范雎,也作范且。",用于人名，如“范雎”也可写作“范且”,2
35221,且,qiě,副词,暂且;姑且,暂时地,2
35222,且,qiě,副词,表示经久,（方言）长时间地,2
35223,且,qiě,名词,(Qiě)姓。,姓氏,2
35224,且,qiě,副词,尚且,尚且,2
35225,且,qiě,连词,并且;而且,并且，而且,2
435611,丕,pī,形容词,大,巨大的,2
24411,世,shì,名词,人的一辈子,人的一生,2
24412,世,shì,名词,有血统关系的人相传而成的辈分,家族中按血统划分的辈分,2
24413,世,shì,形容词,一代又一代,代代相传的,2
24414,世,shì,名词,指有世交的关系,指世交关系,2
24415,世,shì,名词,时代,历史时期,2
24416,世,shì,名词,社会;人间,人类社会,2
24417,世,shì,名词,(Shì)姓。,姓氏,2
953811,世代,shì dài,名词,(很多)年代,漫长的年代,2
953812,世代,shì dài,名词,好几辈子,连续多代人,2
600411,世界,shì jiè,名词,自然界和人类社会的一切事物的总和,自然界与人类社会的总和,2
600412,世界,shì jiè,名词,指宇宙,（佛教）宇宙,2
600413,世界,shì jiè,名词,地球上所有地方,全球范围,2
600414,世界,shì jiè,名词,指社会的形势、风气,社会现状,2
600415,世界,shì jiè,名词,领域;人的某种活动范围,特定领域,2
953911,世界观,shì jiè guān,名词,"人们对世界的总的根本的看法。由于人们的社会地位不同,观察问题的角度不同,形成不同的世界观。",人们对世界的总体看法,2
647511,世纪,shì jì,名词,"计算年代的单位,一百年为一世纪。",一百年的时间单位,2
209611,丘,qiū,名词,小土山;土堆,小型土山,2
209612,丘,qiū,动词,浮厝,临时安葬,2
209613,丘,qiū,量词,"水田分隔成大小不同的块,一块叫一丘",（量词）用于水田分块,2
209614,丘,qiū,名词,(Qiū)姓。,姓氏,2
937911,丘陵,qiū líng,名词,连绵成片的小山,连绵的低矮山地,2
239911,丙,bǐng,名词,天干的第三位。,天干第三位,2
239912,丙,bǐng,名词,丙丁,指代火,2
10111,业,yè,名词,行业,特定经济领域,2
10112,业,yè,名词,职业,谋生工作,2
10113,业,yè,名词,学业,学习课程,2
10114,业,yè,名词,事业,人生追求的事业,2
10115,业,yè,名词,产业;财产,拥有的财产,2
10116,业,yè,名词,"佛教徒称一切行为、言语、思想为业,分别叫做身业、口业、意业,合称三业,包括善恶两面,一般专指恶业。",佛教指行为、言语、思想（尤指恶业）,2
10117,业,yè,动词,从事(某种行业),从事某职业,2
10118,业,yè,名词,(Yè)姓。,姓氏,2
10119,业,yè,副词,已经,已经,2
776311,业余,yè yú,形容词,工作时间以外的,工作之外的时间,2
776312,业余,yè yú,形容词,非专业的,非职业性质的,2
776211,业务,yè wù,名词,个人的或某个机构的专业工作,个人或机构所从事的专业工作或商业活动,2
174111,丛,cóng,动词,聚集,聚集；集合在一起,2
174112,丛,cóng,名词,生长在一起的草木,密集生长的草木,2
174113,丛,cóng,名词,泛指聚集在一起的人或东西,聚集在一起的人或事物,2
174114,丛,cóng,名词,(Cóng)姓。,姓氏,2
25111,东,dōng,名词,"四个主要方向之一,太阳出来的一边",四个基本方向之一，太阳升起的方向,2
25112,东,dōng,名词,"主人(古时主位在东,宾位在西)",主人（古时主位在东）,2
25114,东,dōng,名词,(Dōng)姓。,姓氏,2
2000133,东张西望,dōng zhāng xī wàng,动词,四处张望的样子,四处张望的样子,1
553711,东西,dōng xi,名词,泛指各种具体的或抽象的事物,泛指各种具体或抽象的事物,2
553712,东西,dōng xi,名词,特指人或动物(多含厌恶或喜爱的感情,特指人或动物（含感情色彩）,2
553721,东西,dōng xī,名词,东边和西边。,东边和西边,2
553722,东西,dōng xī,名词,从东到西(距离),从东到西的距离,2
838211,东道主,dōng dào zhǔ,名词,请客的主人。,请客的主人,1
94211,丝,sī,名词,蚕丝。,蚕吐出的纤维,2
94213,丝,sī,名词,(某些计量单位的)万分之一,某些计量单位的万分之一,2
94214,丝,sī,名词,计量单位名称,计量单位名称,1
94215,丝,sī,形容词,极少或极小的量,极小的量,2
755611,丝毫,sī háo,形容词,极小或很少;一点儿,极小的量；一点儿,2
755511,丝绸,sī chóu,名词,用蚕丝或人造丝织成的纺织品的总称。,用蚕丝或人造丝织成的纺织品,2
344111,丞,chéng,名词,古代辅助的官吏,古代辅助主要官员的官吏,2
162911,丢,diū,动词,遗失;失去,遗失；失去,2
162912,丢,diū,动词,扔,投掷；抛,2
162913,丢,diū,动词,搁置;放,搁置；放下,2
838111,丢三落四,diū sān là sì,形容词,形容马虎或记忆力不好而好忘事。,形容因马虎或记性差而常忘事,2
838011,丢人,diū rén,动词,丢脸,失去面子；丢脸,2
13111,两,liǎng,数词,一个加一个是两个。‘两’字一般用于量词和‘半、千、万、亿’前,数字二（用于量词前）,2
13112,两,liǎng,名词,双方,双方,1
13113,两,liǎng,数词,"表示不定的数目,和‘几’差不多",表示不定数量，相当于“几”,2
13114,两,liǎng,量词,"重量单位。10钱等于1两,旧制16两等于1斤,市制10市两等于1市斤。",传统重量单位（16两为1斤）,2
51611,严,yán,形容词,严密;紧密,紧密；没有空隙,2
51612,严,yán,形容词,严厉;严格,严厉；不放松,2
51613,严,yán,形容词,程度深;厉害,程度深;厉害,1
51614,严,yán,名词,指父亲,指父亲,1
51615,严,yán,名词,(Yán)姓。,姓氏,2
994711,严厉,yán lì,形容词,严肃而厉害,严肃而厉害,1
994811,严密,yán mì,形容词,"事物之间结合得紧,没有空隙",结合紧密；无空隙,2
994812,严密,yán mì,形容词,周到;没有疏漏,周到；无疏漏,2
994813,严密,yán mì,动词,使严密,使紧密,2
994411,严寒,yán hán,形容词,(气候)极冷,气候极冷,2
994611,严峻,yán jùn,形容词,严厉;严肃,严厉；严肃,2
657411,严格,yán gé,形容词,在遵守制度或掌握标准时认真不放松,认真遵守不放松,2
994511,严禁,yán jìn,动词,严格禁止,严格禁止,1
775011,严肃,yán sù,形容词,(神情、气氛等)使人感到敬畏的,使人敬畏的神情或气氛,2
775012,严肃,yán sù,形容词,(作风、态度等)严格认真,作风态度严格认真,2
775013,严肃,yán sù,动词,使严肃,使变得严肃,2
657511,严重,yán zhòng,形容词,程度深;影响大;情势危急,程度深；情势危急,2
154711,丧,sāng,名词,跟死了人有关的(事情),与死亡相关的事务,2
154721,丧,sàng,动词,丧失,失去,2
944811,丧失,sàng shī,动词,失去,失去,1
1521,个,gè,量词,用于没有专用量词的名词(有些名词除了用专用量词之外也能用‘个’),量词，用于没有专用量词的名词（部分名词也可用此量词替代专用量词）,2
1522,个,gè,形容词,单独的,单独的,1
1523,个,gè,量词,量词‘些’的后缀,量词“些”的后缀,2
1524,个,gè,助词,"加在‘昨儿、今儿、明儿’等时间词后面,跟‘某日里’的意思相近。",方言中加在“昨儿、今儿、明儿”等时间词后面，表示“某日里”的意思,2
699311,个人,gè rén,名词,一个人(跟‘集体’相对as opposed to‘the collective’}),一个人（与“集体”相对）,2
699312,个人,gè rén,代词,"自称,我(在正式场合发表意见时用",正式场合中用于自称的“我”,2
857611,个体,gè tǐ,名词,单个的人或生物。,单个的人或生物,2
857612,个体,gè tǐ,名词,指个体户。,指个体经营者,2
699211,个别,gè bié,形容词,单个;各个,单个的，各个的,2
699212,个别,gè bié,形容词,极少数;少有,极少数的，罕见的,2
623011,个子,gè zi,名词,"指人的身材,也指动物身体的大小",人或动物的身高体型,2
623012,个子,gè zi,名词,指某些捆在一起的条状物,捆扎在一起的条状物,2
699411,个性,gè xìng,名词,在一定的社会条件和教育影响下形成的一个人的比较固定的特性,在社会条件和教育影响下形成的固定个人特性,2
699412,个性,gè xìng,名词,"事物的特性,即矛盾的特殊性。一切个性都是有条件地、暂时地存在的,所以是相对的。",事物的特殊性（矛盾的特殊性）,2
266811,丫,yā,名词,上端分叉的东西,顶端分叉的物品,2
266812,丫,yā,名词,女孩子,方言中指女孩,2
