definition_id,hanzi,pinyin,pos,definition_cn,example_1,example_2,DS,QW
524,了,liǎo,动词,理解或知晓,听了他的解释，我心里顿时了然，不再纠结。,经过老师的耐心讲解，我终于了悟了这道题的解法。,1,2
611,在,zài,动词,存在；活着,虽然他已经离开了，但他的精神永在我们心中。,古老的传说中，这座山里住着一条巨龙。,1,2
613,在,zài,动词,停留于某处,他目前在职，工作非常忙碌。,他毕业后一直在家乡工作，没有去大城市发展。,1,2
614,在,zài,动词,属于或加入某个组织,作为一名党员，他始终牢记自己在党旗下的誓言。,她在大学时在学生会担任过重要职务。,1,2
615,在,zài,动词,取决于；关键在于,事在人为，只要努力，总会有希望。,能否成功在于你是否付出了足够的努力。,1,2
617,在,zài,介词,表示时间、地点或范围,这件事情发生在去年，至今让人记忆犹新。,在寒冷的冬天里，一杯热茶能让人感到温暖。,2,1
618,在,zài,副词,表示动作正在进行,风在刮，雨在下，这样的天气让人感到格外寒冷。,孩子们正在操场上开心地玩耍，笑声不断。,2,1
722,有,yǒu,动词,表示某物存在,屋里有十来个人，正在热烈地讨论着什么。,桌子上有一束新鲜的玫瑰花，散发着淡淡的香气。,2,1
723,有,yǒu,动词,用于比较或估计,这条河的水有一丈多深，非常危险。,这座山有三百多米高，爬上去需要一定的体力。,2,1
724,有,yǒu,动词,表示事件发生或出现,他有病了，所以今天没能来参加会议。,最近公司有了很大的变化，引进了不少新技术。,2,1
726,有,yǒu,动词,泛指某些人或事物,有一天他来了，带来了许多有趣的故事。,有一天，他突然决定放弃高薪工作去旅行。,2,1
727,有,yǒu,动词,表示部分人或事物,"有人性子急,有人性子慢，这是很常见的性格差异。",有些人喜欢早起，有些人则习惯晚睡。,2,1
812,人,rén,名词,泛指所有人,这次活动要求人手一册，确保每个人都能参与其中。,人人都应该遵守交通规则以确保道路安全。,2,1
813,人,rén,名词,成年个体,经过多年的努力，他终于长大成人。,他已经十八岁了，在法律上被视为成年人。,2,1
815,人,rén,代词,除自己外的其他人,做人不能人云亦云，要有自己的独立思考。,他总是先为别人着想，很少考虑自己的利益。,2,1
816,人,rén,名词,人的品性、性格或名声,他的行为让家人感到非常丢人。,她为人和善，在同事中有着很好的口碑。,2,1
817,人,rén,名词,人的身体状况或意识状态,这两天人不大舒服，可能是感冒了。,经过长时间的工作，他感到整个人都很疲惫。,2,1
818,人,rén,名词,人力资源或人才,公司里人浮于事的现象导致效率低下。,我们公司现在正缺人，急需招聘几名技术人员。,2,1
911,这,zhè,代词,指示较近的人或事物,这本杂志的内容非常丰富，涵盖了多个领域。,这本书的内容非常有趣，我推荐你也读一读。,2,1
912,这,zhè,代词,指当前的时间,他这才知道运动的好处，决定以后每天坚持锻炼。,这都什么时候了，你怎么还在睡觉？,2,1
1021,上,shàng,动词,从低处向高处移动,他们费了好大的劲才爬上山顶。,他每天早晨都会上山锻炼身体，呼吸新鲜空气。,2,1
1023,上,shàng,动词,动作开始并持续,自从她爱上了农村，便决定在那里定居下来。,春节一过，农民们就马上开始准备春耕了。,2,1
1031,上,shang,助词,表示物体表面的方位,她的脸上洋溢着幸福的笑容。,桌子上放着一杯热气腾腾的咖啡。,2,1
1033,上,shang,助词,表示某个方面,组织上已经对这件事情做出了明确的安排。,他在音乐上的造诣令人钦佩。,2,1
1034,上,shàng,形容词,处于较高位置,这本书的上部主要讲述了主人公的童年生活。,山顶上的风景非常壮观。,2,1
1036,上,shàng,形容词,时间或顺序在前,请把书的上卷拿给我，我要查阅其中的内容。,上个月的销售额比这个月高出许多。,2,1
1037,上,shàng,名词,古代对帝王的称呼,皇帝颁布了一道上谕。,古代大臣们每日都要上朝面见皇帝。,2,1
1039,上,shàng,动词,由低处升至高处,周末我们一起去上山采蘑菇。,孩子们兴高采烈地爬上了山顶。,2,1
1040,上,shàng,动词,前往某地,今天天气很好，我打算上街买些水果。,我们明天早上八点准时上飞机。,2,1
1042,上,shàng,动词,向前进,老张快上，投篮！这是一个关键的得分机会。,运动员们奋勇上前，争夺比赛的胜利。,2,1
1043,上,shàng,动词,登台表演或出场,这一场戏，你应该从左边的旁门上，这样更符合剧情安排。,这位演员在舞台上上演了一出精彩的戏剧。,2,1
1044,上,shàng,动词,将饭菜等摆放到桌上,服务员，请给我们上饭，我们都饿了。,服务员很快就把我们点的菜上齐了。,2,1
1045,上,shàng,动词,补充或增加,船员们正在为船只上水做准备。,我们需要给汽车上点油，否则发动机会出问题。,2,1
1046,上,shàng,动词,安装或固定物品,士兵们接到命令后迅速上刺刀，准备冲锋。,他花了整整一个上午才把书架上的螺丝上紧。,2,1
1047,上,shàng,动词,涂;搽,孩子们正在用彩笔给画上颜色。,她每天早上都会在脸上上一点淡妆。,2,1
1048,上,shàng,动词,登载,这件事已经上报给领导，等待进一步指示。,今天的报纸上刊登了一则重要新闻。,2,1
1049,上,shàng,动词,旋紧或拧紧,他每天都会在清晨练习上弦，以保持弓箭的状态。,他用力把瓶盖拧上，防止饮料洒出来。,2,1
1050,上,shàng,动词,开始工作或学习,明天我要早起上班，所以今晚得早点休息。,学生们每天早上八点准时上课。,2,1
1051,上,shàng,动词,达到（一定数量或程度）,这次活动吸引了上百人参加，场面非常热闹。,这次考试的分数已经上了90分，我感到非常满意。,2,1
1052,上,shàng,名词,汉语四声中的第三声,平上去入是古代汉语四声的基本分类。,在汉语的四声中，上声的调值是先降后升。,2,1
1121,大,dà,形容词,体积、规模等超过一般标准,这栋房子大得惊人，足足有五百平方米。,这个箱子太大了，我一个人根本搬不动。,2,1
1122,大,dà,名词,物体的大小程度,那间房子有这间两个大，显得格外宽敞。,这两件衣服的大小差不多，你可以随便选一件。,2,1
1123,大,dà,形容词,程度深,墙上挂着一幅大红的中国结。,听到这个消息，大家都大吃一惊。,2,1
1125,大,dà,形容词,排行第一的,他是家里的老大，承担了很多责任。,他是家里的老大，从小就特别照顾弟弟妹妹。,2,1
1128,大,dà,形容词,用于强调时令或节日,大清早他就出门锻炼了。,大年初一，家家户户都贴上了新的春联。,2,1
1213,来,lái,动词,从别处移动至说话人所在位置（与“去”相对）,这条街人来人往，非常热闹。,明天我表哥要从上海来北京参加我的婚礼。,2,1
1214,来,lái,动词,（问题、事件等）出现；发生,问题来了，我们该如何解决呢？,春天来了，公园里的花儿都竞相开放。,2,1
1217,来,lái,动词,用于动词前，表示将要做某事,你来念一遍这篇文章，看看有没有读错的地方。,我来帮你拿行李吧，看起来挺重的。,2,1
1220,来,lái,动词,用于句末，表示过去发生的事情,这话我多会儿说来？我已经记不清了。,你刚才说什么来着？我没听清楚。,2,1
1222,来,lái,副词,从过去延续到现在,他从来不说谎，是个值得信赖的人。,改革开放以来，中国发生了翻天覆地的变化。,2,1
1223,来,lái,助词,用于数字后表示大概数量,这次出差大概需要十来天。,这个箱子大概有二十来斤，我一个人搬不动。,2,1
1224,来,lái,助词,用于列举原因或论点,"他这次进城,一来是汇报工作,二来是修理机器,三来是采购图书。",一来天气太热，二来时间紧张，我们决定取消这次郊游。,2,1
1226,来,lái,助词,用作民歌、俗语中的衬字,正月里来是新春，家家户户都忙着准备过年。,正月里来是新春，家家户户挂红灯。,2,1
1331,和,huó,动词,将粉末与液体混合揉捏,她正在厨房和面，准备包饺子。,妈妈正在厨房里和面，准备包饺子给我们吃。,2,1
1341,和,huò,动词,混合粉末或加水稀释,中医正在和药，为病人配制中药。,护士把药粉和水调和成糊状，方便病人服用。,2,1
1352,和,hé,形容词,相处融洽,在困难时期，我们需要和衷共济，共同渡过难关。,我们班级的同学相处得非常和谐，就像一个大家庭。,2,1
1353,和,hé,动词,结束战争或争执,两国经过谈判最终达成讲和协议。,经过多方调解，两国终于达成和议，结束了长达十年的冲突。,2,1
1358,和,hé,连词,表示并列关系,工人和农民都是国家的主人，他们的贡献不可忽视。,苹果和香蕉都是我喜欢吃的水果。,2,1
1361,和,hé,名词,日本的简称,她穿着一件漂亮的和服，吸引了众人的目光。,和服是日本传统的民族服饰，非常美丽。,2,1
1412,我,wǒ,代词,指代自身。,自我意识的觉醒让他更加清楚自己的目标。,我要严格要求自己，争取更大的进步。,2,1
1521,个,gè,量词,量词，用于没有专用量词的名词（部分名词也可用此量词替代专用量词）,篮子里有三个苹果，看起来都很新鲜。,桌子上放着一个苹果和两个橙子。,2,1
1611,中,zhōng,名词,中心位置，与四周等距,中央电视台每天都会播放许多精彩的节目。,广场中央有一个巨大的喷泉，非常壮观。,2,1
1613,中,zhōng,名词,在某个范围或内部,家中有一个温馨的客厅，全家人经常在那里聚会。,这本书中记载了许多有趣的历史故事。,2,1
1614,中,zhōng,形容词,两端之间的位置,他不小心伤到了自己的中指，现在还有些疼痛。,我们计划在中午十二点准时出发去郊游。,2,1
1619,中,zhōng,形容词,成;行;好,中不中？如果不行的话，我们再想其他办法。,这个方案我看中，各方面都考虑得很周全。,2,1
1620,中,zhōng,助词,动词后助词，表示持续状态,列车在运行中，乘客们都在安静地休息。,他在睡梦中翻了个身，嘴里还在嘟囔着什么。,2,1
1621,中,zhòng,动词,正对上;恰好合上,经过投票，他成功中选为学生会主席。,他随手一扔，飞镖正中靶心，赢得一片喝彩。,2,1
1711,地,dì,名词,地球或其外壳,天地之间充满了无尽的奥秘，等待人们去探索。,科学家们正在研究地壳运动的规律，以预测地震的发生。,2,1
1719,地,dì,名词,具体的位置或场所,我们的目的地是北京。,这个旅游景点是当地最著名的地标，吸引了无数游客。,2,1
1723,地,dì,名词,用于表示距离的量词,从这里到市中心大约有二十里地。,从这里到火车站还有二十里地，我们得抓紧时间出发。,2,1
1912,他,tā,代词,用于动词和数量词之间,他打算睡他一觉，好好休息一下。,妈妈在厨房里忙来忙去，炒他几个菜招待客人。,2,1
2127,要,yào,动词,必须,路很滑，大家要小心！以免摔倒受伤。,你明天要准时参加会议，不能迟到。,2,1
2129,要,yào,动词,将要,我们要参加劳动竞赛了，大家都非常兴奋。,明天我们要去参观博物馆，记得带上相机。,2,1
2131,要,yào,连词,如果,明天要下雨，我就不去了，改天再约吧。,要下雨的话，我们就改在室内活动。,2,1
2211,们,men,助词,用于代词或指人名词后表示复数,我们一起去公园散步。,孩子们在公园里玩得很开心，笑声不断。,2,1
2312,以,yǐ,介词,根据...标准,请大家按照座位表以次就座。,我们以公平的原则来处理这个问题。,2,1
2317,以,yǐ,介词,构成方位词表示界限,我以前从未去过北京。,这个房间以南是宽敞的阳台，采光很好。,2,1
2412,到,dào,动词,前往某地,周末我们计划到郊外去野餐。,他决定到国外深造，学习更先进的技术。,2,1
2414,到,dào,形容词,考虑周全，细致,他想得很到位，考虑到了每一个细节。,他的考虑非常周到，连细节都安排得很妥当。,2,1
2511,国,guó,名词,主权政治实体,国内的经济发展迅速。,我们的国家正在快速发展，人民生活水平不断提高。,2,1
2512,国,guó,形容词,国家层面的,国徽象征着国家的尊严和权威。,五星红旗是中华人民共和国的国旗，象征着国家的尊严。,2,1
2514,国,guó,名词,指国家，特指中国,国产的产品质量有了很大提升。,春节期间，国人都喜欢回家与亲人团聚。,2,1
2611,时,shí,名词,较长的一段时间,古时的人们靠天吃饭。,经过长时间的等待，我们终于等到了好消息。,2,1
2612,时,shí,名词,规定的时间,按时上班是对员工的基本要求。,火车准时到达，没有延误一分钟。,2,1
2613,时,shí,名词,季节,一年有四时：春夏秋冬。,春天是万物复苏的季节，充满了生机。,2,1
2614,时,shí,名词,当前；现在,时下流行简约风格的装修。,时下年轻人最喜欢的社交平台是微信和抖音。,2,1
2615,时,shí,名词,时尚；潮流,她的穿着非常入时，总是引领潮流。,穿汉服拍照已成为一种新的时尚潮流。,2,1
2616,时,shí,名词,计时单位,卯时是一天中的早晨五点到七点。,马拉松运动员用了两小时三十分钟跑完全程。,2,1
2617,时,shí,名词,机会；时机,失时不候，机会一旦错过就很难再遇到。,抓住时机，果断行动，才能取得成功。,2,1
2618,时,shí,副词,时常；有时,他时时提醒自己要努力学习。,他时常回忆起童年时在乡村的美好时光。,2,1
2619,时,shí,副词,时而…时而…,这场雨时断时续地下了一整天。,天气时晴时雨，出门记得带伞。,2,1
2716,就,jiù,动词,将菜肴与主食或酒搭配食用,花生仁儿就酒，越喝越有。,吃饺子的时候，我喜欢用醋就着吃，味道特别好。,1,2
2724,就,jiù,副词,表示原本或早已如此,街道本来就不宽，每逢集市更显得拥挤了。,这座桥早在十年前就已经建成了。,1,2
3025,会,huì,名词,在寺庙举行的集市活动,他赶会去了。,庙会期间，古老的街道上挤满了前来赶集的百姓。,1,2
3026,会,huì,名词,民间宗教集会活动,北京和上海都是国际化大都会。,每年农历三月，村民们都会举办盛大的香会，祈求风调雨顺。,1,2
3027,会,huì,名词,民间互助储蓄组织,这里是一个繁华的都会。,我们社区成立了一个互助会，每月大家交钱，轮流帮助有需要的家庭。,1,2
3028,会,huì,名词,主要的城市,每个人都向往美好的都会生活。,上海是中国最重要的经济会之一，吸引了众多国际企业。,1,2
3222,子,zǐ,名词,对人的通称,这位男子身材高大，给人一种可靠的感觉。,这位男子在危急时刻挺身而出，救了落水的孩子。,2,1
3223,子,zǐ,名词,"特指有学问的男人,是男人的美称",夫子教书育人，深受学生们的尊敬和爱戴。,孟子是儒家学派的重要代表人物之一。,2,1
3224,子,zǐ,代词,古汉语中表示第二人称代词,以子之矛，攻子之盾，这句话蕴含着深刻的哲理。,"子曰：""学而时习之，不亦说乎？""",2,1
3225,子,zǐ,名词,古代图书分类法（经史子集）中的第三类，指诸子百家著作,子部是古代文献分类中的一个重要部分。,这部古籍被归类为子部，主要收录诸子百家的著作。,2,1
3311,学,xué,动词,获取知识或技能,他决定学技术，以便将来能找到一份好工作。,我们要好好学习，天天向上，将来报效祖国。,2,1
3313,学,xué,名词,知识体系,治学需要严谨的态度和不懈的努力。,这位教授学识渊博，在学术界享有很高的声誉。,2,1
3315,学,xué,名词,教育机构,小学是孩子们接受基础教育的重要阶段。,北京大学是中国最著名的高等学府之一。,2,1
3417,发,fā,动词,食物膨胀,面发了，可以开始蒸馒头了。,面团在温暖的环境下会逐渐膨胀发酵。,2,1
3418,发,fā,动词,使（烟雾、气味等）扩散或散开,这个问题的答案可以从多个角度发散思考。,花香在春风中散开，弥漫整个花园。,1,2
3419,发,fā,动词,揭露或打开（隐藏的事物）,科学家在研究中发现了一个新的现象。,记者揭露了这起贪污腐败的丑闻。,1,2
3422,发,fā,动词,感受到（多指不愉快的情况）,长时间站立让她双腿发麻，不得不坐下来休息。,他感到非常沮丧，因为考试没有通过。,1,2
3512,着,zháo,动词,感受到；遭受。,今天风很大，出门时一定要注意着风，别感冒了。,他着了凉，现在不停地打喷嚏。,2,1
3514,着,zháo,助词,动词后助词，表示动作完成。,他太累了，一坐下就睡着了。,他找着了丢失的钥匙，终于松了一口气。,2,1
3515,着,zháo,动词,方言，指入睡。,我实在太困了，一上床就着了。,他昨晚很早就睡着了，今天精神特别好。,2,1
3522,着,zhe,助词,助词，表示状态持续。,大门敞着，任何人都可以随意进出。,门开着，你可以直接进去，不用敲门。,2,1
3523,着,zhe,助词,加强命令或嘱咐的语气。,你听着，这件事非常重要，千万别忘了。,你听着，这件事非常重要，一定要认真对待。,2,1
3534,着,zhāo,动词,方言，表示同意。,这话着哇！说得真是太对了。,“着，就这么办！”他爽快地答应了我们的提议。,2,1
3543,着,zhuó,动词,使接触或附着。,画家正在纸上着笔，描绘一幅美丽的山水画。,画家正在着墨，准备完成这幅山水画的最后部分。,2,1
3544,着,zhuó,名词,下落；结果。,他们四处寻找丢失的钥匙，但最终还是寻找无着。,这件事终于有了着落，大家都可以松一口气了。,2,1
3545,着,zhuó,动词,派遣。,请着人前来领取你们的奖品。,公司着人前往现场调查事故的具体原因。,2,1
3546,着,zhuó,动词,公文用语，表示命令。,上级命令着即施行，不得拖延。,上级着令各部门立即执行新的安全规定。,2,1
3611,对,duì,动词,回应；答复,老师提问后，他迅速给出了对答。,老师提问时，他总是能对答如流，显得非常自信。,2,1
3613,对,duì,动词,面向；朝向,对着镜子理理头发，她准备出门参加聚会。,他对着镜子练习演讲，希望能表现得更加自然。,2,1
3614,对,duì,动词,两者相对,为了平衡工作量，经理决定将两人的任务对调。,两座高山相对而立，形成了一道壮观的峡谷。,1,2
3615,对,duì,形容词,对面的；敌对的,河的对岸是一片茂密的森林。,在辩论赛中，对立的双方展开了激烈的交锋。,1,2
3619,对,duì,动词,调整至合适标准,摄影师仔细地对好照相机的焦距，确保照片清晰。,摄影师仔细地对准焦距，确保照片清晰。,2,1
3620,对,duì,形容词,正确；正常,你的话很对，我完全同意你的看法。,他的回答完全对上了问题的要点，赢得了老师的赞赏。,1,2
3711,作,zuò,动词,起身，兴起,面对困难，我们需要振作精神，继续努力。,春天来了，万物复苏，草木开始作新芽。,1,2
3717,作,zuò,动词,发作,闻到那股气味后，他感到一阵作呕。,他的胃病又发作了，疼得直不起腰来。,1,2
3929,可,kě,副词,非常（表强调）,她待人可好了，谁都喜欢她。,你可要记住这次教训，下次别再犯同样的错误。,1,2
3930,可,kě,副词,究竟（加强反问）,这件事我可怎么知道呢？,这么简单的道理，你难道可不明白吗？,1,2
4118,成,chéng,动词,表示同意或许可。,成！就这么办吧。,妈妈终于成了我去参加夏令营的请求。,1,2
4212,用,yòng,名词,花费的钱财,这笔资金的用项必须明确记录下来。,这次旅行的费用比我们预计的要高出许多。,1,2
4322,过,guò,动词,所有权转移,房产已经成功过户到他的名下。,他把祖传的玉佩过给了自己的女儿。,1,2
4324,过,guò,动词,回顾或查看,这份文件非常重要，请您亲自过目。,我闭上眼睛，脑海里过了一遍今天发生的所有事情。,2,1
4326,过,guò,动词,访问,感谢您的过访，希望下次再见。,昨日我专程过府拜访，可惜您不在家。,2,1
4328,过,guò,名词,错误或失误,他意识到自己的过错，决定改正。,这次项目的失败，我应当承担主要过错。,2,1
4412,动,dòng,名词,身体或物体的活动,做事要三思而后行，不可轻举妄动。,他的每一个动作都充满了力量和优雅。,2,1
4413,动,dòng,动词,改变原有状态,搬动家具时要小心，以免损坏地板。,他轻轻一动，就把桌子搬到了墙角。,2,1
4415,动,dòng,动词,引发情感反应,面对诱惑，他始终没有动心。,这部电影的情节深深打动了观众的心。,2,1
4416,动,dòng,动词,使人产生情感共鸣,这出戏演得很动人。,他的无私奉献精神感动了在场的每一个人。,2,1
4418,动,dòng,副词,经常；容易,他因为小事动辄得咎，感到十分委屈。,这孩子动不动就哭，真让人头疼。,2,1
4511,主,zhǔ,名词,接待客人的人,宾主双方在宴会上交谈甚欢。,作为主人，他热情地招待了每一位客人。,2,1
4512,主,zhǔ,名词,财物的拥有者,物主对丢失的物品非常焦急。,这栋别墅的主人是当地著名的企业家。,2,1
4514,主,zhǔ,名词,相关的人,失主终于找回了丢失的钱包。,作为案件的主谋，他将面临法律的严惩。,2,1
4517,主,zhǔ,动词,负责管理,这次活动由他们单位主办。,他将主持明天的会议，请大家准时参加。,2,1
4518,主,zhǔ,动词,提出主张,他是主战派的代表人物之一。,他主张通过和平谈判解决国际争端。,2,1
4519,主,zhǔ,动词,预示未来,民间有一种说法：左眼跳主财，右眼跳主灾（迷信）。,夜观天象，主明日将有大雨。,2,1
4520,主,zhǔ,名词,对事物持有的明确观点,他心里没主，总是犹豫不决。,在这个问题上，他有着自己明确的主见。,2,1
4521,主,zhǔ,形容词,基于个人视角的,在工作中要主动承担责任。,他总是主观地判断事情，不考虑客观事实。,2,1
4522,主,zhǔ,名词,祭祀用的死者牌位,这块神主牌位被供奉在祠堂里。,每逢清明，家人都会在祠堂里祭拜祖先的主位。,2,1
4611,下,xià,动词,从高处向低处移动,请到这边坐下休息一下。,他小心翼翼地扶着老人从台阶上走下来。,2,1
4612,下,xià,动词,有足够的容纳空间,这张桌子坐得下十个人。,这个礼堂很大，至少能容下五百人。,2,1
4613,下,xià,动词,表示动作的完成,只有打下坚实的基础，才能取得更大的成就。,他花了一整天的时间，终于把这篇论文写下来了。,2,1
4614,下,xià,形容词,位置较低的,下游的河水流速较缓。,楼下的花园里种满了各种鲜艳的花朵。,2,1
4615,下,xià,形容词,等级或品质较低的,这件商品属于下等品质。,在这次比赛中，他的表现被评为下等水平。,2,1
4616,下,xià,形容词,顺序靠后的,我们下次再见吧。,下周我们将召开一次重要的部门会议。,2,1
4617,下,xià,副词,向下方向,上级下达了新的任务指示。,他低下头，仔细阅读手中的文件。,2,1
4618,下,xià,介词,表示属于一定范围、情况、条件等,这处房产登记在他的名下。,在这种情况下，我们必须保持冷静。,2,1
4619,下,xià,介词,表示特定时间,时下的年轻人更喜欢追求个性化的生活方式。,在炎热的夏天下，人们更喜欢待在空调房里。,2,1
4621,下,xià,动词,由高处到低处,他们一起下山去寻找食物。,他从山顶慢慢地走下来，欣赏沿途的风景。,2,1
4623,下,xià,动词,发送或传递,将军下命令让部队立即出发。,公司今天下发了一份关于新政策的通知。,2,1
4624,下,xià,动词,前往某地,他决定下乡去体验农村生活。,周末我们打算下江南去旅游。,2,1
4625,下,xià,动词,离开舞台或场地,八一队的五号下，三号上，比赛继续进行。,演出结束后，演员们依次下台向观众致谢。,2,1
4626,下,xià,动词,放入内部,春天到了，农民们开始下种准备新一年的耕作。,妈妈正在厨房里往锅里下面条。,2,1
4627,下,xià,动词,进行棋类活动,他喜欢在闲暇时下围棋。,爷爷最喜欢在公园里和朋友们下象棋。,2,1
4629,下,xià,动词,发表（言论）或作出（判断）,在没有充分证据之前，我们不能轻易下结论。,法官在审理案件后，慎重地下了一个公正的判决。,2,1
4630,下,xià,动词,使用或应用,完成这项任务需要下很大的力气。,为了应对疫情，政府决定下大力气加强公共卫生体系建设。,2,1
4631,下,xià,动词,（动物）生产后代,母猪下小猪的时候，农民伯伯会特别小心照顾。,农场里的母猪昨晚顺利地下了一窝健康的小猪仔。,2,1
4632,下,xià,动词,攻占或夺取,连下数城的战绩让这支军队威名远扬。,经过三个月的围攻，军队终于成功地拿下了这座战略要地。,2,1
4634,下,xià,动词,结束工作或学习,下班后，他总是喜欢去公园散步。,学校规定下午四点下课，学生们就可以自由活动了。,2,1
4713,而,ér,连词,连接状语和动词,匆匆而来的客人让我们有些措手不及。,他匆匆而认真地完成了老师布置的所有作业，没有一丝马虎。,2,1
4811,年,nián,名词,时间单位，地球绕太阳一周的时间，平年365天，闰年366天。,今年的天气比往年更加暖和。,今年是闰年，二月份有二十九天，比平年多了一天。,2,1
4812,年,nián,形容词,每年的。,年会是公司每年最重要的活动之一。,公司每年都会组织员工进行体检，以确保大家的身体健康。,2,1
4813,年,nián,名词,岁数,他的年纪看起来比实际年龄要大一些。,虽然他已经六十岁了，但看起来比实际年龄年轻许多。,2,1
4814,年,nián,名词,人生中按年龄划分的阶段。,童年的记忆总是充满了快乐和无忧无虑。,青少年时期是人生中最关键的成长阶段之一，需要好好把握。,2,1
4815,年,nián,名词,时期，时代。,近年来，科技的发展速度令人惊叹。,在那个战火纷飞的年代，人们的生活异常艰难，充满了不确定性。,2,1
4816,年,nián,名词,一年中农作物的收成。,今年的年成非常好，农民们都喜笑颜开。,今年风调雨顺，农民们迎来了一个丰收年，粮食产量创下新高。,2,1
4817,年,nián,名词,新年，春节。,新年到了，家家户户都贴上了春联。,每逢过年，家家户户都会贴春联、放鞭炮，庆祝新年的到来。,2,1
4818,年,nián,形容词,与年节相关的（物品）。,春节时吃年糕象征着年年高升。,超市里摆满了各种年货，从糖果点心到腊味海鲜，应有尽有。,2,1
4819,年,nián,名词,科举时代同榜中举者的关系。,他是一位年兄，大家对他都很尊敬。,他们俩是同科进士，有着同年之谊，多年来一直保持密切联系。,2,1
4911,分,fēn,动词,将整体拆分为部分,这个国家因为内战而分裂成了两个部分。,妈妈把蛋糕分成六份，每个孩子都能吃到一块。,2,1
4914,分,fēn,名词,整体中的部分,他是这个分会的会长，负责组织各类活动。,这家公司的海外分部设在纽约曼哈顿区。,2,1
4916,分,fēn,数词,表示分数或百分比,这块蛋糕被切成两半，每人可以分到二分之一。,这个班级三分之二的学生都参加了校运会。,2,1
4919,分,fēn,名词,方言指十元纸币,他通过捞分（赚钱）改善了自己的生活条件。,爷爷给了我十张分票，让我去买些零食吃。,2,1
4921,分,fèn,名词,组成部分,这些水果含有过多的水分，不宜长期保存。,这份报告详细分析了土壤中的水分和养分成分。,2,1
4922,分,fèn,名词,职责权限范围,做人要守本分，不要贪图不属于自己的东西。,作为学生，我们应该清楚自己的本分是好好学习。,2,1
4923,分,fèn,名词,人与人之间的情谊,看在老朋友的分上，原谅他吧。,看在往日的情分上，他决定再帮朋友最后一次。,2,1
4925,分,fèn,动词,预料，猜想,自分不能肩此重任，还需努力提升能力。,我自分不是那种会轻易放弃的人，一定会坚持到底。,2,1
5011,得,de,助词,表示动作的可能性,她去得，我也去得，我们一起去吧。,这么重的箱子你一个人搬得动吗？需要帮忙吗？,2,1
5013,得,de,助词,引出结果或程度补语,这篇文章写得非常好，值得仔细阅读。,听到这个好消息，她高兴得跳了起来。,2,1
