hanzi,pinyin,pos,definition_id,origin_definition_cn,definition_cn,origin_definition_en,definition_en
万分,wàn fēn,副词,973011,非常;极其,程度非常高,very much; extremely,extremely
丈,zhàng,名词,136211,"长度单位,10尺等于1丈,10丈等于1引。",十尺为一丈的长度单位,"zhang, a unit of length, where 10 chi equals 1 zhang, and 10 zhang equals 1 yin",zhang (unit)
丈,zhàng,动词,136212,丈量(土地),测量土地面积,measure (a piece of land),measure land
丈,zhàng,名词,136213,对老年男子的尊称,对老年男性的敬称,respectful form of address for an old man,elder
丈,zhàng,名词,136214,丈夫(用于某些亲戚的尊称,丈夫的尊称,used in certain kinship terms,husband
丈夫,zhàng fu,名词,579611,"男女两人结婚后,男子是女子的丈夫。",婚姻关系中的男性配偶,husband,husband
丈夫,zhàng fū,名词,579621,成年男子,成年男性,man,man
三,sān,数词,11711,"数目,二加一后所得。",数字2加1的结果,three; two plus one;,three
三,sān,形容词,11712,表示多数或多次,表示多次或多数,several times,multiple
三角,sān jiǎo,名词,944411,三角学的简称。,三角学的简称,Abbr. for三角学sānjiǎoxué,trigonometry
三角,sān jiǎo,名词,944412,形状像三角形的东西,具有三条边的图形,triangle; sth. triangular,triangle
上,shǎng,名词,1011,指上声，上（shàng）的又音。,上声的发音,variant pronunciation for 上2shàng ,rising tone
上,shàng,动词,1021,表示由低处向高处,从低处向高处移动,up; upward,ascend
上,shàng,动词,1022,表示有了结果或达到目的,达到预期目标,[indicating the attainment of an objective],achieve
上,shàng,动词,1023,表示开始并继续,动作开始并持续,[indicating that an action has started and is in progress],start
上,shàng,形容词,1034,位置在高处的,处于较高位置,up; upper; above,upper
上,shàng,形容词,1035,等级或品质高的,质量或等级较高,high grade or high quality; top grade or top quality,superior
上,shàng,形容词,1036,次序或时间在前的,时间或顺序在前,preceding (in order or time),previous
上,shàng,名词,1037,指皇帝,古代对帝王的称呼,referring to the emperor,emperor
上,shàng,动词,1038,向上面,朝向上方,upward,upwards
上,shàng,动词,1039,由低处到高处,由低处升至高处,come or go up; ascend,climb
上,shàng,动词,1040,到;去(某个地方),前往某地,go to; leave for,go to
上,shàng,动词,1041,向上级呈递,提交给上级,submit sth. to a higher authority,submit
上,shàng,动词,1042,向前进,向前进,forge ahead; go ahead,ascend; move upward
上,shàng,动词,1043,出场,登台表演或出场,appear on stage; enter the court,appear on stage
上,shàng,动词,1044,把饭菜等端上桌子,将饭菜等摆放到桌上,serve; lay dishes on the table,serve (food)
上,shàng,动词,1045,添补;增加,补充或增加,fill; supply; replenish,replenish
上,shàng,动词,1046,把一件东西安装在另一件东西上;把一件东西的两部分安装在一起,安装或固定物品,fix; place sth. in position; fix one thing on another; fix two parts together,install
上,shàng,动词,1047,涂;搽,涂;搽,apply; paint; smear,apply
上,shàng,动词,1048,登载,登载,carry; print,publish
上,shàng,动词,1049,拧紧,旋紧或拧紧,wind; screw up; tighten,tighten
上,shàng,动词,1050,到规定时间开始工作或学习等,开始工作或学习,start work or study at a fixed time,start work/class
上,shàng,动词,1051,达到;够(一定数量或程度),达到（一定数量或程度）,up to; as many as,reach
上,shàng,名词,1052,(又shǎng)四声之一;上声,汉语四声中的第三声,(also shǎng) falling-rising tone; 3rd of the four tones in Chinese pronunciation,falling-rising tone
上,shàng,名词,1053,"中国民族音乐音阶上的一级,乐谱上用做记音符号,相当于简谱的‘1’。","中国民族音乐音阶上的一级，乐谱上用做记音符号，相当于简谱的‘1’。","note of the scale in traditional Chinese music, corresponding to 1 in numbered musical notation;",musical note 'do'
上,shang,助词,1031,"用在名词后,表示在物体的表面",表示物体表面的方位,[used after a noun to indicate the surface of sth.] on,on (surface)
上,shang,助词,1032,"用在名词后,表示在某种事物的范围以内",表示在某个范围内,[used after a noun to indicate the limited scope of sth.] at; in,within
上,shang,助词,1033,"用在名词后,表示某一方面",表示某个方面,[used after a noun to indicate a certain aspect],in terms of
上任,shàng rèn,动词,946111,指官吏就职,官员正式就职,take a post as an official,assume office
上任,shàng rèn,名词,946112,称前一任的官吏。,前任官员,predecessor,predecessor
上午,shàng wǔ,名词,560611,"指半夜十二点到正午十二点的一段时间,一般也指清晨到正午十二点的一段时间。",午夜至正午的时间段，通常指清晨到中午,morning; period of time from 00:00 to 12:00 noon; usu. the period from daybreak to noon,morning
上当,shàng dàng,动词,748211,受骗吃亏。,因受骗而遭受损失,be taken in; be fooled; be duped,be deceived
上游,shàng yóu,名词,946311,河流接近发源地的部分。,河流接近源头的部分,upper reaches (of a river),upper reaches
上游,shàng yóu,名词,946312,先进,比喻领先的地位,advanced,advanced
上班,shàng bān,动词,2060342,在规定时间去工作,按时开始工作,go to work; be on duty,go to work
上瘾,shàng yǐn,动词,946211,爱好某种事物而成为癖好,对某事物形成强烈依赖,be addicted to sth.; get into the habit of doing sth.,addiction
上级,shàng jí,名词,946011,同一组织系统中等级较高的组织或人员,组织系统中级别更高的机构或人员,higher level; higher authorities; one's superior,superior
上网,shàng wǎng,动词,600011,as opposed to‘log off’})。,连接互联网获取信息,log on; log in; use a computer to connect with the Internet to read or retrieve information,go online
上进心,shàng jìn xīn,名词,2000193,追求进步的心态,积极进取的心态,ambition,ambition
下,xià,动词,4611,表示由高处到低处,从高处向低处移动,[indicating downward motion] down,descend
下,xià,动词,4612,"表示有空间,能容纳",有足够的容纳空间,indicating room or space,accommodate
下,xià,动词,4613,表示动作的完成或结果,表示动作的完成,[indicating completion or result of an action],completion marker
下,xià,形容词,4614,位置在低处的,位置较低的,down,lower
下,xià,形容词,4615,等次或品级低的,等级或品质较低的,low in grade or class,inferior
下,xià,形容词,4616,次序或时间在后的,顺序靠后的,next; latter; late,next
下,xià,副词,4617,向下面,向下方向,downward,downward
下,xià,介词,4618,表示属于一定范围、情况、条件等,表示属于一定范围、情况、条件等,under (certain circumstances); within (a certain scope),under
下,xià,介词,4619,表示当某个时间或时节,表示特定时间,time; time of the year,during
下,xià,量词,4620,"用在数目字后面,表示方面或方位",表示方向或位置,[used after a numeral to indicate direction or position],direction marker
下,xià,动词,4621,由高处到低处,由高处到低处,descend; alight,alight
下,xià,动词,4622,(雨、雪等)降落,（雨雪等）降落,(of rain or snow) fall,fall (precipitation)
下,xià,动词,4623,发布;投递,发送或传递,issue; deliver; send,dispatch
下,xià,动词,4624,去;到(处所),前往某地,go to,go to
下,xià,动词,4625,退场,离开舞台或场地,exit; leave,exit
下,xià,动词,4626,放入,放入内部,put in; cast,insert
下,xià,动词,4627,进行(棋类游艺或比赛),进行棋类活动,play (chess games),play (chess)
下,xià,动词,4628,卸除;取下,取下或卸下,unload; take away,remove
下,xià,动词,4629,做出(言论、判断等),发表（言论）或作出（判断）,make (remarks); draw (a conclusion),make (remarks)
下,xià,动词,4630,使用;开始使用,使用或应用,use; apply,apply
下,xià,动词,4631,(动物)生产,（动物）生产后代,(of animals) give birth to; lay,give birth
下,xià,动词,4632,攻陷,攻占或夺取,capture; take,capture
下,xià,动词,4633,退让,让步或屈服,give in; yield,yield
下,xià,动词,4634,到规定时间结束日常工作或学习等,结束工作或学习,finish work or study in fixed time,finish work
下,xià,动词,4635,低于;少于,低于;少于,less than; lower than,below; less than
下午,xià wǔ,名词,563211,"从正午十二点到半夜十二点的一段时间,一般也指从正午十二点到日落的一段时间。",中午12点至日落的时间段,afternoon; part of day from 12 a.m. to 12 p.m. but oft. from noon until sunset,afternoon
下级,xià jí,名词,2053011,同一组织系统中等级低的组织或人员,组织体系中等级较低的部分或人员,subordinate; lower level,subordinate
下载,xià zài,动词,767611,把信息从互联网或其他电子计算机上输入到某台电子计算机上(跟‘上载’相对as opposed to‘upload’})。,从网络或计算机获取数据到本地设备,download; transfer information to a computer from the Internet or another computer,download
下载,xià zǎi,动词,2000107,从网络获取文件,从互联网获取文件到本地,download,download
下雨,xià yǔ,动词,2000009,大气水分落向地面,天空降下水滴的自然现象,rain,rain
不,bù,副词,421,用在动词、形容词和其他副词前面表示否定,用于动词、形容词前表示否定,"[used before verbs, adjectives, and other adverbs to indicate negation]",not
不,bù,形容词,422,"加在名词或名词性词素前面,构成形容词",加在名词前构成形容词,[used before certain nouns or nominal morphemes to form an adjective],non-
不,bù,副词,423,"单用,做否定性的回答(答话的意思跟问题相反)",单独使用表示否定回答,[used by itself as a negative answer],no
不,bù,助词,424,"用在句末表示疑问,跟反复问句的作用相等",方言中用于句末表示疑问,[attached to the end of a sentence to indicate doubt or question],[question particle]
不,bù,副词,425,"用在动补结构中间,表示不可能达到某种结果",表示动作不可能完成,[used between a verb and its complement to indicate that sth. is impossible],cannot
不,bù,副词,426,"‘不’字的前后叠用相同的词,表示不在乎或不相干(常在前边加‘什么’",重复使用表示不在乎,usu. preceded by 什么 shén me,no matter
不,bù,连词,427,"跟‘就’搭用,表示选择",与'就'连用表示选择,[used correlatively with 就 jiù to indicate alteration],either...or
不,bù,副词,428,不用;不要(限用于某些客套话,方言中表示'不用',used in polite formulas only,need not
不仅,bù jǐn,连词,612911,表示超出某个数量或范围;不止,超出特定范围或数量,beyond a certain quantity or range; not the one alone,more than
不仅,bù jǐn,连词,612912,不但,用于递进关系,not only,not only
不但,bù dàn,连词,612611,"用在表示递进的复句的上半句里,下半句里通常有连词‘而且、并且’或副词‘也、还’等相呼应",用于递进复句的前半部分,"[used in the first half of a complex sentence that is progressive in meaning, and usu. correlated with conjunctives like 而且érqiě or 并且 bìngqiě, or with adverbs like 也yě or 还hái]",not only
不像话,bù xiàng huà,形容词,809711,(言语行动)不合乎道理或情理,言行不合情理,unreasonable,unreasonable
不像话,bù xiàng huà,形容词,809712,坏得没法形容,恶劣到难以形容,shocking; outrageous,outrageous
不免,bù miǎn,副词,674211,免不了,不可避免,cannot avoid; cannot help but; inevitably; invariably; bound to; unavoidable,inevitably
不可思议,bù kě sī yì,形容词,810811,"不可想像,不能理解(原来是佛教用语,含有神秘奥妙的意思",难以想象和理解,originally a Buddhist term meaning mysterious and profound,unimaginable
不堪,bù kān,动词,810711,承受不了,无法承受,cannot bear; cannot stand,unbearable
不堪,bù kān,动词,810712,不可;不能(多用于不好的方面,不能（多用于负面情况）,usu. referring to sth. Undesirable,cannot
不堪,bù kān,形容词,810713,"用在消极意义的词后面,表示程度深",程度极深（用于消极词后）,"[used after words of negative meaning, as an intensifier of degree] utterly; extremely",utterly
不堪,bù kān,形容词,810714,坏到极深的程度,极其糟糕,extremely bad (or undesirable),extremely bad
不好意思,bù hǎo yì si,形容词,674111,害羞,感到害羞,shy; embarrassed; bashful,embarrassed
不好意思,bù hǎo yì si,形容词,674112,碍于情面而不便或不肯,因情面而犹豫,refrain from or refuse to do sth. for fear of hurting sb.'s feelings,hesitate due to face
不如,bù rú,连词,674411,表示前面提到的人或事物比不上后面所说的,比不上,not equal to; not as good as; inferior to,inferior to
不妨,bù fáng,副词,810411,"表示可以这样做,没有什么妨碍",可以尝试，没有妨碍,there is no harm in; might as well,might as well
不安,bù ān,形容词,673911,不安定;不安宁,心神不宁,intranquil; not peaceful; unstable; disturbed,uneasy
不安,bù ān,形容词,673912,表示歉意和感激,客套话表示歉意,expressing regret or thanks,sorry
不客气,bù kè qi,形容词,2000002,回应感谢的礼貌用语,回应感谢的礼貌用语,you're welcome,you're welcome
不屑一顾,bù xiè yī gù,动词,2000126,轻视不值得关注,轻视不值得关注,disdain,disdain
不得不,bù dé bù,副词,2000032,没有其他选择必须做,被迫必须做,have to,have to
不得了,bù dé liǎo,形容词,674011,表示情况严重,情况严重,(of situations) terrible; horrible; desperately serious,terrible
不得了,bù dé liǎo,形容词,674012,表示程度很深,程度很深,(of degrees) extremely; exceedingly,extremely
不得已,bù dé yǐ,形容词,810311,无可奈何;不能不如此,无可奈何必须做,act against one's will; have no alternative but to; have to; be forced to,forced to
不必,bù bì,副词,673411,表示事理上或情理上不需要,不需要,need not; not have to,need not
不忿,bù fèn,形容词,2060421,不服气,心中不服,indignant,indignant
不惜,bù xī,动词,811011,不顾惜;舍得,舍得付出,not stint; not spare,not spare
不愧,bù kuì,动词,809511,当之无愧;当得起(多跟‘为’或‘是’连用,当之无愧,usu. followed by 为wéi or 是shì,worthy of
不择手段,bù zé shǒu duàn,动词,811411,"为了达到目的,什么手段都使得出来(含贬义","为了达到目的,什么手段都使得出来(含贬义)",derog.,unscrupulous
不敢当,bù gǎn dāng,形容词,810511,表示承当不起(对方的招待、夸奖等)。,谦辞表示不敢承受,[used in response to sb.'s hospitality or in reply to a compliment or a complimentary gesture] I really don't deserve this; it's too great an honour; I'm overwhelmed; I'm much obliged; you flatter me,I don't deserve
不料,bù liào,动词,809611,没想到;没有预先料到,出乎意料,unexpectedly; to one's surprise,unexpectedly
不断,bù duàn,副词,673511,连续不间断,持续不间断,unceasing; uninterrupted; continuous; constant,continuously
不时,bù shí,副词,810911,时时;经常不断地,经常地,from time to time; frequently; often,frequently
不时,bù shí,副词,810912,随时;不是预定的时间,随时可能,at any time; at an unexpected moment,at any time
不止,bù zhǐ,动词,811511,继续不停,持续不停,incessant; without end,incessant
不止,bù zhǐ,动词,811512,表示超出某个数目或范围,超出范围,more than; go beyond,more than
不然,bù rán,连词,674311,不是这样,否则,not so,otherwise
不然,bù rán,副词,674312,"用在对话开头,表示否定对方的话",用于对话开头，表示对对方话语的否定,[used at the beginning of a sentence to express disagreement] no,no
不然,bù rán,连词,674313,"表示如果不是上文所说的情况,就发生或可能发生下文所说的情况",连词，表示如果不是上文所述情况，就会发生或可能发生下文所述情况,or else; otherwise; if not,otherwise
不由得,bù yóu de,副词,811311,不容,无法控制或避免,cannot help; cannot but,cannot help
不由得,bù yóu de,副词,811312,不禁,不由自主地,cannot help,cannot help
不相上下,bù xiāng shàng xià,形容词,811111,"分不出高低,形容程度相等",形容两者程度相当，难以分出高下,equally matched; about the same; almost on a par,equally matched
不禁,bù jīn,副词,810611,抑制不住;禁不住,无法抑制或控制,cannot help (doing sth.); cannot refrain from,cannot refrain from
不管,bù guǎn,连词,612811,"表示在任何条件或情况下结果都不会改变,后边常有‘都、也’等副词与它呼应",连词，表示在任何条件下结果都不会改变，常与“都、也”等副词呼应,"[indicating that sth. will never change in any case, usu. correlated with adverbs like 都 dōu and 也 yě that follow it] regardless of; no matter (what, how, etc.)",no matter
不耐烦,bù nài fán,形容词,2000065,情绪焦躁易怒,形容情绪焦躁，容易发怒,impatient,impatient
不要紧,bù yào jǐn,形容词,673711,没有妨碍;不成问题,没有妨碍或问题,it's OK; doesn't matter; never mind,it doesn't matter
不要紧,bù yào jǐn,形容词,673712,表面上似乎没有妨碍(下文有转折),表面上看似无碍，但实际有转折,"it may appear all right, but ...","it may appear all right, but..."
不见得,bù jiàn dé,副词,673611,不一定,不一定如此,uncertain; not necessarily so; not a sure thing,not necessarily
不见得,bù jiàn de,副词,2000064,不一定成立,不一定成立或正确,not necessarily,not necessarily
不言而喻,bù yán ér yù,形容词,811211,不用说就可以明白。,形容道理或事实显而易见，无需解释,it goes without saying; it is self-evident,self-evident
不足,bù zú,形容词,674511,不充足;不满(某个数目),数量或程度不够,not enough; insufficient; inadequate,insufficient
不足,bù zú,形容词,674512,不值得,不值得,not worth,not worth
不足,bù zú,形容词,674513,不可以;不能,不可以或不能,cannot; should not,cannot
不过,bù guò,副词,612711,"用在形容词性的词组或双音节形容词后面,表示程度最高",用于形容词后，表示程度最高,[attached to adjective phrases or disyllabic adjectives as an intensifier],extremely
不过,bù guò,副词,612712,"指明范围,含有往小里或轻里说的意味;仅仅",副词，表示范围有限，往小或轻里说,[indicating scope and implying relative smallness (of age) or lightness] only; merely; no more than,only
不过,bù guò,连词,612713,"用在后半句的开头儿,表示转折,对上半句话加以限制或修正",连词，用于后半句开头，表示转折或修正,"[used at the beginning of the latter half of a compound sentence to indicate a shift in meaning, and to limit or amend the former half] but; however",however
不韪,bù wěi,名词,2028911,过失;不对,过失或错误,"fault, wrongdoing",wrongdoing
不顾,bù gù,动词,809411,不照顾,不予以照顾,have no consideration for; not concerned with,ignore
不顾,bù gù,动词,809412,不考虑;不顾忌,不考虑或不顾忌,in spite of; regardless of; have no regard for; ignore,regardless of
与,yù,动词,12121,参与,参加或加入,take part in; participate in,participate
与,yǔ,动词,12131,给,给予,give; offer,give
与,yǔ,动词,12132,交往,交往,get along with,associate
与,yǔ,动词,12133,赞许;赞助,表示赞许或支持,commend; support,support
与,yǔ,动词,12134,等待,等待,wait for; await,await
与,yǔ,介词,12135,跟,介词，表示共同或伴随,with,with
与,yǔ,连词,12136,和,连词，表示并列关系,and,and
与其,yǔ qí,连词,780811,"比较两件事的利害得失而决定取舍的时候,‘与其’用在放弃的一面(后面常用‘毋宁、不如’呼应)",连词，用于比较两件事的利弊，表示放弃前者,[usu. used consecutively with 毋宁 wúnìng and 不如 bùrú] rather than; better than,rather than
与日俱增,yǔ rì jù zēng,动词,1006711,随着时间的推移而不断增长。,随着时间的推移而不断增长,grow with each passing day; be steadily on the increase,grow steadily
丐,gài,动词,379311,乞求。,乞求,beg,beg
丐,gài,名词,379312,乞丐。,以乞讨为生的人,beggar,beggar
丐,gài,动词,379313,给;施与。,给予或施与,give; grant; bestow,grant
丑,chǒu,名词,193411,地支的第二位。,地支的第二位,second of the twelve Earthly Branches,second Earthly Branch
丑,chǒu,名词,193412,(Chǒu)姓。,姓氏,a surname,a surname
丑,chǒu,形容词,193413,丑陋;不好看(跟‘美’相对as opposed to‘beautiful’}),外貌不好看,ugly; unpleasant to look at,ugly
丑,chǒu,形容词,193414,叫人厌恶或瞧不起的,令人厌恶或鄙视,detestable; shameful,shameful
丑,chǒu,形容词,193415,坏;不好,方言，表示坏或不好,bad; not good,bad
丑,chǒu,名词,193416,"戏曲角色行当,扮演滑稽人物,鼻梁上抹白粉,有文丑、武丑之分。",戏曲中的滑稽角色,"comedian; clown; comic role in traditional Chinese opera, recognized by the patch of white paint around the nose, subdivided into civil and martial clown;",clown
丑恶,chǒu è,形容词,824011,丑陋恶劣,形容丑陋且恶劣,ugly; repulsive; hideous,hideous
专,zhuān,形容词,49111,集中在一件事上的,集中于单一事物,"for a particular person, occasion, purpose, etc.; focusing on one thing; special",special
专,zhuān,动词,49112,独自掌握和占有,独自掌控,monopolize,monopolize
专,zhuān,名词,49113,(Zhuān)姓。,姓氏,a surname,a surname
专业,zhuān yè,名词,666311,"高等学校的一个系里或中等专业学校里,根据科学分工或生产部门的分工把学业分成的门类",学术或教育的专门领域,special field of study; specialized subject; specialty; discipline,specialty
专业,zhuān yè,名词,666312,产业部门中根据产品生产的不同过程而分成的各业务部分,产业中的专门业务部分,specialized trade or profession; special line,profession
专业,zhuān yè,形容词,666313,专门从事某种工作或职业的,专门从事某项工作,specialized; professional,professional
专利,zhuān lì,名词,1028511,法律保障创造发明者在一定时期内由于创造发明而独自享有的利益,法律保护的发明独占权,"patent; monopoly right granted to an inventor by law to produce, sell or make profit from an invention for a specific number of years",patent
专家,zhuān jiā,名词,789911,对某一门学问有专门研究的人;擅长某项技术的人。,某一领域的资深研究者,expert; specialist; person very skilled or highly trained and informed in some special field,expert
专心,zhuān xīn,形容词,790011,集中注意力,注意力高度集中,concentrate one's attention; be absorbed,concentrated
专科,zhuān kē,名词,1028411,专门科目,高等教育中针对特定领域的专业学科,specialty; special field of study; specialized subject,specialty
专科,zhuān kē,名词,1028412,指专科学校,提供专业培训的高等教育机构,college for professional training; training school,professional college
专程,zhuān chéng,副词,1028311,专为某事而到某地,为特定目的而进行的专门行程,special trip,special trip
专长,zhuān cháng,名词,1028211,专门的学问技能;特长,个人在特定领域具备的专业技能或知识,speciality; special skill or knowledge,expertise
专门,zhuān mén,副词,666211,特地,特地,specially,specially
专门,zhuān mén,形容词,666212,专从事某一项事的,专注于特定领域的,specialized,specialized
专门,zhuān mén,副词,666213,表示强调经常做某类事情,（方言）习惯性地,frequently,habitually
专题,zhuān tí,名词,1028611,专门研究或讨论的题目,特定研究或讨论的主题,special subject; special topic,special topic
且,jū,助词,35211,相当于‘啊’,（语气助词）相当于“啊”,[equivalent to 啊 ɑ] oh,oh
