definition_id,hanzi,pinyin,pos,definition_cn,example_cn
2727,就,jiù,副词,表示事实正是如此,那就是他的家。
2728,就,jiù,连词,表示假设的让步，与“就是”相同,你就送来，我也不要。
2811,出,chū,动词,从内部到外部（与“进”相对）,快点出来，大家都在等你。
2812,出,chū,动词,到达某场合,他将出席这次重要的会议。
2813,出,chū,动词,超过限度,她的行为已经明显出轨。
2814,出,chū,动词,往外拿,他为了帮助朋友，主动出钱支持。
2815,出,chū,动词,生产或发生,这座矿山每天都能出煤几百吨。
2816,出,chū,动词,发行出版物,这家出版社出了不少好书。
2817,出,chū,动词,发出或宣泄,春天到了，树枝开始出芽儿。
2818,出,chū,动词,引文、典故等见于某处,语出《老子》。
2819,出,chū,动词,显露,他的作品因独特的风格而出名。
2820,出,chū,动词,显得数量多,用机米做饭，出饭量特别多。
2821,出,chū,动词,支付款项,她担任公司的出纳工作。
2822,出,chū,动词,方言：表示向外,散会了，大家往出走。
2823,出,chū,量词,戏曲剧目单位,今晚剧院安排了三出戏。
2824,出,chū,助词,动词补语，表完成或趋向,从他的表情中看得出他很紧张。
2911,说,shuō,动词,用话来表达意思,我不会唱歌，只说了个笑话。
2912,说,shuō,动词,解释,一说就明白。
2913,说,shuō,名词,言论;主张,这是一种古老的学说。
2914,说,shuō,动词,责备；批评,他因为迟到挨说了。
2915,说,shuō,动词,说媒；介绍,媒婆正在为她说婆家。
2916,说,shuō,动词,意指；暗指,他这段话是说谁呢？
2921,说,shuì,动词,劝说；说服,他是一位擅长游说的外交官。
3011,会,kuài,名词,总数；合计,他是公司的一名会计。
3021,会,huì,动词,聚集；集合,两支部队在山谷中会合。
3022,会,huì,动词,见面；碰面,他们计划在明天会面。
3023,会,huì,名词,有特定目的的集会,我们将在晚会上表演节目。
3024,会,huì,名词,组织；团体,工会为员工争取了更多福利。
3025,会,huì,名词,在寺庙举行的集市活动,他赶会去了。
3026,会,huì,名词,民间宗教集会活动,北京和上海都是国际化大都会。
3027,会,huì,名词,民间互助储蓄组织,这里是一个繁华的都会。
3028,会,huì,名词,主要的城市,每个人都向往美好的都会生活。
3029,会,huì,名词,时机,这是一个难得的机会。
3030,会,huì,副词,恰好；碰巧,会有客来。
3031,会,huì,动词,应该；应当,长风破浪会有时。
3032,会,huì,动词,理解；明白,我深刻体会到了这次经历的意义。
3033,会,huì,动词,熟悉；通晓,她会英文，所以交流没有障碍。
3034,会,huì,动词,表示懂得怎样做或有能力做(多半指需要学习的事情),我不会滑冰。
3035,会,huì,动词,擅长,他能说会道，总能把事情解释得很清楚。
3036,会,huì,动词,表示有可能实现,他不会不来，你放心吧。
3037,会,huì,动词,支付账单,我会过了。
3111,也,yě,助词,表示判断语气,孔子，鲁人也。
3112,也,yě,助词,表示疑问语气,何也？
3113,也,yě,助词,表示停顿,大道之行也，天下为公。
3114,也,yě,副词,表示同样,水库可以灌溉、发电，也可以养鱼。
3115,也,yě,副词,强调并列关系,他既会弹钢琴，也会拉小提琴，真是音乐天才。
3116,也,yě,副词,表示无论何种情况,你去我也去，你不去我也去，反正我一定会到场。
3117,也,yě,副词,表示让步,我虽然没见过这种场景，但也听人说起过相关的故事。
3118,也,yě,副词,表示委婉,事情倒也罢了，但心里总觉得有些遗憾。
3119,也,yě,副词,表示强调,连爷爷看到这一幕也乐得合不拢嘴，直夸孩子们懂事。
3211,子,zi,助词,名词后缀,他今天戴了一顶新帽子，看起来非常帅气。
3212,子,zi,助词,量词后缀,这档子事闹得沸沸扬扬，大家都议论纷纷。
3221,子,zǐ,名词,儿子,父子二人感情深厚，经常一起散步谈心。
3222,子,zǐ,名词,对人的通称,这位男子身材高大，给人一种可靠的感觉。
3223,子,zǐ,名词,"特指有学问的男人,是男人的美称",夫子教书育人，深受学生们的尊敬和爱戴。
3224,子,zǐ,代词,古汉语中表示第二人称代词,以子之矛，攻子之盾，这句话蕴含着深刻的哲理。
3225,子,zǐ,名词,古代图书分类法（经史子集）中的第三类，指诸子百家著作,子部是古代文献分类中的一个重要部分。
3227,子,zǐ,名词,动物的卵,鱼子酱是一种非常昂贵的美食，备受高端餐厅青睐。
3228,子,zǐ,形容词,形容年幼、微小或柔嫩的事物,子猪在农场里欢快地奔跑，显得十分可爱。
3229,子,zǐ,形容词,比喻从属的、次要的,这家子公司在行业内有着举足轻重的地位。
3233,子,zǐ,名词,姓氏,子先生是我们学校新来的语文老师。
3234,子,zǐ,名词,封建五等爵位的第四等,子爵是欧洲贵族体系中的一个等级。
3235,子,zǐ,名词,地支的第一位,今年是鼠年，因为子对应十二生肖中的老鼠。
3311,学,xué,动词,获取知识或技能,他决定学技术，以便将来能找到一份好工作。
3312,学,xué,动词,模仿,他学杜鹃叫，学得很像。
3313,学,xué,名词,知识体系,治学需要严谨的态度和不懈的努力。
3314,学,xué,名词,学科领域,数学是一门非常重要的学科。
3315,学,xué,名词,教育机构,小学是孩子们接受基础教育的重要阶段。
3411,发,fā,动词,送出物品或信息,商家正在准备发货，确保顾客能尽快收到商品。
3412,发,fā,动词,射出物体,士兵们接到命令后立即发炮，成功击中了目标。
3413,发,fā,动词,出现新情况,春天来了，种子开始发芽，大地充满了生机。
3414,发,fā,动词,表示想法,他在学术期刊上发表了一篇重要的论文。
3415,发,fā,动词,扩大;开展,公司近年来发展迅速，业务范围不断扩大。
3416,发,fā,动词,因财富兴盛,通过努力经营，他们终于实现了发家致富的梦想。
3417,发,fā,动词,食物膨胀,面发了，可以开始蒸馒头了。
