rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
80484,1,抽肥补瘦,chōu féi bǔ shòu,,,,比喻取有余以补不足，使彼此均衡,抽肥补瘦均衡发展｜需要抽肥补瘦,to take from the rich to give to the poor
80488,1,牧笛,mù dí,,,名,牧童、牧人放牧时所吹的笛子,牧笛声很悠扬｜吹着牧笛放羊,herdsman's flute
80490,1,光杆儿,guāng gǎn er,,,名,比喻孤独的人,这里只有我光杆儿一人了。,person left alone
80490,2,光杆儿,guāng gǎn er,,,名,落尽了花叶的草木或没有叶子衬托的花朵,光杆儿牡丹,bare stem or flower
80491,1,揭老底,jiē lǎo dǐ,,,,【揭底】揭露内情,他喜欢揭老底,to expose secrets
80492,1,学生腔,xué sheng qiāng,,,名,书面词语较多、语句呆板稚嫩、缺少生活气息的言语,深入群众，克服学生腔。,bookish language
80499,1,义齿,yì chǐ,,,名,假牙,他戴了义齿｜义齿需要保养,Denture
80504,1,谢仪,xiè yí,,,名,为表示感谢而送的钱物,送上谢仪表心意｜谢仪已经收到,Gratuity
80507,1,公筷,gōng kuài,,,名,集体用餐时公用的筷子，用来把菜夹到碗碟内，而不送入嘴里,请使用公筷｜公筷很卫生,Serving chopsticks
80510,1,疏狂,shū kuáng,,,形,任性放荡，不受约束,疏狂不羁,Unrestrained and wild
80513,1,穷骨头,qióng gǔ tou,,,名,对穷人的蔑称（含有穷是命里注定的意思）,别叫我穷骨头｜穷骨头也要有志气,Poor wretch
80523,1,国富民安,guó fù mín ān,,,,国家富强，人民安定,国富民安是理想｜实现国富民安,The country is prosperous and the people are at peace
80525,1,攘夺,rǎng duó,,,动,抢夺；夺取,攘夺权柄,Seize
80526,1,褒词,bāo cí,,,名,褒扬、夸奖的话,评价要实事求是，不要滥施褒词。,Words of praise
80526,2,褒词,bāo cí,,,名,褒义词,这是褒词｜多用褒词鼓励,Complimentary term
80534,1,遗业,yí yè,,,名,前辈传给后人的基业,弘扬遗业,Legacy
80534,2,遗业,yí yè,,,名,遗留下来的产业、家业,继承父亲遗业｜遗业经营很好,Inherited property
80539,1,赔小心,péi xiǎo xīn,,,,处处谨慎待人，唯恐激起别人的反感或恼怒,他总赔小心｜对领导赔小心,Act with great caution to avoid offending
80541,1,叽叽嘎嘎,jī ji gā gā,,,拟声,模拟说笑声,大家叽叽嘎嘎地又说又笑。,Chirping and chattering
80548,1,风火墙,fēng huǒ qiáng,,,名,【防火墙】建筑物之间用来防止火灾蔓延的高墙,修建风火墙防火｜风火墙很有效,Firewall
80549,1,老本儿,lǎo běn er,,,名,开始经营时投入的本钱,炒股票赔了老本儿。,Original capital
80549,2,老本儿,lǎo běn er,,,名,比喻原有的基础、本领或功劳,吃老本儿,Original foundation or skill
80564,1,蔫头耷脑,niān tóu dā nǎo,,,,耷拉着脑袋。形容人情绪低落、无精打采的样子,这小伙子蔫头耷脑的，恐怕有不痛快的事吧?,Drooping head listlessly
80565,1,媚气,mèi qì,,,形,妩媚动人,这个姑娘挺媚气的。,Charming and attractive
80568,1,治装,zhì zhuāng,,,动,置办行装,治装远行,Prepare for a journey
80575,1,察勘,chá kān,,,动,实地考察,察勘地形,Survey
80577,1,点卯,diǎn mǎo,,,动,旧时官衙在卯时（早晨5—7点）查点到班人数；现指到点上班，敷衍差事,杜绝了点卯应景的消极现象。,Roll call at dawn
80578,1,麦糠,mài kāng,,,名,紧贴在麦粒外面的皮儿，一般在脱粒时就被分离出来。,麦糠可以喂牲口｜麦糠用处很多,Wheat bran
80594,1,费手脚,fèi shǒu jiǎo,,,,费事,这事很费手脚｜费手脚也要做,Troublesome
80595,1,皱痕,zhòu hén,,,名,褶皱的痕迹,皱痕累累,Wrinkle mark
80598,1,观音土,guān yīn tǔ,,,名,一种白色黏土。旧社会一些灾民用来充饥，常因不能消化、无法排泄而致死,灾民吃观音土｜观音土不能多吃,Edible white clay
80603,1,邪门儿,xié mén er,,,形,反常；不正常,他今天真邪门儿，一会儿哭，一会儿笑。,Strange; abnormal
80607,1,钉锤,dīng chuí,,,名,小型锤子，锤头柱形，用于钉（dìng）钉子；有的锤尾扁平或稍弯，中间有窄缝，用于起钉子。,用钉锤钉钉子｜钉锤很实用,Claw hammer
80610,1,抖包袱,dǒu bāo fu,,,,指相声等曲艺中，把经过层层铺垫形成的笑料像抖落包袱一样一下子亮出来，引人发笑,相声演员抖包袱｜抖包袱引人大笑,Deliver the punchline
80611,1,柿霜,shì shuāng,,,名,去皮的柿子晾干后，表面形成的白色霜状物。味甜，可以做药材,柿霜可以入药｜柿霜很甜,Persimmon frost
80619,1,运动袜,yùn dòng wà,,,名,为参加体育运动的人员制作的袜子；也泛指类似样式的袜子,穿运动袜跑步｜运动袜很舒适,Sports socks
80624,1,凝固剂,níng gù jì,,,名,能促使晶体物质由液体凝结为固体的物质。如制豆腐用的石膏,豆腐用凝固剂｜凝固剂很重要,Coagulant
80627,1,肉馅儿,ròu xiàn er,,,名,以细碎的肉为主制成的馅儿,肉馅儿包子,Meat filling
80629,1,叩打,kòu dǎ,,,动,敲打,用力叩打铁门,Knock
80632,1,绊马索,bàn mǎ suǒ,,,名,为了绊倒对方人马而暗设的绳索,设下绊马索｜绊马索很有效,Trip rope for horses
80648,1,唱白脸,chàng bái liǎn,,,,比喻在解决矛盾冲突中，充当严厉或不受欢迎的人（白脸：古典戏曲中象征奸邪的脸谱。跟“唱红脸”相对）,他总唱白脸｜一个唱白脸一个唱红脸,Play the villain
80662,1,电烤炉,diàn kǎo lú,,,名,利用电热元件发出的辐射热烤制食品的炉形炊具,用电烤炉烤肉｜电烤炉很方便,Electric oven
80663,1,八字眉,bā zì méi,,,名,两边眉梢各向下斜呈“八”字形的眉毛,他长着八字眉｜八字眉很特别,Slanted eyebrows shaped like the character 八
80672,1,熟石灰,shú shí huī,,,名,生石灰与水反应生成的无机化合物，白色粉末，是常用建筑材料，也可用作杀菌剂和化工原料等。,工地上堆放着大量熟石灰。｜熟石灰常用于消毒杀菌。,Slaked lime
80677,1,牙缸,yá gāng,,,名,用来刷牙漱口的杯子,牙缸在洗手间｜新买的牙缸,Tooth mug
80683,1,卫生衣,wèi shēng yī,,,名,一种用单面绒针织棉料制成的上衣,穿上卫生衣｜卫生衣很暖和,Long-sleeved thermal undershirt
80691,1,重活儿,zhòng huó er,,,名,繁重费力的活计,体弱多病，干不了重活儿。,Heavy work
80694,1,计程表,jì chéng biǎo,,,名,指示运行里程的仪表，安装在汽车、轮船上,看计程表读数｜计程表坏了,Odometer
80699,1,上中农,shàng zhōng nóng,,,名,农村阶级划分中指占有土地和生产工具，生活来源主要依靠劳动收入并有轻微剥削的农民。是中农中一个较富裕的阶层,他是上中农｜上中农生活较好,Upper-middle peasant
80700,1,前滚翻,qián gǔn fān,,,名,一种体操动作。屈体，两手及头顶、背部依次着地，全身向前滚动翻转,学会前滚翻｜前滚翻是基础动作,Forward roll
80704,1,签到簿,qiān dào bù,,,名,签到用的登记簿,在签到簿签名｜签到簿在这里,Attendance register
80709,1,连裆裤,lián dāng kù,,,名,裆不开口的裤子（跟“开裆裤”相区别）,穿连裆裤的孩子｜连裆裤更保暖,Pants without open crotch
80710,1,吊胃口,diào wèi kǒu,,,,设法引起人们的食欲；比喻设法使人产生兴趣、愿望,别总吊胃口，快告诉我答案｜这部电影预告片很会吊胃口,Whet someone's appetite
80712,1,够交情,gòu jiāo qing,,,,够朋友,他这人够交情，有事真帮忙｜咱俩这交情够交情了吧,Be a true friend
80712,2,够交情,gòu jiāo qing,,,,指交情达到一定深度,他俩无话不谈，真是够交情。,Have a deep friendship
80715,1,蝙蝠衫,biān fú shān,,,名,一种套衫。尺寸宽松，腋下肥大，略像蝙蝠，故称,这件蝙蝠衫穿起来很舒适｜八十年代流行穿蝙蝠衫,Batwing sleeve shirt
80718,1,常套,cháng tào,,,名,沿袭很久的模式（多指办法、格式等）,这篇文章不要按常套来写。,Conventional pattern
80722,1,四脚蛇,sì jiǎo shé,,,名,蜥蜴的俗称,草丛里有只四脚蛇｜孩子捉到一只四脚蛇,Lizard
80738,1,讳忌,huì jì,,,动,忌讳,当地讳忌说“死”字｜老人多有讳忌,Taboo
80740,1,马海毛,mǎ hǎi máo,,,名,安哥拉山羊毛。弹性较大，有光泽，是织造长毛绒织物的优良原料,这件毛衣是马海毛的｜马海毛围巾很暖和,Mohair
80740,2,马海毛,mǎ hǎi máo,,,名,用马海毛纺成的或混纺的毛线,她买了团马海毛织围巾｜这件马海毛毛衣不扎皮肤,Mohair yarn
80745,1,穿堂门,chuān táng mén,,,名,穿堂的前后门,穿堂门一直敞开着｜他推开穿堂门走了出去,Pass-through hall door
80745,2,穿堂门,chuān táng mén,,,名,可穿行的小巷入口处的门,巷口的穿堂门很窄｜穿过穿堂门就是大街,Alley gate
80748,1,偷汉子,tōu hàn zi,,,,和男人偷情,村里传言她偷汉子｜偷汉子是伤风败俗的事,Commit adultery with a man
80750,1,白干儿,bái gān er,,,名,白酒,他爱喝白干儿｜这瓶白干儿很烈,White liquor
80753,1,摆谱儿,bǎi pǔ er,,,动,摆阔,过生日搞那么大排场，纯粹是摆谱儿。,Show off one's wealth
80753,2,摆谱儿,bǎi pǔ er,,,动,摆架子,多大的官也不能在百姓面前摆谱儿。,Put on airs
80755,1,捅娄子,tǒng lóu zi,,,,闯祸；惹麻烦,孩子又捅娄子了｜说话小心别捅娄子,Make a blunder
80764,1,粗活儿,cū huó er,,,名,指笨重费力、技术要求不高的工作,干起了搬运木材的粗活儿。,Unskilled manual labor
80767,1,闸刀,zhá dāo,,,名,低压供电线路上的一种电源开关，可以连接或断开线路,电工拉下了闸刀｜闸刀开关很老旧,Switch blade
80792,1,缝穷,féng qióng,,,动,指贫寒妇女替人缝补衣服维持生计,靠缝穷度日,Mend clothes for a living
80795,1,压场,yā chǎng,,,动,把某出好戏或某个精彩节目安排在一场演出的最后,把好戏放在后面压场｜压场节目,Hold the stage as the final act
80795,2,压场,yā chǎng,,,动,控制场面,由资深演员压场,Control the situation
80799,1,窑坑,yáo kēng,,,名,为取土烧制砖瓦挖成的坑,砖厂旁有个大窑坑｜窑坑里积满了水,Clay pit
80806,1,妄取,wàng qǔ,,,动,未经批准或允许而擅自取用,非分之物不敢妄取。,Take without permission
80809,1,泥子,nì zi,,,名,用来涂抹木器、铁器等的缝隙或低凹处，使其表面平整的泥状物。多用石膏粉等和（huò）上骨胶、桐油、清漆等黏合剂制成,门窗安装玻璃后，要用泥子泥（nì）缝。,Putty
80812,1,日戳,rì chuō,,,名,标明年月日的印章,文件盖了日戳｜日戳上的日期很清晰,Date stamp
80814,1,简古,jiǎn gǔ,,,形,简略古奥，不易理解,文字简古，晦涩难解。,Simple and archaic
80818,1,粗莽,cū mǎng,,,形,粗野莽撞,粗莽好斗,Rude and rash
80822,1,笑窝,xiào wō,,,名,酒窝,她笑起来有对笑窝｜孩子的笑窝真可爱,Dimple
80831,1,歇班,xiē bān,,,动,按照规定不上班,我今天歇班,Be off duty
80832,1,拜请,bài qǐng,,,动,敬词，邀请,拜请您担任顾问,Invite respectfully
80842,1,砧子,zhēn zi,,,名,砧,铁匠敲打着砧子｜砧子上放着烧红的铁,Anvil
80844,1,婉词,wǎn cí,,,名,为避免不吉利、不文雅而使用的曲折含蓄的词语。如人死说“走了”,“走了”是死亡的婉词｜用婉词避免尴尬,Euphemism
80845,1,内眷,nèi juàn,,,名,女眷,内眷不便见客｜家中内眷都在后院,Female family members
80848,1,刁顽,diāo wán,,,形,奸猾顽固,刁顽的敌人,Cunning and stubborn
80851,1,佣钱,yòng qián,,,名,佣金,他赚了不少佣钱｜这笔佣钱很可观,Commission
80853,1,凶人,xiōng rén,,,名,恶人；凶狠恶毒的人,凶人凶相｜一个满脸横肉的凶人。,Evil person
80854,1,日晕,rì yùn,,,名,日光遇到云层中的冰晶，被折射而在太阳周围形成的彩色光环，常是天气变化的预兆,日晕而雨，月晕而风。,Solar halo
80866,1,落锁,luò suǒ,,,动,用锁锁住,大门23时落锁,Lock up
80870,1,鞋刷,xié shuā,,,名,洗鞋或擦鞋用的刷子,他用鞋刷擦皮鞋｜新买了个鞋刷,Shoe brush
80874,1,冰砖,bīng zhuān,,,名,用水、牛奶、果汁、糖等混合搅拌后冻成的砖形冷食,孩子爱吃冰砖｜冰砖是夏季冷饮,Ice cream brick
80878,1,血痂,xuè jiā,,,名,流出的血在伤口表面凝成的块状物,伤口结了个血痂｜别抠血痂,Scab
80880,1,暗疾,àn jí,,,名,不好意思说出口的疾病,江湖游医常以专治各种暗疾来骗钱。,Unmentionable disease
80881,1,晤见,wù jiàn,,,动,相见；会见,晤见对方代表,Meet
80887,1,籽实,zǐ shí,,,名,稻、麦等作物穗上的种子；豆类作物豆荚中的豆粒,籽实饱满丰收｜收割籽实,Grain
80898,1,娇娆,jiāo ráo,,,形,娇艳妩媚,娇娆多姿,Delicate and charming
80911,1,板障,bǎn zhàng,,,名,练习翻越障碍物的木制设施，形状像板壁,新兵练习翻板障｜板障有两米高,Wooden obstacle
80912,1,花芽,huā yá,,,名,能发育成花朵的幼芽,梅树上吐出了许多花芽。,Flower bud
80920,1,翻造,fān zào,,,动,翻盖,平房翻造成大厦,Rebuild
80920,2,翻造,fān zào,,,动,翻新仿造,这表壳是翻造的,Reproduce
80927,1,吐絮,tǔ xù,,,动,棉桃成熟裂开，露出丝絮,炸蕾吐絮的棉花,Open bolls
80927,2,吐絮,tǔ xù,,,动,柳树、芦苇等开花后结籽，籽上带有絮状白色茸毛,垂柳吐絮,Willow catkins appear
80931,1,闪眼,shǎn yǎn,,,形,耀眼,雪后的阳光格外闪眼。,Dazzling
80942,1,梭镖,suō biāo,,,名,长柄一头装有尖头两刃刀的武器,民兵手持梭镖｜梭镖很锋利,Spear
80980,1,半袖,bàn xiù,,,形,衣袖长度在肘部或肘部以上的,半袖衫｜半袖连衣裙,Short sleeve
80984,1,猎具,liè jù,,,名,打猎用的工具，如枪、刀、箭等,他整理好猎具｜猎具包括弓箭,Hunting equipment
80992,1,明镜高悬,míng jìng gāo xuán,,,,晋·葛洪《西京杂记》卷三中说，秦始皇有一面方镜，能照人心胆而知其善恶。后用“明镜高悬”比喻官吏办案公正严明,包公办案明镜高悬｜希望法官明镜高悬,A just trial by an honest official
