cihui,pinyin,rank
发生,fa1'sheng1,154
必须,bi4'xu1,155
只有,zhi3'you3,156
外,wai4,157
要求,yao1'qiu2,158
全,quan2,159
发现,fa1'xian4,160
进行,jin4'xing2,161
特别,te4'bie2,162
因,yin1,163
岁,sui4,164
得到,de2'dao4,165
件,jian4,166
文化,wen2'hua4,167
分,fen1,168
便,bian4,169
同志,tong2'zhi4,170
发展,fa1'zhan3,171
即,ji2,172
日本,ri4'ben3,173
总,zong3,174
因此,yin1'ci3,175
对于,dui4'yu2,176
领导,ling3'dao3,177
带,dai4,178
既,ji4,179
时候,shi2'hou4,180
钱,qian2,181
自,zi4,182
政府,zheng4'fu3,183
吃,chi1,184
非,fei1,185
决定,jue2'ding4,186
进,jin4,187
还是,hai2'shi,188
受,shou4,189
国,guo2,190
应该,ying1'gai1,191
近,jin4,192
美,mei3,193
政治,zheng4'zhi4,194
话,hua4,195
公司,gong1'si1,196
干部,gan4'bu4,197
出现,chu1'xian4,198
开,kai1,199
一切,yi1'qie4,200
研究,yan2'jiu1,201
认识,ren4'shi,202
写,xie3,203
十分,shi2'fen1,204
十,shi2,205
站,zhan4,206
之间,zhi1'jian1,207
问,wen4,208
希望,xi1'wang4,209
快,kuai4,210
虽然,sui1'ran2,211
相,xiang1,212
美国,mei3'guo2,213
知道,zhi1'dao4,214
讲,jiang3,215
大家,da4'jia1,216
学校,xue2'xiao4,217
组织,zu3'zhi1,218
见,jian4,219
由于,you2'yu2,220
正在,zheng4'zai4,221
法,fa3,222
表示,biao3'shi4,223
一样,yi1'yang4,224
活动,huo2'dong4,225
如何,ru2'he2,226
教育,jiao4'yu4,227
书,shu1,228
据,ju4,229
城市,cheng2'shi4,230
道,dao4,231
艺术,yi4'shu4,232
经济,jing1'ji4,233
以及,yi3'ji2,234
部,bu4,235
影响,ying3'xiang3,236
太,tai4,237
其中,qi2'zhong1,238
学,xue2,239
先生,xian1'sheng1,240
完全,wan2'quan2,241
连,lian2,242
主要,zhu3'yao4,243
继续,ji4'xu4,244
头,tou2,245
革命,ge2'ming4,246
之后,zhi1'hou4,247
参加,can1'jia1,248
能够,neng2'gou4,249
住,zhu4,250
上海,shang4'hai3,251
经过,jing1'guo4,252
非常,fei1'chang2,253
低,di1,254
甚至,shen4'zhi4,255
听,ting1,256
先,xian1,257
一直,yi1'zhi2,258
学习,xue2'xi2,259
仍,reng2,260
办,ban4,261
所以,suo3'yi3,262
代表,dai4'biao3,263
变,bian4,264
最后,zui4'hou4,265
一起,yi1'qi3,266
万,wan4,267
所有,suo3'you3,268
那么,na4'me,269
心,xin1,270
越,yue4,271
较,jiao4,272
办法,ban4'fa3,273
路,lu4,274
有些,you3'xie1,275
未,wei4,276
通过,tong1'guo4,277
找,zhao3,278
按,an4,279
拿,na2,280
解决,jie3'jue2,281
一般,yi1'ban1,282
另,ling4,283
经,jing1,284
半,ban4,285
强,qiang2,286
或者,huo4'zhe3,287
时代,shi2'dai4,288
手,shou3,289
作品,zuo4'pin3,290
不断,bu4'duan4,291
以后,yi3'hou4,292
关于,guan1'yu2,293
青年,qing1'nian2,294
各种,ge4'zhong3,295
真,zhen1,296
其他,qi2'ta1,297
农民,nong2'min2,298
那些,na4'xie1,299
余,yu2,300
段,duan4,301
有的,you3'de,302
买,mai3,303
根本,gen1'ben3,304
县,xian4,305
作者,zuo4'zhe3,306
者,zhe3,307
请,qing3,308
叫,jiao4,309
感到,gan3'dao4,310
怎么,zen3'me,311
任何,ren4'he2,312
六,liu4,313
表现,biao3'xian4,314
反,fan3,315
存在,cun2'zai4,316
然而,ran2'er2,317
准备,zhun3'bei4,318
送,song4,319
约,yue1,320
比较,bi3'jiao4,321
书记,shu1'ji4,322
爱,ai4,323
单位,dan1'wei4,324
群众,qun2'zhong4,325
应当,ying1'dang1,326
王,wang2,327
早,zao3,328
女,nv3,329
门,men2,330
个人,ge4'ren2,331
座,zuo4,332
全国,quan2'guo2,333
意义,yi4'yi4,334
花,hua1,335
条件,tiao2'jian4,336
环境,huan2'jing4,337
了解,liao3'jie3,338
搞,gao3,339
力量,li4'liang,340
不仅,bu4'jin3,341
目前,mu4'qian2,342
经验,jing1'yan4,343
产生,chan3'sheng1,344
真正,zhen1'zheng4,345
回,hui2,346
队,dui4,347
有关,you3'guan1,348
字,zi4,349
会议,hui4'yi4,350
生命,sheng1'ming4,351
今年,jin1'nian2,352
努力,nu3'li4,353
靠,kao4,354
八,ba1,355
市,shi4,356
类,lei4,357
共,gong4,358
意见,yi4'jian4,359
死,si3,360
民族,min2'zu2,361
块,kuai4,362
只要,zhi3'yao4,363
文学,wen2'xue2,364
成功,cheng2'gong1,365
变化,bian4'hua4,366
句,ju4,367
管,guan3,368
你们,ni3'men,369
指,zhi3,370
地区,di4'qu1,371
方,fang1,372
和,he2,373
项,xiang4,374
注意,zhu4'yi4,375
当然,dang1'ran2,376
达,da2,377
面,mian4,378
坐,zuo4,379
家庭,jia1'ting2,380
原因,yuan2'yin1,381
进入,jin4'ru4,382
病,bing4,383
介绍,jie4'shao4,384
下来,xia4'lai2,385
事情,shi4'qing,386
方式,fang1'shi4,387
首,shou3,388
计划,ji4'hua4,389
人类,ren2'lei4,390
报告,bao4'gao4,391
世纪,shi4'ji4,392
方法,fang1'fa3,393
入,ru4,394
信,xin4,395
化,hua4,396
步,bu4,397
生,sheng1,398
声,sheng1,399
图,tu2,400
电话,dian4'hua4,401
能力,neng2'li4,402
片,pian4,403
作用,zuo4'yong4,404
台,tai2,405
如此,ru2'ci3,406
困难,kun4'nan,407
多少,duo1'shao3,408
打,da3,409
为什么,wei4'shen2'me,410
随着,sui2'zhe,411
谈,tan2,412
支,zhi1,413
村,cun1,414
米,mi3,415
农村,nong2'cun1,416
具有,ju4'you3,417
现代,xian4'dai4,418
全部,quan2'bu4,419
运动,yun4'dong4,420
原,yuan2,421
内容,nei4'rong2,422
帮助,bang1'zhu4,423
文艺,wen2'yi4,424
放,fang4,425
主任,zhu3'ren4,426
别,bie2,427
事业,shi4'ye4,428
汽车,qi4'che1,429
李,li3,430
技术,ji4'shu4,431
中央,zhong1'yang1,432
口,kou3,433
跟,gen1,434
极,ji2,435
记者,ji4'zhe3,436
只是,zhi3'shi4,437
报,bao4,438
人员,ren2'yuan2,439
以来,yi3'lai2,440
边,bian1,441
觉得,jue2'de,442
您,nin2,443
双,shuang1,444
左右,zuo3'you4,445
建设,jian4'she4,446
利用,li4'yong4,447
称,cheng1,448
怎样,zen3'yang4,449
行为,xing2'wei2,450
于是,yu2'shi4,451
朋友,peng2'you3,452
正是,zheng4'shi4,453
受到,shou4'dao4,454
人物,ren2'wu4,455
深,shen1,456
接受,jie1'shou4,457
来到,lai2'dao4,458
百,bai3,459
这么,zhe4'me,460
山,shan1,461
电,dian4,462
发表,fa1'biao3,463
些,xie1,464
原来,yuan2'lai2,465
生产,sheng1'chan3,466
往,wang3,467
大学,da4'xue2,468
认真,ren4'zhen1,469
过程,guo4'cheng2,470
有人,you3'ren2,471
风,feng1,472
创造,chuang4'zao4,473
抓,zhua1,474
增加,zeng1'jia1,475
不过,bu4'guo4,476
以上,yi3'shang4,477
七,qi1,478
它们,ta1'men,479
南,nan2,480
无法,wu2'fa3,481
时期,shi2'qi1,482
更加,geng4'jia1,483
传统,chuan2'tong3,484
支持,zhi1'chi2,485
根据,gen1'ju4,486
市场,shi4'chang3,487
包括,bao1'kuo4,488
直接,zhi2'jie1,489
份,fen4,490
机会,ji1'hui4,491
政策,zheng4'ce4,492
科学,ke1'xue2,493
几乎,ji1'hu1,494
提高,ti2'gao1,495
批,pi1,496
金,jin1,497
坚持,jian1'chi2,498
可是,ke3'shi4,499
实际,shi2'ji4,500
完成,wan2'cheng2,501
引起,yin3'qi3,502
代,dai4,503
责任,ze2'ren4,504
后来,hou4'lai2,505
劳动,lao2'dong4,506
任务,ren4'wu,507
知识,zhi1'shi,508
周,zhou1,509
部队,bu4'dui4,510
底,di3,511
部分,bu4'fen,512
母亲,mu3'qin1,513
首先,shou3'xian1,514
期,qi1,515
保护,bao3'hu4,516
理论,li3'lun4,517
形式,xing2'shi4,518
医院,yi1'yuan4,519
不可,bu4'ke3,520
云,yun2,521
行动,xing2'dong4,522
仍然,reng2'ran2,523
处理,chu3'li3,524
远,yuan3,525
去年,qu4'nian2,526
形成,xing2'cheng2,527
跑,pao3,528
改变,gai3'bian4,529
那样,na4'yang4,530
香港,xiang1'gang3,531
相信,xiang1'xin4,532
九,jiu3,533
中,zhong1,534
老师,lao3'shi1,535
新闻,xin1'wen2,536
红,hong2,537
仅,jin3,538
地位,di4'wei4,539
除了,chu2'le,540
企业,qi3'ye4,541
刚,gang1,542
加,jia1,543
终于,zhong1'yu2,544
主席,zhu3'xi2,545
严重,yan2'zhong4,546
容易,rong2'yi4,547
法律,fa3'lv4,548
建立,jian4'li4,549
还,hai2,550
其实,qi2'shi2,551
服务,fu2'wu4,552
意识,yi4'shi2,553
自由,zi4'you2,554
实现,shi2'xian4,555
着,zhe,556
那,na4,557
光,guang1,558
达到,da2'dao4,559
然后,ran2'hou4,560
战争,zhan4'zheng1,561
态度,tai4'du,562
改革,gai3'ge2,563
不是,bu4'shi4,564
现实,xian4'shi2,565
种,zhong3,566
说明,shuo1'ming2,567
使用,shi3'yong4,568
初,chu1,569
回答,hui2'da2,570
马,ma3,571
共同,gong4'tong2,572
卖,mai4,573
规定,gui1'ding4,574
一下,yi1'xia4,575
管理,guan3'li3,576
越来越,yue4'lai2'yue4,577
如今,ru2'jin1,578
社会主义,she4'hui4'zhu3'yi4,579
年代,nian2'dai4,580
变成,bian4'cheng2,581
中心,zhong1'xin1,582
北,bei3,583
东,dong1,584
父亲,fu4'qin1,585
国际,guo2'ji4,586
高兴,gao1'xing4,587
理解,li3'jie3,588
保持,bao3'chi2,589
了,le,590
当,dang1,591
选择,xuan3'ze2,592
某,mou3,593
心理,xin1'li3,594
尽管,jin3'guan3,595
气,qi4,596
且,qie3,597
斗争,dou4'zheng1,598
反对,fan3'dui4,599
创作,chuang4'zuo4,600
虽,sui1,601
造成,zao4'cheng2,602
是否,shi4'fou3,603
下去,xia4'qu4,604
总是,zong3'shi4,605
派,pai4,606
获得,huo4'de2,607
联系,lian2'xi4,608
之一,zhi1'yi1,609
也是,ye3'shi4,610
城,cheng2,611
所谓,suo3'wei4,612
安排,an1'pai2,613
目的,mu4'di4,614
伟大,wei3'da4,615
工人,gong1'ren2,616
制度,zhi4'du4,617
精神,jing1'shen2,618
小时,xiao3'shi2,619
似乎,si4'hu1,620
篇,pian1,621
制,zhi4,622
没,mei2,623
下午,xia4'wu3,624
算,suan4,625
乱,luan4,626
谁,shei2,627
黑,hei1,628
尤其,you2'qi2,629
老人,lao3'ren2,630
部门,bu4'men2,631
儿,er2,632
水平,shui3'ping2,633
按照,an4'zhao4,634
机关,ji1'guan1,635
心里,xin1'li3,636
民,min2,637
离开,li2'kai1,638
身体,shen1'ti3,639
层,ceng2,640
笑,xiao4,641
吗,ma,642
面前,mian4'qian2,643
基础,ji1'chu3,644
树,shu4,645
别人,bie2'ren,646
海,hai3,647
常,chang2,648
以前,yi3'qian2,649
军,jun1,650
读,du2,651
性,xing4,652
价值,jia4'zhi2,653
套,tao4,654
干,gan4,655
结束,jie2'shu4,656
妇女,fu4'nv3,657
教授,jiao4'shou4,658
军事,jun1'shi4,659
基本,ji1'ben3,660
儿子,er2'zi,661
西,xi1,662
除,chu2,663
区,qu1,664
改,gai3,665
并且,bing4'qie3,666
那里,na4'li,667
均,jun1,668
画,hua4,669
建,jian4,670
满,man3,671
统一,tong3'yi1,672
重新,chong2'xin1,673
方向,fang1'xiang4,674
活,huo2,675
子,zi3,676
往往,wang3'wang3,677
考虑,kao3'lv4,678
重大,zhong4'da4,679
收,shou1,680
旧,jiu4,681
之中,zhi1'zhong1,682
人才,ren2'cai2,683
总统,zong3'tong3,684
感觉,gan3'jue2,685
清,qing1,686
具体,ju4'ti3,687
式,shi4,688
文章,wen2'zhang1,689
现象,xian4'xiang4,690
立即,li4'ji2,691
材料,cai2'liao4,692
不得,bu4'de2,693
定,ding4,694
证明,zheng4'ming2,695
热,re4,696
年青,nian2'qing1,697
年轻,nian2'qing1,697
接,jie1,698
事实,shi4'shi2,699
白,bai2,700
分别,fen1'bie2,701
矛盾,mao2'dun4,702
不再,bu4'zai4,703
积极,ji1'ji2,704
语言,yu3'yan2,705
千,qian1,706
巨大,ju4'da4,707
节,jie2,708
安全,an1'quan2,709
提供,ti2'gong1,710
讨论,tao3'lun4,711
取得,qu3'de2,712
始终,shi3'zhong1,713
程度,cheng2'du4,714
留,liu2,715
分析,fen1'xi1,716
消息,xiao1'xi1,717
检查,jian3'cha2,718
宣传,xuan1'chuan2,719
世界,shi4'jie4,720
相当,xiang1'dang1,721
好,hao3,722
英国,ying1'guo2,723
合作,he2'zuo4,724
发出,fa1'chu1,725
电影,dian4'ying3,726
另外,ling4'wai4,727
身上,shen1'shang,728
线,xian4,729
肯定,ken3'ding4,730
举行,ju3'xing2,731
目标,mu4'biao1,732
反映,fan3'ying4,733
量,liang2,734
笔,bi3,735
医生,yi1'sheng1,736
成立,cheng2'li4,737
交,jiao1,738
充分,chong1'fen4,739
林,lin2,740
突然,tu1'ran2,741
工程,gong1'cheng2,742
户,hu4,743
一边,yi1'bian1,744
永远,yong3'yuan3,745
标准,biao1'zhun3,746
原则,yuan2'ze2,747
同样,tong2'yang4,748
控制,kong4'zhi4,749
队伍,dui4'wu,750
结构,jie2'gou4,751
晚上,wan3'shang,752
指出,zhi3'chu1,753
调查,diao4'cha2,754
立,li4,755
农业,nong2'ye4,756
家里,jia1'li3,757
难,nan2,758
清楚,qing1'chu3,759
采取,cai3'qu3,760
群,qun2,761
集中,ji2'zhong1,762
进一步,jin4'yi1'bu4,763
明显,ming2'xian3,764
粮食,liang2'shi,765
省,sheng3,766
结合,jie2'he2,767
保证,bao3'zheng4,768
团,tuan2,769
过,guo4,770
喜欢,xi3'huan1,771
动,dong4,772
最近,zui4'jin4,773
穿,chuan1,774
文,wen2,775
收入,shou1'ru4,776
求,qiu2,777
实行,shi2'xing2,778
提,ti2,779
及,ji2,780
面对,mian4'dui4,781
愿意,yuan4'yi4,782
厂,chang3,783
系统,xi4'tong3,784
形象,xing2'xiang4,785
竟,jing4,786
晚,wan3,787
短,duan3,788
国内,guo2'nei4,789
离,li2,790
人生,ren2'sheng1,791
权,quan2,792
辆,liang4,793
股,gu3,794
充满,chong1'man3,795
论,lun4,796
负责,fu4'ze2,797
感情,gan3'qing2,798
利益,li4'yi4,799
等等,deng3'deng3,800
和平,he2'ping2,801
声音,sheng1'yin1,802
观念,guan1'nian4,803
经常,jing1'chang2,804
敢,gan3,805
关心,guan1'xin1,806
解释,jie3'shi4,807
道德,dao4'de2,808
愿,yuan4,809
还有,hai2'you3,810
情,qing2,811
同学,tong2'xue2,812
进步,jin4'bu4,813
力,li4,814
她们,ta1'men,815
单,dan1,816
经营,jing1'ying2,817
作家,zuo4'jia1,818
根,gen1,819
占,zhan4,820
教师,jiao4'shi1,821
记,ji4,822
回来,hui2'lai2,823
场,chang3,824
出版,chu1'ban3,825
组,zu3,826
退,tui4,827
也许,ye3'xu3,828
重,zhong4,829
加强,jia1'qiang2,830
办公室,ban4'gong1'shi4,831
健康,jian4'kang1,832
换,huan4,833
道路,dao4'lu4,834
完,wan2,835
迅速,xun4'su4,836
属,shu3,837
正确,zheng4'que4,838
产品,chan3'pin3,839
信息,xin4'xi1,840
深入,shen1'ru4,841
胜利,sheng4'li4,842
拉,la1,843
发挥,fa1'hui1,844
读者,du2'zhe3,845
眼睛,yan3'jing1,846
船,chuan2,847
简单,jian3'dan1,848
神,shen2,849
飞,fei1,850
台湾,tai2'wan1,851
留下,liu2'xia4,852
怕,pa4,853
只,zhi3,854
忙,mang2,855
女子,nv3'zi3,856
排,pai2,857
偏,pian1,858
曾经,ceng2'jing1,859
项目,xiang4'mu4,860
专家,zhuan1'jia1,861
重视,zhong4'shi4,862
来自,lai2'zi4,863
设计,she4'ji4,864
黄,huang2,865
丰富,feng1'fu4,866
理想,li3'xiang3,867
流,liu2,868
公,gong1,869
双方,shuang1'fang1,870
言,yan2,871
刘,liu2,872
欢迎,huan1'ying2,873
恢复,hui1'fu4,874
院,yuan4,875
唱,chang4,876
不足,bu4'zu2,877
属于,shu3'yu2,878
工业,gong1'ye4,879
音乐,yin1'yue4,880
主,zhu3,881
满足,man3'zu2,882
掉,diao4,883
包,bao1,884
战,zhan4,885
质量,zhi4'liang4,886
自然,zi4'ran2,887
抓住,zhua1'zhu4,888
帮,bang1,889
日子,ri4'zi,890
期间,qi1'jian1,891
投资,tou2'zi1,892
法国,fa3'guo2,893
过去,guo4'qu4,894
紧张,jin3'zhang1,895
眼,yan3,896
夜,ye4,897
平,ping2,898
比赛,bi3'sai4,899
阶段,jie1'duan4,900
开发,kai1'fa1,901
范围,fan4'wei2,902
关,guan1,903
分钟,fen1'zhong1,904
不知,bu4'zhi1,905
大会,da4'hui4,906
总理,zong3'li3,907
江,jiang1,908
楼,lou2,909
全面,quan2'mian4,910
未来,wei4'lai2,911
京,jing1,912
河,he2,913
人口,ren2'kou3,914
扩大,kuo4'da4,915
即使,ji2'shi3,916
军队,jun1'dui4,917
难以,nan2'yi3,918
外国,wai4'guo2,919
先进,xian1'jin4,920
银行,yin2'hang2,921
事件,shi4'jian4,922
热情,re4'qing2,923
常常,chang2'chang2,924
强烈,qiang2'lie4,925
必要,bi4'yao4,926
文明,wen2'ming2,927
手段,shou3'duan4,928
级,ji2,929
亩,mu3,930
建议,jian4'yi4,931
镇,zhen4,932
女儿,nv3'er2,933
特殊,te4'shu1,934
装,zhuang1,935
陈,chen2,936
复杂,fu4'za2,937
战士,zhan4'shi4,938
作为,zuo4'wei2,939
形势,xing2'shi4,940
无论,wu2'lun4,941
机构,ji1'gou4,942
执行,zhi2'xing2,943
讲话,jiang3'hua4,944
以为,yi3'wei2,945
若,ruo4,946
乡,xiang1,947
同意,tong2'yi4,948
分子,fen4'zi3,949
望,wang4,950
摆,bai3,951
实践,shi2'jian4,952
科技,ke1'ji4,953
建筑,jian4'zhu4,954
尚,shang4,955
语,yu3,956
之前,zhi1'qian2,957
广大,guang3'da4,958
届,jie4,959
那个,na4'ge,960
班,ban1,961
长期,chang2'qi1,962
观,guan1,963
专门,zhuan1'men2,964
取,qu3,965
大量,da4'liang4,966
改造,gai3'zao4,967
土,tu3,968
民主,min2'zhu3,969
成绩,cheng2'ji4,970
随,sui2,971
父母,fu4'mu3,972
倍,bei4,973
史,shi3,974
培养,pei2'yang3,975
哪里,na3'li,976
杯,bei1,977
强调,qiang2'diao4,978
相互,xiang1'hu4,979
毛,mao2,980
保,bao3,981
超过,chao1'guo4,982
正式,zheng4'shi4,983
著名,zhu4'ming2,984
诗,shi1,985
章,zhang1,986
批评,pi1'ping2,987
稳定,wen3'ding4,988
明白,ming2'bai2,989
停,ting2,990
出口,chu1'kou3,991
重点,zhong4'dian3,992
朝,chao2,993
资金,zi1'jin1,994
指导,zhi3'dao3,995
英,ying1,996
状态,zhuang4'tai4,997
祖国,zu3'guo2,998
不但,bu4'dan4,999
借,jie4,1000
报道,bao4'dao4,1001
药,yao4,1002
开展,kai1'zhan3,1003
投入,tou2'ru4,1004
身,shen1,1005
高度,gao1'du4,1006
直,zhi2,1007
独立,du2'li4,1008
电视,dian4'shi4,1009
妈妈,ma1'ma1,1010
职工,zhi2'gong1,1011
男,nan2,1012
增长,zeng1'zhang3,1013
各地,ge4'di4,1014
费,fei4,1015
有时,you3'shi2,1016
深刻,shen1'ke4,1017
以下,yi3'xia4,1018
刚刚,gang1'gang1,1019
主张,zhu3'zhang1,1020
教,jiao4,1021
明确,ming2'que4,1022
习惯,xi2'guan4,1023
调整,tiao2'zheng3,1024
交通,jiao1'tong1,1025
因素,yin1'su4,1026
养,yang3,1027
行政,xing2'zheng4,1028
挂,gua4,1029
追求,zhui1'qiu2,1030
物,wu4,1031
关键,guan1'jian4,1032
措施,cuo4'shi1,1033
坚决,jian1'jue2,1034
承认,cheng2'ren4,1035
实,shi2,1036
集,ji2,1037
效果,xiao4'guo3,1038
德国,de2'guo2,1039
草,cao3,1040
宣布,xuan1'bu4,1041
上午,shang4'wu3,1042
知,zhi1,1043
共产党,gong4'chan3'dang3,1044
失去,shi1'qu4,1045
资源,zi1'yuan2,1046
减少,jian3'shao3,1047
断,duan4,1048
领域,ling3'yu4,1049
封,feng1,1050
先后,xian1'hou4,1051
今后,jin1'hou4,1052
促进,cu4'jin4,1053
经历,jing1'li4,1054
有效,you3'xiao4,1055
特点,te4'dian3,1056
位置,wei4'zhi,1057
现代化,xian4'dai4'hua4,1058
就要,jiu4'yao4,1059
价格,jia4'ge2,1060
部长,bu4'chang2,1061
过来,guo4'lai2,1062
观众,guan1'zhong4,1063
值得,zhi2'de2,1064
轮,lun2,1065
正常,zheng4'chang2,1066
脚,jiao3,1067
地方,di4'fang1,1068
破坏,po4'huai4,1069
看来,kan4'lai2,1070
适应,shi4'ying4,1071
战略,zhan4'lve4,1072
天气,tian1'qi4,1073
急,ji2,1074
度,du4,1075
贡献,gong4'xian4,1076
突出,tu1'chu1,1077
欧洲,ou1'zhou1,1078
掌握,zhang3'wo4,1079
错误,cuo4'wu4,1080
何,he2,1081
病人,bing4'ren2,1082
对象,dui4'xiang4,1083
确定,que4'ding4,1084
实施,shi2'shi1,1085
此外,ci3'wai4,1086
委员会,wei3'yuan2'hui4,1087
满意,man3'yi4,1088
师,shi1,1089
英雄,ying1'xiong2,1090
明,ming2,1091
驻,zhu4,1092
冲,chong1,1093
在于,zai4'yu2,1094
合理,he2'li3,1095
普通,pu3'tong1,1096
竞争,jing4'zheng1,1097
当地,dang1'di4,1098
宗教,zong1'jiao4,1099
联合,lian2'he2,1100
业务,ye4'wu4,1101
物质,wu4'zhi4,1102
表明,biao3'ming2,1103
训练,xun4'lian4,1104
一致,yi1'zhi4,1105
组成,zu3'cheng2,1106
专业,zhuan1'ye4,1107
官,guan1,1108
案,an4,1109
网络,wang3'luo4,1110
治,zhi4,1111
权利,quan2'li4,1112
前进,qian2'jin4,1113
成果,cheng2'guo3,1114
版,ban3,1115
网,wang3,1116
机,ji1,1117
显得,xian3'de,1118
脸,lian3,1119
自身,zi4'shen1,1120
指挥,zhi3'hui1,1121
演出,yan3'chu1,1122
交流,jiao1'liu2,1123
天津,tian1'jin1,1124
推,tui1,1125
设备,she4'bei4,1126
哲学,zhe2'xue2,1127
牛,niu2,1128
学者,xue2'zhe3,1129
卫生,wei4'sheng1,1130
缺乏,que1'fa2,1131
表,biao3,1132
真实,zhen1'shi2,1133
体现,ti3'xian4,1134
酒,jiu3,1135
飞机,fei1'ji1,1136
文字,wen2'zi4,1137
歌,ge1,1138
严格,yan2'ge2,1139
火,huo3,1140
依然,yi1'ran2,1141
称为,cheng1'wei2,1142
工,gong1,1143
资料,zi1'liao4,1144
型,xing2,1145
菜,cai4,1146
哪,na3,1147
速度,su4'du4,1148
工资,gong1'zi1,1149
至少,zhi4'shao3,1150
儿童,er2'tong2,1151
纷纷,fen1'fen1,1152
产业,chan3'ye4,1153
明天,ming2'tian1,1154
开放,kai1'fang4,1155
集体,ji2'ti3,1156
体系,ti3'xi4,1157
德,de2,1158
鱼,yu2,1159
召开,zhao4'kai1,1160
设,she4,1161
轻,qing1,1162
监督,jian1'du1,1163
体,ti3,1164
戏,xi4,1165
拍,pai1,1166
绿,lv4,1167
出发,chu1'fa1,1168
房,fang2,1169
实际上,shi2'ji4'shang4,1170
小说,xiao3'shuo1,1171
破,po4,1172
兵,bing1,1173
现,xian4,1174
啊,a,1175
优秀,you1'xiu4,1176
必然,bi4'ran2,1177
业,ye4,1178
主动,zhu3'dong4,1179
附近,fu4'jin4,1180
动物,dong4'wu4,1181
解放,jie3'fang4,1182
兼,jian1,1183
有所,you3'suo3,1184
看见,kan4'jian4,1185
通知,tong1'zhi1,1186
广告,guang3'gao4,1187
体制,ti3'zhi4,1188
当前,dang1'qian2,1189
从事,cong2'shi4,1190
至今,zhi4'jin1,1191
加入,jia1'ru4,1192
当年,dang1'nian2,1193
财政,cai2'zheng4,1194
颗,ke1,1195
为,wei2,1196
跳,tiao4,1197
弄,nong4,1198
广泛,guang3'fan4,1199
及时,ji2'shi2,1200
良好,liang2'hao3,1201
各国,ge4'guo2,1202
专,zhuan1,1203
普遍,pu3'bian4,1204
损失,sun3'shi1,1205
团结,tuan2'jie2,1206
梦,meng4,1207
姑娘,gu1'niang2,1208
需,xu1,1209
死亡,si3'wang2,1210
毕业,bi4'ye4,1211
倒,dao3,1212
室,shi4,1213
比如,bi3'ru2,1214
名字,ming2'zi4,1215
职业,zhi2'ye4,1216
角,jiao3,1217
杀,sha1,1218
从而,cong2'er2,1219
