hanzi_id,pinyin_id,hanzi,pinyin
10467,404671,一塌糊涂,yītāhútú
10468,404681,一多半,yīduōbàn
10469,404691,一天,yītiān
10470,404701,一天到晚,yītiāndàowǎn
10471,404711,一失足成千古恨,yīshīzúchéngqiāngǔhèn
10472,404721,一头,yītóu
10473,404731,一头雾水,yītóuwùshuǐ
10474,404741,一如,yīrú
10475,404751,一孔之见,yīkǒngzhījiàn
10476,404761,一字一板,yīzìyībǎn
10477,404771,一字千金,yīzìqiānjīn
10478,404781,一字长蛇阵,yīzìchángshézhèn
10479,404791,一定之规,yīdìngzhīguī
10480,404801,一审,yīshěn
10481,404811,一家之言,yījiāzhīyán
10482,404821,一尘不染,yīchénbùrǎn
10483,404831,一差二错,yīchāèrcuò
10484,404841,一己,yījǐ
10485,404851,一带,yīdài
10486,404861,一席之地,yīxízhīdì
10487,404871,一席话,yīxíhuà
10488,404881,一干,yīgān
10489,404891,一年到头,yīniándàotóu
10490,404901,一年生,yīniánshēng
10491,404911,一并,yībìng
10492,404921,一应,yīyīng
10493,404931,一往情深,yīwǎngqíngshēn
10494,404941,一往无前,yīwǎngwúqián
10495,404951,一径,yījìng
10496,404961,一得之功,yīdézhīgōng
10497,404971,一得之愚,yīdézhīyú
10498,404981,一心,yīxīn
10499,404991,一心一德,yīxīnyīdé
10500,405001,一心一意,yīxīnyīyì
10501,405011,一念之差,yīniànzhīchā
10502,405021,一总,yīzǒng
10503,405031,一息尚存,yīxīshàngcún
10504,405041,一意孤行,yīyìgūxíng
10505,405051,一成不变,yīchéngbùbiàn
10506,405061,一手,yīshǒu
10507,405071,一手一足,yīshǒuyīzú
10508,405081,一手遮天,yīshǒuzhētiān
10509,405091,一技之长,yījìzhīcháng
10510,405101,一把手,yībǎshǒu
10511,405111,一把抓,yībǎzhuā
10512,405121,一把死拿,yībǎsǐná
10513,405131,一拍即合,yīpāijíhé
10514,405141,一掷千金,yīzhìqiānjīn
10515,405151,一揽子,yīlǎnzi
10516,405161,一文不名,yīwénbùmíng
10517,405171,一斑,yībān
10518,405181,一新,yīxīn
10519,405191,一旁,yīpáng
10520,405201,一无,yīwú
10521,405211,一无所有,yīwúsuǒyǒu
10522,405221,一无是处,yīwúshìchù
10523,405231,一日三秋,yīrìsānqiū
10524,405241,一日之雅,yīrìzhīyǎ
10525,405251,一日千里,yīrìqiānlǐ
10526,405261,一早,yīzǎo
10527,405271,一时,yīshí
10528,405281,一时一刻,yīshíyīkè
10529,405291,一晃,yīhuǎng
10529,405292,一晃,yīhuàng
10530,405301,一暴十寒,yīpùshíhán
10531,405311,一望无际,yīwàngwújì
10532,405321,一朝,yīzhāo
10533,405331,一朝一夕,yīzhāoyīxī
10534,405341,一朝天子一朝臣,yīcháotiānzǐyīcháochén
10535,405351,一木难支,yīmùnánzhī
10536,405361,一本万利,yīběnwànlì
10537,405371,一本正经,yīběnzhèngjīng
10538,405381,一条心,yītiáoxīn
10539,405391,一条龙,yītiáolóng
10540,405401,一来二去,yīláièrqù
10541,405411,一板一眼,yībǎnyīyǎn
10542,405421,一枕黄粱,yīzhěnhuángliáng
10543,405431,一棍子打死,yīgùnzidǎsǐ
10544,405441,一概,yīgài
10545,405451,一概而论,yīgàiérlùn
10546,405461,一模一样,yīmúyīyàng
10547,405471,一次性,yīcìxìng
10548,405481,一次能源,yīcìnéngyuán
10549,405491,一步登天,yībùdēngtiān
10550,405501,一毛不拔,yīmáobùbá
10551,405511,一气,yīqì
10552,405521,一气呵成,yīqìhēchéng
10553,405531,一氧化碳,yīyǎnghuàtàn
10554,405541,一波三折,yībōsānzhé
10555,405551,一泻千里,yīxièqiānlǐ
10556,405561,一清早,yīqīngzǎo
10557,405571,一溜歪斜,yīliùwāixié
10558,405581,一溜烟,yīliùyān
10559,405591,一溜风,yīliùfēng
10560,405601,一潭死水,yītánsǐshuǐ
10561,405611,一炮打响,yīpàodǎxiǎng
10562,405621,一片冰心,yīpiànbīngxīn
10563,405631,一物降一物,yīwùxiángyīwù
10564,405641,一生,yīshēng
10565,405651,一百一,yībǎiyī
10566,405661,一盘散沙,yīpánsǎnshā
10567,405671,一盘棋,yīpánqí
10568,405681,一目十行,yīmùshíháng
10569,405691,一相情愿,yīxiāngqíngyuàn
10570,405701,一瞥,yīpiē
10571,405711,一瞬,yīshùn
10572,405721,一知半解,yīzhībànjiě
10573,405731,一碗水端平,yīwǎnshuǐduānpíng
10574,405741,一神教,yīshénjiào
10575,405751,一程子,yīchéngzi
10576,405761,一穷二白,yīqióngèrbái
10577,405771,一空,yīkōng
10578,405781,一窍不通,yīqiàobùtōng
10579,405791,一窝蜂,yīwōfēng
10580,405801,一端,yīduān
10581,405811,一竿子到底,yīgānzidàodǐ
10582,405821,一笑置之,yīxiàozhìzhī
10583,405831,一笔勾销,yībǐgōuxiāo
10584,405841,一笔带过,yībǐdàiguò
10585,405851,一笔抹杀,yībǐmǒshā
10586,405861,一筹,yīchóu
10587,405871,一筹莫展,yīchóumòzhǎn
10588,405881,一箭双雕,yījiànshuāngdiāo
10589,405891,一米线,yīmǐxiàn
10590,405901,一系列,yīxìliè
10591,405911,一级市场,yījíshìchǎng
10592,405921,一纸空文,yīzhǐkōngwén
10593,405931,一线,yīxiàn
10594,405941,一经,yījīng
10595,405951,一统,yītǒng
10596,405961,一网打尽,yīwǎngdǎjìn
10597,405971,一脉相传,yīmàixiāngchuán
10598,405981,一臂之力,yībìzhīlì
10599,405991,一般见识,yībānjiànshi
10600,406001,一色,yīsè
10601,406011,一落千丈,yīluòqiānzhàng
10602,406021,一蟹不如一蟹,yīxièbùrúyīxiè
10603,406031,一行,yīxíng
10604,406041,一衣带水,yīyīdàishuǐ
10605,406051,一表人才,yībiǎoréncái
10606,406061,一表非凡,yībiǎofēifán
10607,406071,一见如故,yījiànrúgù
10608,406081,一见钟情,yījiànzhōngqíng
10609,406091,一视同仁,yīshìtóngrén
10610,406101,一览,yīlǎn
10611,406111,一览表,yīlǎnbiǎo
10612,406121,一触即发,yīchùjífā
10613,406131,一触即溃,yīchùjíkuì
10614,406141,一言以蔽之,yīyányǐbìzhī
10615,406151,一言堂,yīyántáng
10616,406161,一语破的,yīyǔpòdì
10617,406171,一诺千金,yīnuòqiānjīn
10618,406181,一败涂地,yībàitúdì
10619,406191,一贫如洗,yīpínrúxǐ
10620,406201,一蹴而就,yīcùérjiù
10621,406211,一蹶不振,yījuébùzhèn
10622,406221,一身,yīshēn
10623,406231,一身两役,yīshēnliǎngyì
10624,406241,一身是胆,yīshēnshìdǎn
10625,406251,一边倒,yībiāndǎo
10626,406261,一连,yīlián
10627,406271,一连串,yīliánchuàn
10628,406281,一退六二五,yītuìliùèrwǔ
10629,406291,一通,yītòng
10630,406301,一道,yīdào
10631,406311,一针见血,yīzhēnjiànxiě
10632,406321,一锅煮,yīguōzhǔ
10633,406331,一锅端,yīguōduān
10634,406341,一锅粥,yīguōzhōu
10635,406351,一锤子买卖,yīchuízimǎimai
10636,406361,一锤定音,yīchuídìngyīn
10637,406371,一门心思,yīménxīnsi
10638,406381,一阵,yīzhèn
10639,406391,一阵风,yīzhènfēng
10640,406401,一隅,yīyú
10641,406411,一隅三反,yīyúsānfǎn
10642,406421,一霎,yīshà
10643,406431,一面,yīmiàn
10644,406441,一面之交,yīmiànzhījiāo
10645,406451,一面之词,yīmiànzhīcí
10646,406461,一风吹,yīfēngchuī
10647,406471,一马平川,yīmǎpíngchuān
10648,406481,一马当先,yīmǎdāngxiān
10649,406491,一鳞半爪,yīlínbànzhǎo
10650,406501,一鸣惊人,yīmíngjīngrén
10651,406511,一鼓作气,yīgǔzuòqì
10652,406521,一鼻孔出气,yībíkǒngchūqì
10653,406531,一齐,yīqí
10654,406541,丁东,dīngdōng
10655,406551,丁克家庭,dīngkèjiātíng
10656,406561,丁册,dīngcè
10657,406571,丁冬,dīngdōng
10658,406581,丁坝,dīngbà
10659,406591,丁字尺,dīngzìchǐ
10660,406601,丁字街,dīngzìjiē
10661,406611,丁字钢,dīngzìgāng
10662,406621,丁宁,dīngníng
10663,406631,丁当,dīngdāng
10664,406641,丁忧,dīngyōu
10665,406651,丁村人,dīngcūnrén
10666,406661,丁艰,dīngjiān
10667,406671,丁部,dīngbù
10668,406681,丁零,dīnglíng
10669,406691,丁零当啷,dīnglingdānglāng
10670,406701,丁香,dīngxiāng
10671,406711,七一,qīyī
10672,406721,七七,qīqī
10673,406731,七七事变,qīqīshìbiàn
10674,406741,七十二行,qīshíèrháng
10675,406751,七古,qīgǔ
10676,406761,七夕,qīxī
10677,406771,七巧板,qīqiǎobǎn
10678,406781,七弦琴,qīxiánqín
10679,406791,七律,qīlǜ
10680,406801,七步之才,qībùzhīcái
10681,406811,七窍,qīqiào
10682,406821,七窍生烟,qīqiàoshēngyān
10683,406831,七绝,qījué
10684,406841,七老八十,qīlǎobāshí
10685,406851,七色板,qīsèbǎn
10686,406861,七言诗,qīyánshī
10687,406871,万万,wànwàn
10688,406881,万丈,wànzhàng
10689,406891,万不得已,wànbùdéyǐ
10690,406901,万世,wànshì
10691,406911,万事,wànshì
10692,406921,万事通,wànshìtōng
10693,406931,万人空巷,wànrénkōngxiàng
10694,406941,万代,wàndài
10695,406951,万众,wànzhòng
10696,406961,万众一心,wànzhòngyīxīn
10697,406971,万儿八千,wànerbāqiān
10698,406981,万全,wànquán
10699,406991,万劫不复,wànjiébùfù
10700,407001,万千,wànqiān
10701,407011,万历,wànlì
10702,407021,万变不离其宗,wànbiànbùlíqízōng
10703,407031,万古长青,wàngǔchángqīng
10704,407041,万国,wànguó
10705,407051,万寿无疆,wànshòuwújiāng
10706,407061,万岁,wànsuì
10707,407071,万年,wànnián
10708,407081,万年历,wànniánlì
10709,407091,万幸,wànxìng
10710,407101,万念俱灰,wànniànjùhuī
10711,407111,万恶,wànè
10712,407121,万户侯,wànhùhóu
10713,407131,万方,wànfāng
10714,407141,万无一失,wànwúyīshī
10715,407151,万有引力,wànyǒuyǐnlì
10716,407161,万机,wànjī
10717,407171,万死,wànsǐ
10718,407181,万民,wànmín
10719,407191,万水千山,wànshuǐqiānshān
10720,407201,万物,wànwù
10721,407211,万状,wànzhuàng
10722,407221,万用表,wànyòngbiǎo
10723,407231,万福,wànfú
10724,407241,万端,wànduān
10725,407251,万籁,wànlài
10726,407261,万紫千红,wànzǐqiānhóng
10727,407271,万维网,wànwéiwǎng
10728,407281,万能,wànnéng
10729,407291,万般,wànbān
10730,407301,万花筒,wànhuātǒng
10731,407311,万象,wànxiàng
10732,407321,万贯,wànguàn
10733,407331,万金油,wànjīnyóu
10734,407341,万难,wànnán
10735,407351,万顷,wànqǐng
10736,407361,万马齐喑,wànmǎqíyīn
10737,407371,丈人,zhàngrén
10737,407372,丈人,zhàngren
10738,407381,丈母,zhàngmu
10739,407391,丈量,zhàngliáng
10740,407401,三一三十一,sānyīsānshíyī
10741,407411,三三两两,sānsānliǎngliǎng
10742,407421,三下五除二,sānxiàwǔchúèr
10743,407431,三不知,sānbùzhī
10744,407441,三不管,sānbùguǎn
10745,407451,三个代表,sāngèdàibiǎo
10746,407461,三九,sānjiǔ
10747,407471,三亲六故,sānqīnliùgù
10748,407481,三从四德,sāncóngsìdé
10749,407491,三令五申,sānlìngwǔshēn
10750,407501,三伏,sānfú
10751,407511,三位一体,sānwèiyītǐ
10752,407521,三八妇女节,sānbāfùnǚjié
10753,407531,三六九等,sānliùjiǔděng
10754,407541,三军,sānjūn
10755,407551,三副,sānfù
10756,407561,三北,sānběi
10757,407571,三叉神经,sānchāshénjīng
10758,407581,三只手,sānzhīshǒu
10759,407591,三合土,sānhétǔ
10760,407601,三合房,sānhéfáng
10761,407611,三合板,sānhébǎn
10762,407621,三围,sānwéi
10763,407631,三国,sānguó
10764,407641,三夏,sānxià
10765,407651,三大差别,sāndàchābié
10766,407661,三头六臂,sāntóuliùbì
10767,407671,三头对案,sāntóuduìàn
10768,407681,三姑六婆,sāngūliùpó
10769,407691,三宝,sānbǎo
10770,407701,三寸不烂之舌,sāncùnbùlànzhīshé
10771,407711,三废,sānfèi
10772,407721,三座大山,sānzuòdàshān
10773,407731,三弦,sānxián
10774,407741,三心二意,sānxīnèryì
10775,407751,三思,sānsī
10776,407761,三教九流,sānjiàojiǔliú
10777,407771,三明治,sānmíngzhì
10778,407781,三星,sānxīng
10779,407791,三昧,sānmèi
10780,407801,三朝,sānzhāo
10781,407811,三板,sānbǎn
10782,407821,三极管,sānjíguǎn
10783,407831,三棱镜,sānléngjìng
10784,407841,三段论,sānduànlùn
10785,407851,三民主义,sānmínzhǔyì
10786,407861,三灾八难,sānzāibānàn
10787,407871,三点式,sāndiǎnshì
10788,407881,三焦,sānjiāo
10789,407891,三牲,sānshēng
10790,407901,三番五次,sānfānwǔcì
10791,407911,三百六十行,sānbǎiliùshíháng
10792,407921,三皇五帝,sānhuángwǔdì
10793,407931,三秋,sānqiū
10794,407941,三级跳远,sānjítiàoyuǎn
10795,407951,三纲五常,sāngāngwǔcháng
10796,407961,三线,sānxiàn
10797,407971,三维动画,sānwéidònghuà
10798,407981,三维空间,sānwéikōngjiān
10799,407991,三缄其口,sānjiānqíkǒu
10800,408001,三联单,sānliándān
10801,408011,三脚架,sānjiǎojià
10802,408021,三色版,sānsèbǎn
10803,408031,三节,sānjié
10804,408041,三花脸,sānhuāliǎn
10805,408051,三藏,sānzàng
10806,408061,三角债,sānjiǎozhài
10807,408071,三角函数,sānjiǎohánshù
10808,408081,三角学,sānjiǎoxué
10809,408091,三角带,sānjiǎodài
10810,408101,三角形,sānjiǎoxíng
10811,408111,三角恋爱,sānjiǎoliànài
10812,408121,三角板,sānjiǎobǎn
10813,408131,三角洲,sānjiǎozhōu
10814,408141,三角铁,sānjiǎotiě
10815,408151,三言两语,sānyánliǎngyǔ
10816,408161,三资企业,sānzīqǐyè
10817,408171,三足鼎立,sānzúdǐnglì
10818,408181,三轮车,sānlúnchē
10819,408191,三长两短,sānchángliǎngduǎn
10820,408201,三顾茅庐,sāngùmáolú
10821,408211,上上,shàngshàng
10822,408221,上下,shàngxià
10823,408231,上下其手,shàngxiàqíshǒu
10824,408241,上下文,shàngxiàwén
10825,408251,上世,shàngshì
10826,408261,上中农,shàngzhōngnóng
10827,408271,上乘,shàngchéng
10828,408281,上书,shàngshū
10829,408291,上人,shàngren
10829,408292,上人,shàngrén
10830,408301,上代,shàngdài
10831,408311,上体,shàngtǐ
10832,408321,上佳,shàngjiā
10833,408331,上供,shànggòng
10834,408341,上元节,shàngyuánjié
10835,408351,上党梆子,shàngdǎngbāngzi
10836,408361,上冻,shàngdòng
10837,408371,上列,shàngliè
10838,408381,上劲,shàngjìn
10839,408391,上升,shàngshēng
10840,408401,上半夜,shàngbànyè
10841,408411,上半天,shàngbàntiān
10842,408421,上半时,shàngbànshí
10843,408431,上半晌,shàngbànshǎng
10844,408441,上去,shàngqù
10845,408451,上口,shàngkǒu
10846,408461,上口字,shàngkǒuzì
10847,408471,上古,shànggǔ
10848,408481,上台,shàngtái
10849,408491,上台阶,shàngtáijiē
10850,408501,上司,shàngsi
10851,408511,上吊,shàngdiào
10852,408521,上告,shànggào
10853,408531,上呼吸道,shànghūxīdào
10854,408541,上品,shàngpǐn
10855,408551,上场,shàngchǎng
10856,408561,上场门,shàngchǎngmén
10857,408571,上坟,shàngfén
10858,408581,上坡路,shàngpōlù
10859,408591,上堂,shàngtáng
10860,408601,上士,shàngshì
10861,408611,上声,shàngshēng
10861,408612,上声,shǎngshēng
10862,408621,上夜,shàngyè
10863,408631,上天,shàngtiān
10864,408641,上头,shàngtou
10864,408642,上头,shàngtóu
10865,408651,上好,shànghǎo
10866,408661,上学,shàngxué
10867,408671,上官,shàngguān
10868,408681,上家,shàngjiā
10869,408691,上宾,shàngbīn
10870,408701,上将,shàngjiàng
10871,408711,上尉,shàngwèi
10872,408721,上层,shàngcéng
10873,408731,上层建筑,shàngcéngjiànzhù
10874,408741,上山,shàngshān
10875,408751,上岁数,shàngsuìshu
10876,408761,上岗,shànggǎng
10877,408771,上峰,shàngfēng
10878,408781,上工,shànggōng
10879,408791,上市,shàngshì
10880,408801,上市公司,shàngshìgōngsī
10881,408811,上帝,shàngdì
10882,408821,上年,shàngnián
10883,408831,上年纪,shàngniánji
10884,408841,上座,shàngzuò
10885,408851,上弦,shàngxián
10886,408861,上心,shàngxīn
10887,408871,上房,shàngfáng
10888,408881,上手,shàngshǒu
10889,408891,上扬,shàngyáng
10890,408901,上报,shàngbào
10891,408911,上操,shàngcāo
10892,408921,上文,shàngwén
10893,408931,上方宝剑,shàngfāngbǎojiàn
10894,408941,上旬,shàngxún
10895,408951,上映,shàngyìng
10896,408961,上朝,shàngcháo
10897,408971,上来,shànglái
10898,408981,上校,shàngxiào
10899,408991,上梁不正下梁歪,shàngliángbùzhèngxiàliángwāi
10900,409001,上款,shàngkuǎn
10901,409011,上水,shàngshuǐ
10901,409012,上水,shàngshui
10902,409021,上水道,shàngshuǐdào
10903,409031,上江,shàngjiāng
10904,409041,上流,shàngliú
10905,409051,上浆,shàngjiāng
10906,409061,上浮,shàngfú
10907,409071,上涨,shàngzhǎng
10908,409081,上溯,shàngsù
10909,409091,上演,shàngyǎn
10910,409101,上火,shànghuǒ
10911,409111,上焦,shàngjiāo
10912,409121,上照,shàngzhào
10913,409131,上班族,shàngbānzú
10914,409141,上界,shàngjiè
10915,409151,上皮组织,shàngpízǔzhī
10916,409161,上相,shàngxiàng
10917,409171,上空,shàngkōng
10918,409181,上等,shàngděng
10919,409191,上等兵,shàngděngbīng
10920,409201,上策,shàngcè
10921,409211,上算,shàngsuàn
10922,409221,上紧,shàngjǐn
10923,409231,上缴,shàngjiǎo
10924,409241,上联,shànglián
10925,409251,上肢,shàngzhī
10926,409261,上脸,shàngliǎn
10927,409271,上膘,shàngbiāo
10928,409281,上膛,shàngtáng
10929,409291,上臂,shàngbì
10930,409301,上色,shàngshǎi
10930,409302,上色,shàngsè
10931,409311,上苍,shàngcāng
10932,409321,上蔟,shàngcù
10933,409331,上行,shàngxíng
10934,409341,上行下效,shàngxíngxiàxiào
10935,409351,上衣,shàngyī
10936,409361,上装,shàngzhuāng
10937,409371,上议院,shàngyìyuàn
10938,409381,上访,shàngfǎng
10939,409391,上诉,shàngsù
10940,409401,上课,shàngkè
10941,409411,上调,shàngtiáo
10941,409412,上调,shàngdiào
10942,409421,上账,shàngzhàng
10943,409431,上路,shànglù
10944,409441,上蹿下跳,shàngcuānxiàtiào
10945,409451,上身,shàngshēn
10946,409461,上轨道,shàngguǐdào
10947,409471,上载,shàngzài
10948,409481,上辈,shàngbèi
10949,409491,上辈子,shàngbèizi
10950,409501,上边,shàngbian
10951,409511,上进,shàngjìn
10952,409521,上述,shàngshù
10953,409531,上钩,shànggōu
10954,409541,上镜,shàngjìng
10955,409551,上门,shàngmén
10956,409561,上阵,shàngzhèn
10957,409571,上限,shàngxiàn
10958,409581,上面,shàngmian
10959,409591,上鞋,shàngxié
10960,409601,上颌,shànghé
10961,409611,上颚,shàngè
10962,409621,上风,shàngfēng
10963,409631,上马,shàngmǎ
10964,409641,下三烂,xiàsānlàn
10965,409651,下下,xiàxià
10966,409661,下不为例,xiàbùwéilì
10967,409671,下不来,xiàbulái
10968,409681,下世,xiàshì
10969,409691,下中农,xiàzhōngnóng
10970,409701,下乘,xiàchéng
10971,409711,下九流,xiàjiǔliú
10972,409721,下人,xiàrén
10973,409731,下令,xiàlìng
10974,409741,下体,xiàtǐ
10975,409751,下作,xiàzuo
10976,409761,下凡,xiàfán
10977,409771,下列,xiàliè
10978,409781,下剩,xiàshèng
10979,409791,下劲,xiàjìn
10980,409801,下半场,xiàbànchǎng
10981,409811,下半夜,xiàbànyè
10982,409821,下半天,xiàbàntiān
10983,409831,下半旗,xiàbànqí
10984,409841,下半时,xiàbànshí
10985,409851,下半晌,xiàbànshǎng
10986,409861,下去,xiàqù
10987,409871,下台,xiàtái
10988,409881,下同,xiàtóng
10989,409891,下品,xiàpǐn
10990,409901,下地,xiàdì
10991,409911,下场,xiàchǎng
10992,409921,下场门,xiàchǎngmén
10993,409931,下坠,xiàzhuì
10994,409941,下坡路,xiàpōlù
10995,409951,下士,xiàshì
10996,409961,下处,xiàchu
10997,409971,下头,xiàtou
10998,409981,下奶,xiànǎi
10999,409991,下子,xiàzǐ
10999,409992,下子,xiàzi
11000,410001,下存,xiàcún
11001,410011,下学,xiàxué
11002,410021,下定,xiàdìng
11003,410031,下家,xiàjiā
11004,410041,下层,xiàcéng
11005,410051,下岗,xiàgǎng
11006,410061,下工,xiàgōng
11007,410071,下工夫,xiàgōngfu
11008,410081,下巴,xiàba
11009,410091,下市,xiàshì
11010,410101,下店,xiàdiàn
11011,410111,下弦,xiàxián
11012,410121,下怀,xiàhuái
11013,410131,下情,xiàqíng
11014,410141,下意识,xiàyìshí
11015,410151,下房,xiàfáng
11016,410161,下手,xiàshǒu
11017,410171,下挫,xiàcuò
11018,410181,下摆,xiàbǎi
11019,410191,下操,xiàcāo
11020,410201,下放,xiàfàng
11021,410211,下文,xiàwén
11022,410221,下旬,xiàxún
11023,410231,下来,xiàlái
11024,410241,下榻,xiàtà
11025,410251,下欠,xiàqiàn
11026,410261,下款,xiàkuǎn
11027,410271,下水,xiàshui
11027,410272,下水,xiàshuǐ
11028,410281,下水道,xiàshuǐdào
11029,410291,下江,xiàjiāng
11030,410301,下泄,xiàxiè
11031,410311,下泻,xiàxiè
11032,410321,下流,xiàliú
11033,410331,下浮,xiàfú
11034,410341,下海,xiàhǎi
11035,410351,下游,xiàyóu
11036,410361,下焦,xiàjiāo
11037,410371,下狱,xiàyù
11038,410381,下班,xiàbān
11039,410391,下生,xiàshēng
11040,410401,下界,xiàjiè
11041,410411,下疳,xiàgān
11042,410421,下碇,xiàdìng
11043,410431,下神,xiàshén
11044,410441,下种,xiàzhǒng
11045,410451,下笔,xiàbǐ
11046,410461,下第,xiàdì
11047,410471,下等,xiàděng
11048,410481,下策,xiàcè
11049,410491,下箸,xiàzhù
11050,410501,下网,xiàwǎng
11051,410511,下联,xiàlián
11052,410521,下聘,xiàpìn
11053,410531,下肢,xiàzhī
11054,410541,下脚,xiàjiǎo
11055,410551,下脚货,xiàjiǎohuò
11056,410561,下腰,xiàyāo
11057,410571,下船,xiàchuán
11058,410581,下药,xiàyào
11059,410591,下落,xiàluò
11060,410601,下葬,xiàzàng
11061,410611,下蛋,xiàdàn
11062,410621,下行,xiàxíng
11063,410631,下装,xiàzhuāng
11064,410641,下议院,xiàyìyuàn
11065,410651,下课,xiàkè
11066,410661,下调,xiàtiáo
11067,410671,下账,xiàzhàng
11068,410681,下贱,xiàjiàn
11069,410691,下跌,xiàdiē
11070,410701,下身,xiàshēn
11071,410711,下车伊始,xiàchēyīshǐ
11072,410721,下辈,xiàbèi
11073,410731,下辈子,xiàbèizi
11074,410741,下边,xiàbian
11075,410751,下达,xiàdá
11076,410761,下酒,xiàjiǔ
11077,410771,下里,xiàli
11078,410781,下里巴人,xiàlǐbārén
11079,410791,下野,xiàyě
11080,410801,下问,xiàwèn
11081,410811,下降,xiàjiàng
11082,410821,下限,xiàxiàn
11083,410831,下陷,xiàxiàn
11084,410841,下面,xiàmian
11085,410851,下颌,xiàhé
11086,410861,下颚,xiàè
11087,410871,下风,xiàfēng
11088,410881,下饭,xiàfàn
11089,410891,下首,xiàshǒu
11090,410901,下马,xiàmǎ
11091,410911,下马威,xiàmǎwēi
11092,410921,下马看花,xiàmǎkànhuā
11093,410931,不一,bùyī
11094,410941,不一而足,bùyīérzú
11095,410951,不三不四,bùsānbùsì
11096,410961,不下,bùxià
11097,410971,不下于,bùxiàyú
11098,410981,不中,bùzhōng
11099,410991,不为已甚,bùwéiyǐshèn
11100,411001,不久,bùjiǔ
11101,411011,不义之财,bùyìzhīcái
11102,411021,不乏,bùfá
11103,411031,不了,bùliǎo
11104,411041,不了了之,bùliǎoliǎozhī
11105,411051,不争,bùzhēng
11106,411061,不二价,bùèrjià
11107,411071,不二法门,bùèrfǎmén
11108,411081,不亦乐乎,bùyìlèhū
11109,411091,不人道,bùréndào
11110,411101,不仁,bùrén
11111,411111,不以为意,bùyǐwéiyì
11112,411121,不以为然,bùyǐwéirán
11113,411131,不休,bùxiū
11114,411141,不伦不类,bùlúnbùlèi
11115,411151,不佞,bùnìng
11116,411161,不依,bùyī
11117,411171,不便,bùbiàn
11118,411181,不修边幅,bùxiūbiānfú
11119,411191,不倒翁,bùdǎowēng
11120,411201,不假思索,bùjiǎsīsuǒ
11121,411211,不偏不倚,bùpiānbùyǐ
11122,411221,不做声,bùzuòshēng
11123,411231,不光,bùguāng
11124,411241,不克,bùkè
11125,411251,不公,bùgōng
11126,411261,不共戴天,bùgòngdàitiān
11127,411271,不兴,bùxīng
11128,411281,不冻港,bùdònggǎng
11129,411291,不凡,bùfán
11130,411301,不刊之论,bùkānzhīlùn
11131,411311,不则声,bùzéshēng
11132,411321,不利,bùlì
11133,411331,不到黄河心不死,bùdàohuánghéxīnbùsǐ
11134,411341,不力,bùlì
11135,411351,不动产,bùdòngchǎn
11136,411361,不动声色,bùdòngshēngsè
11137,411371,不劳而获,bùláoérhuò
11138,411381,不卑不亢,bùbēibùkàng
11139,411391,不单,bùdān
11140,411401,不即不离,bùjíbùlí
11141,411411,不厌,bùyàn
11142,411421,不及,bùjí
11143,411431,不变价格,bùbiànjiàgé
11144,411441,不只,bùzhǐ
11145,411451,不可,bùkě
11146,411461,不可一世,bùkěyīshì
