definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
29314,2931,4,"金属元素,符号Au(aurum)。黄色,质软,延展性强,化学性质稳定。是贵重金属,用来制造货币、装饰品等。","aurum (Au); gold; precious metal that is yellow, soft, highly malleable and chemically stable, and used to make coins, jewellery, etc.;",,,名词
29612,2961,2,买卖货物,buying and selling; business transaction,,,动词
29614,2961,4,"行政区划单位,分直辖市和市。设市的地方都是工商业集中处或政治、文化的中心。","municipality; administrative units including ordinary cities and those directly under the jurisdiction of the State Council, which are centres of industry and commerce, or political and cultural centres",,,名词
30411,3041,1,"跟地面大致平行的空气流动,是由于气压分布不均匀而产生的。","wind; breeze; gale — air current moving roughly parallel to the ground surface, caused by uneven distribution of atmospheric pressure",,,名词
32114,3211,4,"旧制长度单位,1步等于5尺。","old measure of length, equivalent to five chi",,,名词
32513,3251,3,"〈旧时old〉收税的关卡,现在只用于地名,如曹家务(在河北),商酒务(在河南)。","taxation point [now used only as part of a geographical name, as Caojiawu (in Hebei) and Shangjiuwu (in Henan)]",,,名词
32812,3281,2,"几何学上指一个点任意移动所构成的图形,有长,没有宽和厚。分为直线和曲线两种。","(geom.) line; path of a moving point, thought of as having length, but no breadth or thickness, whether straight or curved",,,名词
34511,3451,1,"数目,十个十。","hundred; numeral, product of 10 times 10",,,数词
34915,3491,5,〈旧时old〉指祖先的画像。,figure or portrait of one's ancestor,,,名词
35511,3551,1,物体内部分子不规则运动放出的一种能。物质燃烧都能产生热。,heat; a form of energy released by irregular motion of atoms or molecules in a matter. Any substance can generate heat when burning.,,,名词
39621,3962,1,<数目numeral〉十个千。,ten thousand,,,数词
39912,3991,2,"古代的一种残酷刑法,杀死犯罪者的整个家族,甚至他母亲、妻子等的家族。","death penalty in ancient times, imposed on an offender and his whole family, or even the families of his mother, wife, etc.",,,名词
40412,4041,2,"中国古代审定乐音高低的标准,把乐音分为六律和六吕,合称十二律。",(of classical Chinese music) pitch; tone; 12 pitch-pipes used to determine the temperament of a number,,,名词
41011,4101,1,秤锤。,counterpoise; sliding weight of a steelyard,,,名词
41411,4141,1,"数目,八加一后所得。","nine, one more than eight;",,,数词
42718,4271,8,"军队的编制单位,隶属于军或集团军,下辖若干旅或团。","division (of an army); establishment for army units subordinate to an army or group army, with several brigades or regiments under its jurisdiction",,,名词
45519,4551,9,(毛发)留长;蓄起不剪。,let (one's hair) grow long,,,动词
46111,4611,1,"容量单位。10升等于1斗,10斗等于1石。","dou, unit of dry measure for grain (now about a decalitre, equal to 10 sheng or 1/10 dan)",,,量词
46114,4611,4,圆形的指纹。,whorl (of a fingerprint),,,名词
46115,4611,5,古代盛酒的器具。,ancient wine vessel,,,名词
46116,4611,6,二十八宿之一。通称南斗。,"(usu. called 南斗nándǒu.) dou, one of the 28 constellations into which celestial space was divided in ancient Chinese astronomy",,,名词
46217,4621,7,"军队的编制单位,一般隶属于师,下辖若干营。","regiment; military unit usu. subordinated to a division, and commanding several battalions",,,名词
46218,4621,8,"青少年的政治性组织,如儿童团、青年团等,在中国特指中国共产主义青年团。","political organization for teenagers, such as Children's Corps, Youth League, etc.; (esp.) Communist Youth League of China; Youth League",,,名词
46219,4621,9,〈旧时old〉某些地区相当于乡一级的政权机关。,township state agencies or organs in some areas,,,名词
47811,4781,1,树木的末梢。,uppermost point of a tree,,,名词
47818,4781,8,"清末陆军编制之一,相当于后来的团。","unit of ground forces in the late Qing Dynasty, equivalent to the present-day regiment",,,名词
49513,4951,3,"用数字表示的量或数学运算所能得到的每一个结果,如ɑ取值10, b取值8,则代数式ɑb的值为10×8=80。","value; particular magnitude, number, or amount, or the result of a mathematical calculation, e.g. if the value of ɑ is 10 and the value of b is 8, then the algebraic expression ɑb stands for the value 80, i.e. 8×10=80",,,名词
50211,5021,1,指未婚的男子。,bachelor; unmarried man,,,名词
50212,5021,2,介于大夫和庶民之间的阶层。,intelligentsia; social stratum between senior officials and the common people in ancient China,,,名词
51512,5151,2,"生物学中把同一科的生物群按照彼此相似的程度再分为不同的群,叫做属,如猫科有猫属、虎属等,禾本科有稻属、小麦属、燕麦属等。属以下为种。","genus; category of biological classification into which biological groups of the same family are further divided according to their degree of similarity with each other, e.g. the cat family includes the genus Felis and genus Panthera, etc., and the grass family includes the genus Oryza, genus Triticum, and genus Avena, etc. The category below genus is species.",,,名词
52513,5251,3,"用来代替自己或自己的名字,如‘某,张飞是也。’又如姓张的自称‘张某’或‘张某人’。","(referring to oneself) ‘Me, my name is Zhang Fei.’ For another example, a person named Zhang may call himself ‘Zhang’ or ‘this Zhang’.",,,代词
54011,5401,1,像丝瓜花或向日葵花的颜色。,"yellow, like the flowers of towel gourd or sunflower",,,名词
54522,5452,2,"出现在太阳或月亮周围的彩色光环,内紫外红。","corona; colourful ring of light appearing around the sun or the moon, purple inside and red outside",,,名词
55526,5552,6,底数的简称。,Abbr. for底数(dǐ shù),,,名词
56515,5651,5,江河的支流。,tributary,,,名词
57123,5712,3,"军队的编制单位,连的下一级,班的上一级。",platoon; army unit below the company and above the squad,,,名词
57412,5741,2,从物体发出的光线经平面镜、球面镜、透镜、棱镜等反射或折射后所形成的与原物相似的图景。分为实像和虚像。,"image; optical counterpart of an object produced through reflection or refraction by an optical device (e.g. mirror, spherical mirror, lens or prism, etc.), differentiated between real and virtual images",,,名词
58612,5861,2,刮;削。,scrape; peel; skin,,,动词
58822,5882,2,"义同‘记’,主要用于‘纪念、纪年、纪元、纪传’等,别的地方多用‘记’。","[same as 记jì, chiefly used in 纪念 jìniàn, 纪年 jìnián, 纪元 jìyuán, 纪传 jìzhuàn, etc.; 记 is oft. used in other phrases]",,,动词
59111,5911,1,母亲。,ma; mum; mummy; mother,,,名词
59252,5925,2,"减法运算中,一个数减去另一个数所得的数。如6-4=2中,2是差。","remainder of subtraction, e.g. in the equation 6-4=2, 2 is the difference;",,,名词
60412,6041,2,"用漏壶记时,一昼夜共一百刻。","ke, unit of time measured by the regulated flow of water through a clepsydra; with a day and night divided into 100 ke",,,名词
60621,6062,1,"人或高等动物体内循环系统中的液体组织,暗赤或鲜红色,有腥气,由血浆、血细胞和血小板构成。作用是把养分和激素输送给体内各个组织,收集废物送给排泄器官,调节体温和抵御病菌等。","blood; complex fluid circulating in the vascular system of human beings and higher animals, dark red or bright red, smelling of fish, and composed of blood plasma, corpuscles and blood platelets. As a liquid tissue, blood has such functions as transporting nutrition and hormones to all tissues of the body, gathering and delivering waste to the emunctory, adjusting body temperature and withstanding the attack of germs.",,,名词
61134,6112,14,号筒。,anything used as a horn,,,名词
61135,6112,15,军队或乐队里所用的西式喇叭。,any brass wind instrument used in the army or a band,,,名词
61811,6181,1,"金属元素,符号Fe(ferrum)。银白色,质硬,延展性强,纯铁磁化和去磁都很快,含杂质的铁在湿空气中容易生锈,是炼钢的主要原料,用途很广。","ferrum (Fe); iron; silvery-white, malleable, ductile, metallic element that can be readily magnetized and demagnetized, rusts rapidly in moist or salty air, and is extensively used, esp. as the main raw material in steelmaking",,,名词
62519,6251,9,由于受申斥或责罚次数过多而感觉无所谓。,case-hardened; could not care less; no longer care after being repeatedly scolded or punished,,,形容词
66012,6601,2,"地球表面上被水覆盖的广大地方,约占地球面积的十分之七,分成四个部分,即太平洋、大西洋、印度洋、北冰洋。","ocean; vast bodies of salt water that cover seven tenths of the surface of the globe, i.e., the Pacific Ocean, Atlantic Ocean, Indian Ocean, and Arctic Ocean",,,名词
66413,6641,3,称怀孕为‘有喜’。,be pregnant; have just conceived,,,名词
67115,6711,5,后辈对前辈自称(用于书信,self-depreciatory term for use in correspondence,,,名词
67511,6751,1,"人体中管全身知觉、运动和思维、记忆等活动的器官,是神经系统的主要部分,由前脑、中脑和后脑构成。高等动物的脑只有管全身感觉、运动的作用。","brain; human organ that is a major part of the nerve system and functions as the coordinat-ing centre of sensation, movement and of intellectual and nervous activity, and consisting of the forebrain, midbrain, and afterbrain. By contrast, the brain of a higher animal functions as the center of sensation and movement only.",,,名词
67711,6771,1,"朝代,公元前206—公元220,刘邦所建。","Han Dynasty (206 B.C.-A.D. 220), established by Liu Bang;",,,名词
67713,6771,3,元末农民起义领袖陈友谅所建的政权(公元1360—1363)。,Han Regime (1360-1363) established by the peasant uprising led by Chen Youliang in the late Yuan Dynasty,,,名词
67911,6791,1,动植物体内所含的液态脂肪或矿产的碳氢化合物的混合液体。通常把固态的动物脂肪也叫油。,"oil; fat; grease; petroleum; liquid fat contained in animals and plants, or mixed mineral liquids of hydrocarbon compounds. Usually, animal fat in the solid state is also called 油 yóu.",,,名词
68720,6871,10,打磨玉石的石头。,grindstone for polishing jade,,,名词
69012,6901,2,"振动在介质中的传播过程。波是振动形式的传播,介质质点本身并不随波前进。最常见的有机械波和电磁波。","wave, the spread of vibration within medium. The wave is the spread of the vibration itself, whereas the medium particle does not move with the wave. The most common waves are mechanical and electromagnetic waves.",,,名词
69513,6951,3,交游;来往。,associate with; make acquaintances with; make friends with,,,动词
70012,7001,2,"表示不同意,相当于口语的‘不’。",[same as 不 bù in spoken language] no; nay,,,副词
70613,7061,3,"中国数学上曾经用过的一种计算工具,形状跟‘筹’相似。清代初期把乘法的九九口诀写在上面以计算乘除和开平方。","counting instrument used in ancient China for multiplication, division or extraction of square roots. In the Qing Dynasty, the multiplication tables in rhyme were inscribed on it.",,,名词
70617,7061,7,"赶马用的棍子,一端有尖刺,能刺马的身体,使它向前跑。",spur; pointed stick used by horsemen to poke a horse's body to urge the animal forward,,,名词
73111,7311,1,"电解质电离时所生成的阳离子全部是氢离子的化合物。能跟碱中和生成盐和水,跟某些金属化合生成盐和氢气,水溶液有酸味,可使石蕊试纸变红。如盐酸、硫酸等。","acid; chemical compound, such as hydrochloric acid and sulfuric acid, whose positive ions are all hydrogen ions. It neutralizes alkaline to form salt and water, and it combines with certain metals to form salt and hydrogen; in a water solution it has a sour taste, and can cause blue litmus paper to turn red.",,,名词
76611,7661,1,药物。,medicine; drug; remedy,,,名词
77111,7711,1,"哺乳动物,身体大,趾端有蹄,头上长有一对角,尾巴尖端有长毛。是反刍类动物,力气大,供役使、乳用或乳肉两用,皮、毛、骨等都有用处。中国常见的有黄牛、水牛、牦牛等几种。","cattle; ox; cow; large, strong, ruminant mammal with hooves, a pair of horns on its head and long hair at the end of its tail, raised for draught purposes or for its meat and/or milk products, with its skin, hair, bones and other parts being also useful. Breeds usually seen in China include ox, water buffalo and yak.",,,名词
78012,7801,2,"把生丝煮熟,使它柔软洁白。",softening and whitening raw silk by boiling and scouring,,,动词
80312,8031,2,"重量单位,100斤等于1担。","dan, unit of weight, 1 dan=100 jin",,,量词
81111,8111,1,"中国古代传说中的神异动物,身体长,有鳞,有角,有脚,能走,能飞,能游泳,能兴云降雨。","dragon; mythological animal with a long body, scales, horns, wings and feet, which could walk, fly, swim and gather clouds to pour down rain",,,名词
81212,8121,2,宣召。,(of a king or an emperor) summon sb. to the imperial court,,,动词
81412,8141,2,〈方dial.〉祖父。,grandfather,,,名词
84421,8442,1,物质燃烧时产生的混有未完全燃烧的微小颗粒的气体。,"smoke; vaporous gas made up of small particles of carbonaceous matter in the air, resulting mainly from the incomplete burning of organic material",,,名词
84711,8471,1,"写字、绘画、印刷、包装等所用的东西,多用植物纤维制造。","paper; substance made from cellulose fibres obtained from rags, wood, etc., oft. with other additives, and formed into flat thin sheets suitable for writing, painting or printing on, or for decorating walls, wrapping, etc.",,,名词
85411,8541,1,盾牌。,shield; buckler,,,名词
86711,8671,1,"金属元素,符号Ag(argentum)。白色,质软,延展性强,导电、导热性能好,化学性质稳定。用途很广。","argentum (Ag); silver; white metallic element that is ductile and very malleable, possesses high electrical and thermal conductivity, and stable chemical properties, and can be used for many purposes;",,,名词
87011,8701,1,佛陀的简称。,Abbr. for佛陀Fótuó,,,名词
87211,8721,1,胞衣。,(human) afterbirth,,,名词
87712,8771,2,圆周的简称。,Abbr. for圆周yuánzhōu,,,名词
87716,8771,6,"中国的本位货币单位,一圆等于十角或一百分。","standard Chinese currency unit, with one yuan equal to 10 jiao or 100 fen;",,,名词
89711,8971,1,"人的眉毛以上头发以下的部分,也指某些动物头部大致与此相当的部位。",forehead; flat part of a human face above the eyebrows and below the hair; similar part of an animal's head;,,,名词
90013,9001,3,"特指议会中的席位,表示当选的人数。","seats in parliament, indicating number of people elected",,,名词
90121,9012,1,凝结在地面或靠近地面的物体表面上的水珠。是接近地面的空气温度逐渐下降（仍高于0℃）时，使所含水汽达到饱和后形成的。,"dew; small drops of water condensed on the ground surface or on the surfaces of objects close to the ground surface when the air cools gradually, but remains above 0℃, till the vapour is saturated;",,,名词
90311,9031,1,"响器,中空,用铜或铁制成。","bell; hollow metallic vessel made of copper or iron, which gives forth a ringing sound when struck",,,名词
90511,9051,1,人或动物体内接近皮的部分的柔韧的物质。某些动物的肉可以吃。,flesh; soft tissue of a human or animal body below the skin; flesh of certain animals being edible and known as meat,,,名词
91411,9141,1,"矿物,硬玉和软玉的统称,质地细而有光泽,可用来制造装饰品或做雕刻的材料。","jade; general name for hard and soft jade; lustrous mineral of fine quality, used for making ornaments or carving",,,名词
92317,9231,7,过多的肥料使植物体枯萎或死亡。,damage or injure (a plant) by excessive or improper use of fertilizer,,,动词
92912,9291,2,"朝代,约公元前2070—公元前1600,禹(一说启)所建。","Xia Dynasty (2070-1600 B.C.), founded by King Yu (or Qi, according to another theory)",,,名词
96111,9611,1,"液体或某些固体受热而变成的气体,例如水变成的水蒸气。",vapour; steam; such as the vapour phase of water,,,名词
96621,9662,1,遗失。,lose,,,动词
96911,9691,1,由于一物的弹性作用使另一物射出去。,catapult,,,动词
97213,9721,3,"旧时的一种赌具,方形,多用牛角制成,上有指示方向的记号。","(in old times) cubic gambling device, made of ox horn, marked with directional signs;",,,名词
97411,9741,1,空气中降落的白色结晶，多为六角形，是气温降低到0℃以下时，空气层中的水蒸气凝结而成的。,"snow; white crystals falling from the sky, usu. hexagonal, and formed by condensation of vapour in the atmosphere when the temperature drops below 0℃",,,名词
98014,9801,4,"悬挂在细线上的能做往复运动的重锤的装置。摆的长度不变且振幅不太大时,运动的周期恒等。","pendulum; weight suspended on a string from a fixed point so as to swing freely to and fro under the action of gravity. When the length of the pendulum is fixed and the amplitude of the vibration is not too big, the period of motion is identically equal.",,,名词
98015,9801,5,钟表或精密仪器上用来控制摆动频率的机械装置。,device on a timepiece or precision instrument that controls the frequency of sways,,,名词
98315,9831,5,"行政区划单位,一般由县一级领导。",town; administrative division generally under the jurisdiction of a county,,,名词
98316,9831,6,较大的市集。,comparatively large trading centre,,,名词
100911,10091,1,地支的第七位。,7th of the 12 Earthly Branches,,,名词
101721,10171,11,用绳子等结成的环状物。,noose; loop,,,名词
102811,10281,1,盛大。,grand; magnificent,,,形容词
103811,10381,1,秤杆。泛指称重量的器具。,graduated arm of a steelyard; weighing apparatus,,,名词
105211,10521,1,乳房。,breast,,,名词
107116,10711,6,指由不正当的收入而富裕。,get rich by illegal income,,,形容词
107811,10781,1,矿床。,ore (or mineral) deposit,,,名词
108911,10891,1,中国古代哲学认为存在于宇宙间的一切事物中的两大对立面之一（与阳相对）,(in ancient Chinese philosophy) yin; feminine or negative principle; one of the two opposites that exist in all things under the heaven,,,名词
108913,10891,3,"中国气象上,天空80%以上被云遮住时叫做阴。泛指空中云层密布,不见阳光或偶见阳光的天气。",overcast; (in Chinese meteorology) weather in which dense clouds cover more than 80 per cent of the sky and keep out the sunlight,,,形容词
109621,10962,1,大麻、亚麻、苎麻、黄麻、剑麻、蕉麻等植物的统称。,"hemp (Cannabis sativa); any plants resembling hemp, such as flax, ramie, jute, sisal hemp, abaca, etc.",,,名词
109622,10962,2,"麻类植物的纤维,是纺织等工业的重要原料。","fibre of hemp, a major textile material",,,名词
109711,10971,1,大腿。,thigh;,,,名词
109913,10991,3,说数字时用来代表‘0’。,[used in place of ‘0’ when speaking of numbers] zero,,,名词
111611,11161,1,天干的第一位。,"jia, the 1st of the 10 Heavenly Stems;",,,名词
113812,11381,2,青年女子自称(多见于早期白话,oft. in early vernacular,,,名词
114511,11451,1,船。,boat; ship,,,名词
116921,11692,1,"哺乳动物,毛黄色,有黑色的斑纹。听觉和嗅觉都很敏锐,性凶猛,力气大,夜里出来捕食鸟兽,有时伤害人。","tiger (Panthera tigris); carnivorous mammal with a black striped tawny coat, a keen sense of hearing and olfaction, strong and fierce, preying and feeding on birds and animals at night, sometimes molesting humans as well;",,,名词
117722,11772,2,二十八宿之一。,"wei, one of the 28 constellations into which the celestial sphere was divided in ancient Chinese astronomy (consisting of nine stars in the shape of a hook in Scorpio)",,,名词
118213,11821,3,"军队的编制单位,隶属于师,下辖若干团或营。",brigade; army unit below the division and in charge of several regiments or battalions,,,名词
119311,11931,1,"常绿灌木,叶子长椭圆形,花白色,种子有硬壳。嫩叶加工后就是茶叶。是中国南方最重要的经济作物之一。","tea; white-flowered evergreen plant with oval leaves and hard-shell seeds, the tender leaves can be processed to make a beverage; one of the most important cash crops in southern China",,,名词
119411,11941,1,迷信的人所说的人死后的灵魂。,supernatural being; ghost; phantom; spirit; apparition; shade; spook,,,名词
119511,11951,1,睡眠时局部大脑皮层还没有完全停止活动而引起的脑中的表象活动。,dream; hallucinatory experience that occurs during sleep when part of the cerebral cortex is still in action,,,名词
121313,12131,3,"周朝国名,在今山东曲阜一带。","State of Lu; one of the warring states into which China was divided during the Eastern Zhou Dynasty (770-256 B.C.), in the Qufu area of present-day Shandong Province",,,名词
121913,12191,3,"指和(huó)好面团后,放一会儿,使面团软硬均匀。",keep dough till it becomes soft and even,,,动词
123411,12341,1,"躯干的一部分,在颈和腹之间。",thorax; chest; breast; bosom; part of the trunk between the neck and the abdomen;,,,名词
125211,12521,1,"周朝国名,在今河南商丘一带。","Song, a state in the Zhou Dynasty, located in the present-day Shangqiu area in Henan Province",,,名词
125411,12541,1,"草棉和木棉的统称,通常多指草棉。",general name for cotton and kapok,,,名词
128313,12831,3,"年代地层单位的最高一级,跟宇相应的地质年代叫做宙。","eonothem; the highest division in chronostratigraphy, as corresponding to ‘aeon’, the longest division of geologic time",,,名词
128513,12851,3,"江河的支流(多用于河流名),如江山港、常山港(都在浙江)。","branch of a river (usu. used in the name of a river), such as 江山港Jiāngshāngǎng and 常山港Chángshāngǎng (both in Zhejiang Province)",,,名词
129631,12963,1,"口径在2厘米以上,能发射炮弹的重型射击武器,火力强,射程远。种类很多,有迫击炮、榴弹炮、加农炮、高射炮等。也叫火炮。中国古代的炮最早是用机械发射石头的。火药发明后,改为用火药发射铁弹丸。","cannon; artillery piece; heavy-duty firearm with a calibre of 2 cm and above and long firing range, such as mortar, howitzer, cannon and anti-aircraft artillery. The earliest artillery pieces used in ancient China were a kind of mechanism designed to shoot rocks, and it was not until the invention of gun powder that they were used to shell iron pills.",,,名词
129811,12981,1,编辑;辑录。,collect; compile; edit,,,动词
129911,12991,1,卡路里的简称。,Abbr. for卡路里kǎlùlǐ,,,名词
131312,13131,2,抵挡;抵抗。,resist; withstand,,,动词
131421,13142,1,动脉和静脉的统称。,arteries and veins,,,名词
131422,13142,2,脉搏的简称。,Abbr. for脉搏màibó,,,名词
